,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
25,16/1-12 Troldhaugen,2023,9,0.00848,0.00235,0.0,0.0,0.01083,0.01318,17196400
26,16/1-12 Troldhaugen,2023,10,0.00209,8e-05,0.0,0.0,0.00217,0.00446,17196400
27,16/1-12 Troldhaugen,2023,11,0.00553,0.00123,0.0,0.0,0.00676,0.01646,17196400
28,16/1-12 Troldhaugen,2023,12,4e-05,0.00054,0.0,0.0,0.00058,0.00036,17196400
29,16/1-12 Troldhaugen,2024,1,0.00362,4e-05,0.0,0.0,0.00366,0.00523,17196400
30,33/9-6 DELTA,2009,7,0.00025,0.0,-4e-05,0.0,0.00021,0.00051,44576
31,33/9-6 DELTA,2009,8,0.00325,0.0,0.00014,0.0,0.00339,0.00063,44576
32,33/9-6 DELTA,2009,9,0.00317,0.0,0.0001,0.0,0.00327,0.00316,44576
33,33/9-6 DELTA,2009,10,0.00294,0.0,0.00012,0.0,0.00306,0.00535,44576
34,33/9-6 DELTA,2009,11,-1e-05,0.0,-4e-05,0.0,-5e-05,0.0,44576
35,33/9-6 DELTA,2009,12,0.00062,0.0,-2e-05,0.0,0.0006,0.00096,44576
36,33/9-6 DELTA,2010,1,0.00298,0.0,8e-05,0.0,0.00305,0.00079,44576
37,33/9-6 DELTA,2010,2,0.0026,0.0,0.0001,0.0,0.0027,0.00451,44576
38,33/9-6 DELTA,2010,3,0.00302,0.0,0.00015,0.0,0.00317,0.00682,44576
39,33/9-6 DELTA,2010,4,0.00183,0.0,2e-05,0.0,0.00185,0.00918,44576
40,33/9-6 DELTA,2010,5,0.00314,0.0,0.0001,0.0,0.00324,0.00698,44576
41,33/9-6 DELTA,2010,6,0.00168,0.0,3e-05,0.0,0.00171,0.00267,44576
42,33/9-6 DELTA,2010,7,0.00282,0.0,-2e-05,0.0,0.0028,0.00362,44576
43,33/9-6 DELTA,2010,8,0.00231,0.0,0.0,0.0,0.00231,0.00307,44576
44,33/9-6 DELTA,2010,9,-2e-05,0.0,0.0,0.0,-2e-05,0.0,44576
45,33/9-6 DELTA,2010,10,0.00048,0.0,-0.00061,0.0,-0.00013,0.0,44576
46,33/9-6 DELTA,2010,11,0.0,0.0,-8e-05,0.0,-8e-05,0.0,44576
47,33/9-6 DELTA,2010,12,0.00049,0.0,0.0,0.0,0.00049,0.00075,44576
48,33/9-6 DELTA,2011,1,-1e-05,0.0,0.0,0.0,-1e-05,0.0,44576
49,33/9-6 DELTA,2011,2,0.00109,0.0,0.0,0.0,0.00109,0.00139,44576
50,33/9-6 DELTA,2011,3,0.001,0.0,0.0,0.0,0.001,0.00141,44576
51,33/9-6 DELTA,2011,4,0.00237,0.0,0.0,0.0,0.00237,0.00295,44576
52,33/9-6 DELTA,2011,5,0.00251,0.0,0.0,0.0,0.00251,0.00079,44576
53,33/9-6 DELTA,2011,6,0.00152,0.0,0.0,0.0,0.00152,9e-05,44576
54,33/9-6 DELTA,2011,7,0.00186,0.0,0.0,0.0,0.00186,0.00011,44576
55,33/9-6 DELTA,2011,8,0.00253,0.0,0.0,0.0,0.00253,0.00015,44576
56,33/9-6 DELTA,2011,9,0.00207,0.0,0.0,0.0,0.00207,0.00012,44576
57,33/9-6 DELTA,2011,10,0.00048,0.0,0.0,0.0,0.00048,4e-05,44576
58,33/9-6 DELTA,2011,11,0.00199,0.0,0.0,0.0,0.00199,0.00018,44576
59,33/9-6 DELTA,2011,12,0.00148,0.0,0.0,0.0,0.00148,0.00014,44576
60,33/9-6 DELTA,2012,1,0.00165,0.0,0.0,0.0,0.00165,0.00048,44576
61,33/9-6 DELTA,2012,2,0.00059,0.0,0.0,0.0,0.00059,0.00039,44576
62,33/9-6 DELTA,2012,3,0.00113,0.0,0.0,0.0,0.00113,0.00081,44576
63,33/9-6 DELTA,2012,4,-1e-05,0.0,0.0,0.0,-1e-05,0.0,44576
64,33/9-6 DELTA,2012,5,0.00025,0.0,0.0,0.0,0.00025,0.00023,44576
65,33/9-6 DELTA,2012,6,0.0012,0.0,0.0,0.0,0.0012,0.00025,44576
66,33/9-6 DELTA,2012,7,0.00242,0.0,0.0,0.0,0.00242,0.00048,44576
