,fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
0,ALBUSKJELL,7.35,15.53,0.99,0.0,24.76,0.0,0.0,0.0,0.0,0.0,31.12.2023,43437,02.04.2024
1,ALVE,2.62,11.99,1.84,0.0,18.11,0.33,3.0,0.41,0.0,4.11,31.12.2023,4444332,02.04.2024
2,ALVE NORD,1.55,4.15,0.59,0.0,6.82,1.55,4.15,0.59,0.0,6.82,31.12.2023,42002483,02.04.2024
3,ALVHEIM,62.78,17.19,0.0,0.0,79.97,11.5,8.85,0.0,0.0,20.35,31.12.2023,2845712,02.04.2024
4,ATLA,0.28,1.48,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,31.12.2023,21106284,02.04.2024
5,BALDER,102.33,2.63,0.0,0.0,104.96,27.36,0.68,0.0,0.0,28.04,31.12.2023,43562,02.04.2024
6,BAUGE,4.12,1.3,0.71,0.0,6.77,3.78,1.23,0.69,0.0,6.32,31.12.2023,29446221,02.04.2024
7,BERLING,1.53,4.58,0.74,0.0,7.52,1.53,4.58,0.74,0.0,7.52,31.12.2023,42002473,02.04.2024
8,BLANE,0.81,0.0,0.02,0.0,0.85,0.03,0.0,0.0,0.0,0.03,31.12.2023,3437650,02.04.2024
9,BRAGE,62.53,4.71,1.5,0.0,70.09,1.7,0.35,0.07,0.0,2.18,31.12.2023,43651,02.04.2024
10,BREIDABLIKK,30.46,0.0,0.0,0.0,30.46,30.24,0.0,0.0,0.0,30.24,31.12.2023,38702206,02.04.2024
11,BRYNHILD,0.49,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,31.12.2023,21123063,02.04.2024
12,BYRDING,0.94,0.54,0.04,0.0,1.56,0.05,0.06,0.0,0.0,0.11,31.12.2023,28975067,02.04.2024
13,BØYLA,4.94,0.37,0.0,0.0,5.31,1.45,0.09,0.0,0.0,1.54,31.12.2023,22492497,02.04.2024
