,fldName,fldInplaceOil,fldInplaceAssLiquid,fldInplaceAssGas,fldInplaceFreeGas,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
0,ALBUSKJELL,56.0,40.0,0.0,56.0,31.12.2023,43437,02.04.2024
1,ALVE,5.0,6.0,2.0,17.0,31.12.2023,4444332,02.04.2024
2,ALVE NORD,17.0,5.0,4.0,14.0,31.12.2023,42002483,02.04.2024
3,ALVHEIM,124.0,1.0,12.0,20.0,31.12.2023,2845712,02.04.2024
4,ATLA,0.0,0.0,0.0,2.0,31.12.2023,21106284,02.04.2024
5,BALDER,280.0,0.0,15.0,0.0,31.12.2023,43562,02.04.2024
6,BAUGE,16.0,0.0,5.0,0.0,31.12.2023,29446221,02.04.2024
7,BERLING,0.0,3.0,0.0,15.0,31.12.2023,42002473,02.04.2024
8,BLANE,3.0,0.0,0.0,0.0,31.12.2023,3437650,02.04.2024
9,BRAGE,162.0,13.0,17.0,5.0,31.12.2023,43651,02.04.2024
10,BREIDABLIKK,101.0,0.0,2.0,0.0,31.12.2023,38702206,02.04.2024
11,BRYNHILD,6.0,0.0,0.0,0.0,31.12.2023,21123063,02.04.2024
12,BYRDING,8.0,0.0,1.0,1.0,31.12.2023,28975067,02.04.2024
13,BØYLA,15.0,0.0,1.0,0.0,31.12.2023,22492497,02.04.2024
14,COD,5.0,0.0,11.0,0.0,31.12.2023,43785,02.04.2024
15,DRAUGEN,228.0,0.0,13.0,2.0,31.12.2023,43758,02.04.2024
16,DUVA,11.0,0.0,1.0,5.0,31.12.2023,34833026,02.04.2024
17,DVALIN,0.0,1.0,0.0,47.0,31.12.2023,29393934,02.04.2024
18,EDDA,16.0,0.0,5.0,0.0,31.12.2023,43541,02.04.2024
19,EDVARD GRIEG,98.0,0.0,12.0,0.0,31.12.2023,21675433,02.04.2024
20,EIRIN,0.0,1.0,0.0,9.0,31.12.2023,42002492,02.04.2024
21,EKOFISK,1069.0,0.0,286.0,0.0,31.12.2023,43506,02.04.2024
22,ELDFISK,450.0,0.0,119.0,0.0,31.12.2023,43527,02.04.2024
23,EMBLA,49.0,0.0,17.0,0.0,31.12.2023,43534,02.04.2024
24,ENOCH,2.0,0.0,0.0,0.0,31.12.2023,3437659,02.04.2024
25,FENJA,16.0,0.0,3.0,1.0,31.12.2023,31164879,02.04.2024
26,FENRIS,0.0,24.0,0.0,33.0,31.12.2023,42002478,02.04.2024
27,FLYNDRE,1.0,0.0,2.0,0.0,31.12.2023,24635035,02.04.2024
28,FRAM,101.0,3.0,15.0,18.0,31.12.2023,1578840,02.04.2024
29,FRAM H-NORD,5.0,0.0,1.0,0.0,31.12.2023,23410947,02.04.2024
30,FRIGG,97.0,1.0,5.0,150.0,31.12.2023,43555,02.04.2024
31,FRØY,28.0,0.0,6.0,0.0,31.12.2023,43597,02.04.2024
32,FULLA,0.0,6.0,0.0,18.0,31.12.2023,42002479,02.04.2024
33,GAUPE,11.0,1.0,2.0,3.0,31.12.2023,18161341,02.04.2024
34,GIMLE,23.0,4.0,7.0,5.0,31.12.2023,4005142,02.04.2024
35,GINA KROG,24.0,12.0,5.0,21.0,31.12.2023,23384544,02.04.2024
36,GJØA,51.0,13.0,9.0,52.0,31.12.2023,4467574,02.04.2024
37,GLITNE,20.0,0.0,0.0,1.0,31.12.2023,1272071,02.04.2024
38,GOLIAT,91.0,0.0,11.0,9.0,31.12.2023,5774394,02.04.2024
39,GRANE,224.0,0.0,3.0,0.0,31.12.2023,1035937,02.04.2024
40,GUDRUN,50.0,23.0,19.0,29.0,31.12.2023,18116481,02.04.2024
41,GULLFAKS,745.0,0.0,84.0,0.0,31.12.2023,43686,02.04.2024
42,GULLFAKS SØR,198.0,45.0,35.0,136.0,31.12.2023,43699,02.04.2024
43,GUNGNE,0.0,15.0,0.0,20.0,31.12.2023,43464,02.04.2024
44,GYDA,90.0,9.0,18.0,0.0,31.12.2023,43492,02.04.2024
45,HALTEN ØST,3.0,5.0,0.0,16.0,31.12.2023,42148955,02.04.2024
46,HANZ,5.0,0.0,1.0,0.0,31.12.2023,25307278,02.04.2024
47,HEIDRUN,436.0,8.0,37.0,52.0,31.12.2023,43771,02.04.2024
48,HEIMDAL,11.0,0.0,0.0,61.0,31.12.2023,43590,02.04.2024
49,HOD,64.0,0.0,9.0,0.0,31.12.2023,43485,02.04.2024
50,HUGIN,90.0,1.0,14.0,3.0,31.12.2023,42002474,02.04.2024
51,HULDRA,0.0,9.0,0.0,23.0,31.12.2023,97002,02.04.2024
52,HYME,6.0,0.0,1.0,0.0,31.12.2023,20474183,02.04.2024
53,IDUN NORD,1.0,0.0,0.0,4.0,31.12.2023,42002477,02.04.2024
54,IRPA,0.0,1.0,0.0,38.0,31.12.2023,42002482,02.04.2024
55,ISLAY,0.0,0.0,0.0,0.0,31.12.2023,21105675,02.04.2024
56,IVAR AASEN,46.0,1.0,7.0,3.0,31.12.2023,23384520,02.04.2024
57,JETTE,3.0,0.0,0.0,0.0,31.12.2023,21613906,02.04.2024
58,JOHAN CASTBERG,175.0,0.0,0.0,0.0,31.12.2023,32017325,02.04.2024
59,JOHAN SVERDRUP,588.0,0.0,24.0,0.0,31.12.2023,26376286,02.04.2024
