fldName,cmpLongName,fldCurrentActivitySatus,wlbName,wlbCompletionDate,fldMainArea,fldOwnerKind,fldOwnerName,fldMainSupplyBase,fldHcType,fldNpdidOwner,fldNpdidField,wlbNpdidWellbore,cmpNpdidCompany,fldFactPageUrl,fldFactMapUrl,fldDateUpdated,fldDateUpdatedMax,DatesyncNPD
BREIDABLIKK,Equinor Energy AS,Producing,25/8-4,11.08.1992,North sea,BUSINESS ARRANGEMENT AREA,BREIDABLIKK UNIT,Dusavik,OIL,39099356.0,38702206,1986,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=38702206,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=38702206,02.01.2024,02.01.2024,14.04.2024
BRYNHILD,,Shut down,7/7-2,25.04.1992,North sea,,,,OIL,,21123063,1868,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=21123063,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=21123063,02.01.2024,02.01.2024,14.04.2024
BYRDING,Equinor Energy AS,Producing,35/11-13,28.05.2005,North sea,PRODUCTION LICENSE,090 B,Mongstad,OIL/GAS,3426781.0,28975067,5063,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=28975067,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=28975067,02.01.2024,18.02.2024,14.04.2024
BØYLA,Aker BP ASA,Producing,24/9-9 S,07.10.2009,North sea,PRODUCTION LICENSE,340,,OIL,2986630.0,22492497,6222,28544099.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=22492497,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=22492497,03.04.2024,02.01.2024,14.04.2024
COD,,Shut down,7/11-1,15.06.1968,North sea,,,,GAS/CONDENSATE,,43785,149,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43785,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43785,02.01.2024,02.01.2024,14.04.2024
DRAUGEN,OKEA ASA,Producing,6407/9-1,07.09.1984,Norwegian sea,PRODUCTION LICENSE,093,Kristiansund,OIL,21548.0,43758,133,34925006.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43758,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43758,02.01.2024,01.03.2024,14.04.2024
DUVA,Vår Energi Norge AS,Producing,36/7-4,26.09.2016,North sea,PRODUCTION LICENSE,636,Florø,OIL/GAS,21561151.0,34833026,7988,50000114.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=34833026,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=34833026,16.02.2024,18.02.2024,14.04.2024
DVALIN,Wintershall Dea Norge AS,Producing,6507/7-14 S,26.09.2010,Norwegian sea,PRODUCTION LICENSE,435,Kristiansund,GAS,4238696.0,29393934,6367,35318843.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=29393934,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=29393934,02.01.2024,02.01.2024,14.04.2024
EDDA,ConocoPhillips Skandinavia AS,Shut down,2/7-4,03.09.1972,North sea,PRODUCTION LICENSE,018,,OIL,20900.0,43541,263,2410696.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43541,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43541,02.01.2024,02.01.2024,14.04.2024
EDVARD GRIEG,Aker BP ASA,Producing,16/1-8,13.11.2007,North sea,PRODUCTION LICENSE,338,Tananger,OIL,2986578.0,21675433,5612,28544099.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=21675433,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=21675433,02.01.2024,28.02.2024,14.04.2024
