field,#,sea,status,HC type,PL/BAA,operator,HPHT,rec. oil,rec. gas,rec. ass. liq.,rec. OE,rem. oil,rem. gas,rem. ass. liq.,rem. OE,rem. OE prod. years,STOIIP,GIIP,in-place ass. liquid,in-place ass. gas,in-place free gas,in-place OE,in-place liq./OE ratio,in-place free gas/OE ratio,RF oil,RF liq.,RF gas,maturity oil,maturity gas,maturity liq.,maturity OE,res. quality,faulted,reservoir,recovery,FactPageUrl,peak year,peak OE YPR,peak oil YPR,peak gas YPR,well num,prod. num,inj. num,obs. num,lat,lon,depth min,depth mean,depth median,depth max,water depth,depth,p_h,p0,T0,GOR,oil FVF,gas FVF,oil PV0,gas PV0,HCPV0,gas PV0/HC PV0,rec. oil PV,rec. gas PV,rec. HCPV,CO2 SC,H2 SC,CO2 SC/well num,CO2 density RC,q_resv,qi_resv,q_gas,qi_gas,q_gas2,q_resv2
HANZ,44,NORTH,producing,oil,028 B,Aker BP ASA,False,2.54,0.55,0.17,3.26,2.54,0.55,0.17,3.26,,5.0,1.0,0.0,1.0,0.0,7.0,0.71,0.0,0.508,0.542,0.55,0.0,0.0,0.0,0.0,,,The reservoir contains oil with a minor gas cap. It is in the Draupne Formation of Late Jurassic age at a depth of 2350 metres. It is in presumably deep marine sandstone with good reservoir properties.,The field is produced by pressure support from a crossflow water injector between the Heimdal aquifer and the reservoir in the Draupne Formation.,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=25307278,2024.0,0.003,0.003,0.0,5.0,0.0,0.0,0.0,59.0342418,2.2263798,2512.0,2592.0,2628.0,2643.0,116.0,2628.0,268.5,268.5,94.6,200.0,1.5274259452779937,0.004715934258503269,7.64,0.0,7.64,0.0,4.14,0.0,4.14,2.66,0.06,0.53,643.0,,,,,,
HEIDRUN,45,NORWEGIAN,producing,oil/gas,HEIDRUN UNIT,Equinor Energy AS,False,204.91,52.47,5.79,263.18,30.0,23.71,3.72,57.43,13.1,436.0,89.0,8.0,37.0,52.0,570.0,0.78,0.091,0.47,0.475,0.5896,0.854,0.548,0.84,0.782,,,"Heidrun produces oil and gas from Lower and Middle Jurassic sandstone in the Åre, Tilje, Ile and Garn Formations. The reservoir is at a depth of 2300 metres and is heavily faulted and segmented. The Ile and Garn Formations have good reservoir quality, while the Åre and Tilje Formations are more complex.","The field is produced with pressure maintenance using water and gas injection in the Ile and Garn Formations. In the more complex parts of the reservoir, in the Åre and Tilje Formations, the main recovery strategy is water injection. Some segments are also produced by pressure depletion.",https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43771,1997.0,13.783,13.456,0.326,182.0,120.0,40.0,22.0,65.33594340109889,7.325068131868131,2159.8,2493.3,2493.3,3256.8,347.7,2429.3,248.3,248.3,88.0,84.9,1.2218600080043522,0.004910679507949427,532.73,255.36,788.09,0.32,252.81,150.54,403.35,259.46,5.94,1.43,643.0,1364.0,3616.0,,104130.0,,1166.0
HEIMDAL,46,NORTH,shut down,gas/oil,036 BS,Equinor Energy AS,False,6.66,46.2,0.0,52.86,0.0,0.0,0.0,0.0,,11.0,61.0,0.0,0.0,61.0,72.0,0.15,0.847,0.605,0.605,0.7574,1.0,1.0,1.0,1.0,,,Heimdal produced gas and some condensate from sandstone of Paleocene age in the Heimdal Formation. The reservoir is in a massive turbidite system at a depth of 2100 metres and has good quality.,The field was produced by pressure depletion.,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43590,1996.0,5.197,0.627,4.569,13.0,12.0,1.0,0.0,59.57420038461539,2.228919538461538,402.5,2096.4,2096.4,3365.5,120.2,2091.9,214.0,214.0,76.9,102.2,1.2543194960836175,0.005348287810625057,13.8,326.25,340.04,0.96,8.35,247.09,255.44,164.35,3.39,12.64,643.0,7232.0,38.0,,0.0,1.25,6816.0
HOD,47,NORTH,producing,oil,033,Aker BP ASA,False,15.52,2.64,1.18,19.34,4.75,0.82,0.23,5.8,,64.0,9.0,0.0,9.0,0.0,82.0,0.78,0.0,0.242,0.261,0.2933,0.694,0.689,0.702,0.7,,,"Hod produces oil from chalk in the Upper Cretaceous Tor and Hod Formations and the lower Paleocene Ekofisk Formation. The Tor Formation chalk is fine-grained and soft. Considerable fracturing allows oil and water to flow more easily than in the underlying Hod Formation. The reservoir depth is 2700 metres. The field consists of three structures: Hod West, Hod East and Hod Saddle.",The field is produced by pressure depletion. Gas lift has been used in some wells to increase production.,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43485,1991.0,1.816,1.614,0.202,26.0,22.0,0.0,4.0,56.185718576923065,3.4582563076923085,2669.7,2791.9,2791.9,2983.0,71.5,2764.8,282.5,282.5,99.1,140.6,1.374710164419402,0.004599266172708557,87.98,0.0,87.98,0.0,22.95,0.0,22.95,14.75,0.37,0.57,643.0,790.0,,,,,1175.0
HUGIN,48,NORTH,approved,oil/gas,442,Aker BP ASA,False,29.33,6.53,2.22,38.08,29.33,6.53,2.22,38.08,,90.0,17.0,1.0,14.0,3.0,122.0,0.75,0.025,0.326,0.347,0.3841,0.0,0.0,0.0,0.0,,,"The reservoirs contain oil and gas in sandstone mainly of Eocene age in the Frigg Formation and of Middle Jurassic age in the Hugin Formation, at depths of 1900 and 3500 metres, respectively. The Hugin area is geologically complex, and the deposits have varying reservoir and fluid properties.","Langfjellet, Frøy and Rind will be produced with pressure support by water injection. Frigg Gamma Delta will be produced by pressure depletion, and the produced water is planned to be reinjected into the water zone.",https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002474,,,,,13.0,0.0,0.0,0.0,59.83630692307692,2.5700232307692303,1395.0,2923.0,2622.0,3974.0,120.0,2622.0,267.9,267.9,94.4,155.6,1.4094271671445302,0.004721125462205166,126.85,14.16,141.01,0.1,43.98,5.44,49.42,31.77,0.77,2.44,643.0,,,,,,
HULDRA,49,NORTH,shut down,gas,878,Equinor Energy AS,True,5.21,17.24,0.21,22.66,0.0,0.0,0.0,0.0,,0.0,23.0,9.0,0.0,23.0,32.0,0.28,0.719,,0.602,0.7496,,1.0,1.0,1.0,,,"Huldra produced gas and condensate from sandstone of Middle Jurassic age in the Brent Group. The reservoir is in a rotated fault block at a depth of 3500-3900 metres, and initially had high pressure and high temperature (HPHT). There are many small faults in the field and two main segments without pressure communication.",The field was produced by pressure depletion and with low pressure production after 2007.,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=97002,2003.0,4.164,1.206,2.958,6.0,6.0,0.0,0.0,60.85595733333333,2.6501898333333336,3785.0,3842.2,3842.2,3874.0,125.0,3848.5,392.8,392.8,135.0,,0.0,0.0040140388045165195,0.0,92.32,92.32,1.0,0.0,69.2,69.2,44.4,1.36,7.4,642.0,5425.0,,,,1.35,5833.0
HYME,50,NORWEGIAN,producing,oil,348,Equinor Energy AS,False,3.18,0.88,0.68,4.74,0.99,0.55,0.44,1.98,,6.0,1.0,0.0,1.0,0.0,8.0,0.75,0.0,0.53,0.644,0.88,0.689,0.375,0.631,0.582,,,Hyme produces oil and gas from sandstone of Early and Middle Jurassic age in the Tilje and Ile Formations. The reservoir is at a depth of 2150 metres and has good quality.,The field is produced with pressure support from seawater injection. The production well is equipped with gas lift.,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=20474183,2015.0,1.055,0.937,0.118,4.0,2.0,1.0,1.0,64.3581595,7.5511965,2092.0,2160.5,2160.5,2287.0,256.0,2131.5,218.0,218.0,78.2,166.7,1.4225142094482697,0.0052886196666974495,8.54,0.0,8.54,0.0,5.5,0.0,5.5,3.54,0.07,0.88,643.0,2524.0,6116.0,,0.0,,2016.0
IDUN NORD,51,NORWEGIAN,approved,gas/oil,159 D,Aker BP ASA,False,0.18,2.96,0.19,3.33,0.18,2.96,0.19,3.33,,1.0,4.0,0.0,0.0,4.0,5.0,0.2,0.8,0.18,0.37,0.74,0.0,0.0,0.0,0.0,,,The reservoir contains gas and condensate in sandstone of Middle Jurassic age in the Garn and Not Formations. It is at a depth of about 3500 metres and has good quality.,The field will be produced by pressure depletion.,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002477,,,,,1.0,0.0,0.0,0.0,65.823417,7.718917,3832.0,3832.0,3832.0,3832.0,377.0,3832.0,391.1,391.1,134.5,320.8,1.88857468546147,0.004020813595160096,1.89,16.08,17.97,0.9,0.7,11.9,12.6,8.08,0.25,8.08,641.0,,,,,,
IRPA,52,NORWEGIAN,approved,gas,327 B,Equinor Energy AS,False,0.0,20.13,0.4,20.53,0.0,20.13,0.4,20.53,,0.0,38.0,1.0,0.0,38.0,39.0,0.03,0.974,,0.4,0.5297,,0.0,0.0,0.0,,,"The reservoir contains gas in turbiditic sandstone of Late Cretaceous age in the Springar Formation, at a depth of 3200 metres. The reservoir properties are good.",The field will be produced by pressure depletion.,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002482,,,,,1.0,0.0,0.0,0.0,67.016222,5.296611,3750.0,3750.0,3750.0,3750.0,1335.0,3750.0,382.8,382.8,131.7,,0.0,0.0040508196562002545,0.0,153.93,153.93,1.0,0.0,81.54,81.54,52.34,1.58,52.34,642.0,,,,,,
IVAR AASEN,53,NORTH,producing,oil/gas,IVAR AASEN UNIT,Aker BP ASA,False,22.46,4.74,1.52,28.72,6.12,1.36,0.48,7.96,,46.0,10.0,1.0,7.0,3.0,64.0,0.73,0.047,0.488,0.51,0.474,0.728,0.713,0.725,0.723,,,Ivar Aasen produces oil from sandstone reservoirs. The field consists of the 16/1-9 Ivar Aasen discovery and the small 16/1-7 (West Cable) discovery. The reservoir in the Ivar Aasen discovery consists of fluvial sandstone of Late Triassic to Middle Jurassic age in the Skagerrak and Sleipner Formations and shallow marine sandstone in the Middle Jurassic Hugin Formation. The reservoir is at a depth of 2400 metres. It is compartmentalised and has moderate to good quality. Parts of the reservoir have an overlying gas cap. The reservoir in the West Cable discovery is in fluvial sandstone in the Middle Jurassic Sleipner Formation. It is at a depth of 2950 metres and has moderate quality.,The Ivar Aasen reservoir is produced by pressure support from water injection. The West Cable reservoir is produced by pressure depletion.,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=23384520,2018.0,3.909,3.27,0.639,33.0,18.0,9.0,6.0,58.922274121212126,2.198121,2366.0,2510.0,2510.0,2945.0,112.7,2443.0,249.7,249.7,88.5,152.2,1.3945997077946968,0.004896774136336527,64.15,14.69,78.84,0.19,32.73,6.96,39.69,25.52,0.59,0.77,643.0,3035.0,2871.0,,0.0,,1803.0
