,wlbWellboreName,wlbWellType,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbPurpose,wlbStatus,wlbContent,wlbSubSea,wlbEntryDate,wlbCompletionDate,wlbEntryPreDrillDate,wlbCompPreDrillDate,field,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbBottomHoleTemperature,wlbSiteSurvey,wlbSeismicLocation,wlbMaxInclation,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbKickOffPoint,wlbAgeAtTd,wlbFormationAtTd,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbDrillingFacilityFixedOrMoveable,wlbProductionFacility,wlbLicensingActivity,wlbMultilateral,wlbPurposePlanned,wlbContentPlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbReentryExplorationActivity,wlbPlotSymbol,wlbFormationWithHc1,wlbAgeWithHc1,wlbFormationWithHc2,wlbAgeWithHc2,wlbFormationWithHc3,wlbAgeWithHc3,wlbDrillingDays,wlbReentry,wlbLicenceTargetName,wlbPluggedAbandonDate,wlbPluggedDate,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,lat,lon,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbDiskosWellboreType,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbPressReleaseUrl,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType1,wlbDiskosWellboreParent,wlbWdssQcDate,wlbReleasedDate,wlbDateReclass,wlbNpdidWellbore,prlNpdidProdLicenceTarget,fclNpdidFacilityProducing,dscNpdidDiscovery,fldID,fclNpdidFacilityDrilling,wlbNpdidWellboreReclass,prlNpdidProductionLicence,wlbNpdidSiteSurvey,wlbAliasName,wlbDateUpdated,wlbDateUpdatedMax,datesyncNPD,SSTVD,grad T (degC/km)
1,1/2-2,EXPLORATION,1/2-2,Paladin Resources Norge AS,143 CS,WILDCAT,P&A,OIL SHOWS, NO,2005-12-14,2006-02-02,,,,1103-L,,NO,138.0,,inline 7429-trace 4824 Survey PGS CGMNOR,4.9,40.0,3432.0,3434.0,74.0,,PALEOCENE           ,EKOFISK FM          ,NORTH SEA,MÆRSK GIANT,JACK-UP 3 LEGS,MOVEABLE,,12,NO,WILDCAT,,2005,2006,,,12,,,,,                    ,                    ,51,NO,,,,ED50  ,56,59,32.0,N,2,29,47.66,E,56.992222,2.496572,6316774.33,469410.1,31,1,2,initial             , ,2,,,https://factpages.npd.no/pbl/wellbore_press_releases/5192-1-2-2.pdf,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5192,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5192,initial             ,                                        ,2008-08-15,2008-02-02,,5192,,,,,278245.0,0,2424919.0,,,2024-01-02,2024-01-02,22.03.2024,3392.0,38.44
7,1/3-3,EXPLORATION,1/3-3,Elf Petroleum Norge AS,065 ,WILDCAT,P&A,OIL, NO,1982-08-22,1983-03-24,,,TAMBAR,343-L,1/3-3 Tambar,YES,179.0,,8186 - 216  sp264-8186-407 sp463,0.0,25.0,4875.0,4876.0,68.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,BORGSTEN DOLPHIN,SEMISUB STEEL,MOVEABLE,,6,NO,WILDCAT,NOT APPLICABLE,1982,1983,,,5,ULA FM,LATE JURASSIC,,,                    ,                    ,215,NO,,,,ED50  ,56,57,8.56,N,2,58,54.05,E,56.952378,2.981681,6312226.32,498885.66,31,1,3,initial             , ,3,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=87,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=87,initial             ,                                        ,2010-04-30,1985-03-24,,87,,,43826.0,1028599.0,288334.0,0,21316.0,,,2024-01-02,2024-01-03,22.03.2024,4850.0,35.34
8,1/3-4,EXPLORATION,1/3-4,Elf Petroleum Norge AS,065 ,WILDCAT,P&A,OIL SHOWS, NO,1983-02-15,1983-05-08,,,,361-L,,NO,144.0,,8186 - 208 AND 8186 - 421 crossing of lines,0.0,25.0,3198.0,3198.0,72.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,DYVI ALPHA,SEMISUB STEEL,MOVEABLE,,6,NO,WILDCAT,NOT APPLICABLE,1983,1983,,,12,,,,,                    ,                    ,83,NO,,,,ED50  ,56,56,39.21,N,2,43,0.23,E,56.944225,2.716731,6311354.32,482765.43,31,1,3,initial             , ,4,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=2,initial             ,                                        ,2010-04-30,1985-05-08,,2,,,,,297514.0,0,21316.0,,,2024-01-02,2024-01-02,22.03.2024,3173.0,42.98
9,1/3-5,EXPLORATION,1/3-5,A/S Norske Shell,011 ,WILDCAT,P&A,DRY, NO,1984-10-01,1985-02-11,,,,435-L,,NO,172.0,,79111  SP. 527,0.0,35.0,4850.0,4850.0,71.0,,EARLY PERMIAN       ,ROTLIEGEND GP       ,NORTH SEA,NEDDRILL TRIGON,JACK-UP 3 LEGS,MOVEABLE,,1-A,NO,WILDCAT,NOT APPLICABLE,1984,1985,,,1,,,,,                    ,                    ,134,NO,,,,ED50  ,56,46,16.02,N,2,53,38.85,E,56.771117,2.894125,6292053.66,493528.57,31,1,3,initial             , ,5,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=223,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=223,initial             ,                                        ,2006-02-15,1987-02-11,,223,,,,,296947.0,0,20844.0,,,2024-01-02,2024-01-02,22.03.2024,4815.0,34.14
10,1/3-6,EXPLORATION,1/3-6,Elf Petroleum Norge AS,065 ,WILDCAT,P&A,GAS/CONDENSATE, NO,1991-03-11,1991-06-22,,,OSELVAR,669-L,1/3-6 Oselvar,YES,142.0,,LINJE SH 8902 - 161   SP436,4.5,25.0,3584.0,3586.0,72.0,,LATE CRETACEOUS     ,HOD FM              ,NORTH SEA,DYVI STENA,SEMISUB STEEL,MOVEABLE,,6,NO,WILDCAT,NOT APPLICABLE,1991,1991,,,17,FORTIES FM,PALEOCENE,,,                    ,                    ,104,NO,,,,ED50  ,56,56,14.92,N,2,42,20.81,E,56.937478,2.705781,6310606.04,482095.98,31,1,3,initial             , ,6,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1521,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1521,initial             ,                                        ,2007-12-19,1993-06-22,,1521,,,43832.0,5506919.0,290980.0,0,21316.0,,,2024-01-02,2024-01-02,22.03.2024,3559.0,37.76
11,1/3-7,EXPLORATION,1/3-7,Elf Petroleum Norge AS,065 ,APPRAISAL,P&A,OIL, NO,1995-02-13,1995-05-25,,,OSELVAR,804-L,1/3-6 Oselvar,NO,136.0,,BPN 9202  inline 1084 & xline3062,7.0,44.7,3342.0,3345.0,72.0,,PALEOCENE           ,VÅLE FM             ,NORTH SEA,WEST EPSILON,JACK-UP 3 LEGS,MOVEABLE,,6,NO,APPRAISAL,NOT APPLICABLE,1995,1995,,,5,FORTIES FM,PALEOCENE,,,                    ,                    ,102,NO,,,,ED50  ,56,56,25.15,N,2,40,34.61,E,56.940319,2.676281,6310930.49,480302.33,31,1,3,initial             , ,7,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2505,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=2505,initial             ,                                        ,2010-04-30,1997-05-25,,2505,,,43832.0,5506919.0,296110.0,0,21316.0,,,2024-01-02,2024-01-02,22.03.2024,3297.3,38.94
12,1/3-8,EXPLORATION,1/3-8,Amoco Norway Oil Company,011 ,WILDCAT,P&A,SHOWS, NO,1996-12-12,1997-05-27,,,,855-L,,NO,179.0,,RANDOM LINES SH 9201 S1 OG S2,4.0,41.0,5199.0,5201.0,70.0,,TRIASSIC            ,SMITH BANK FM       ,NORTH SEA,TRANSOCEAN NORDIC,JACK-UP 3 LEGS,MOVEABLE,,1-A,NO,WILDCAT,NOT APPLICABLE,1996,1997,,,12,,,,,                    ,                    ,167,NO,,,,ED50  ,56,52,7.14,N,2,53,20.75,E,56.86865,2.889097,6302911.22,493238.84,31,1,3,initial             , ,8,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2829,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=2829,initial             ,                                        ,2010-04-30,1999-05-27,,2829,,,,,296191.0,0,20844.0,,,2024-01-02,2024-01-02,22.03.2024,5158.0,33.23
13,1/3-9 S,EXPLORATION,1/3-9,BP Norway Limited U.A.,065 ,APPRAISAL,RE-CLASS TO DEV,OIL, NO,1998-05-08,1998-07-31,,,TAMBAR,928-L,1/3-3 Tambar,NO,168.0,,BPNHR97-13 X-OVER BPNHR97-22,25.9,23.0,4359.0,4516.0,68.0,,LATE JURASSIC       ,ULA FM              ,NORTH SEA,MÆRSK JUTLANDER,SEMISUB STEEL,MOVEABLE,,6,NO,APPRAISAL,NOT APPLICABLE,1998,1998,1/3-K-1   ,,5,ULA FM,LATE JURASSIC,,,                    ,                    ,85,NO,,,,ED50  ,56,58,57.93,N,2,57,31.44,E,56.982758,2.958733,6315608.87,497491.85,31,1,3,initial             , ,9,S,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=3362,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=3362,initial             ,                                        ,2010-04-30,2000-07-31,2001-06-04,3362,,,43826.0,1028599.0,296353.0,4320,21316.0,,,2024-01-02,2024-01-02,22.03.2024,4336.0,36.99
14,1/3-10,EXPLORATION,1/3-10,DONG E&P Norge AS,274 ,APPRAISAL,P&A,OIL/GAS, NO,2007-10-25,2008-01-07,,,OSELVAR,1154-L,1/3-6 Oselvar,NO,135.0,,BPN 9202 R02 3D dataset inline 904 & crossline 3018,1.1,45.0,3288.0,3288.0,72.0,,PALEOCENE           ,LISTA FM            ,NORTH SEA,MÆRSK GUARDIAN,JACK-UP 3 LEGS,MOVEABLE,,NST2001,NO,APPRAISAL,,2007,2008,,,13,FORTIES FM,PALEOCENE,,,                    ,                    ,75,NO,,,,ED50  ,56,55,39.86,N,2,42,20.69,E,56.927739,2.705747,6309521.94,482089.29,31,1,3,initial             , ,10,,,https://factpages.npd.no/pbl/wellbore_press_releases/5614-1-3-10.pdf,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5614,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5614,initial             ,                                        ,2010-01-07,2010-01-07,,5614,,,43832.0,5506919.0,292114.0,0,2060266.0,,,2024-01-02,2024-01-02,22.03.2024,3243.0,39.28
15,1/3-10 A,EXPLORATION,1/3-10,DONG E&P Norge AS,274 ,APPRAISAL,P&A,OIL/GAS, NO,2008-01-07,2008-02-13,,,OSELVAR,1168-L,1/3-6 Oselvar,NO,145.0,,BPN 9202 R02 3D dataset inline 904  & crossline 3018,53.8,45.0,3335.0,3632.0,72.0,2276.0,PALEOCENE           ,SELE FM             ,NORTH SEA,MÆRSK GUARDIAN,JACK-UP 3 LEGS,MOVEABLE,,NST2001,NO,APPRAISAL,,2008,2008,,,13,FORTIES FM,PALEOCENE,,,                    ,                    ,38,NO,,,,ED50  ,56,55,39.86,N,2,42,20.69,E,56.927739,2.705747,6309521.94,482089.29,31,1,3,sidetrack           , ,10,A,,https://factpages.npd.no/pbl/wellbore_press_releases/5779-1-3-10-A.pdf,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5779,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5779,sidetrack           ,1/3-10                                  ,2010-02-13,2010-02-13,,5779,,,43832.0,5506919.0,292114.0,0,2060266.0,,,2024-01-02,2024-01-02,22.03.2024,3290.0,41.76
16,1/3-11,EXPLORATION,1/3-11,DONG E&P Norge AS,274 ,WILDCAT,P&A,OIL, NO,2008-05-28,2008-08-30,,,,1179-L,1/3-11 (Ipswich),YES,140.0,,inline 9958 & crossline 21324 på settet VGCN0401,20.3,42.0,3507.0,3595.0,72.0,,PALEOCENE           ,EKOFISK FM          ,NORTH SEA,MÆRSK GUARDIAN,JACK-UP 3 LEGS,MOVEABLE,,NST2001,NO,WILDCAT,,2008,2008,,,5,FORTIES FM,PALEOCENE,,,                    ,                    ,95,NO,,,,ED50  ,56,50,58.47,N,2,43,15.43,E,56.849575,2.720953,6300817.06,482979.33,31,1,3,initial             , ,11,,,https://factpages.npd.no/pbl/wellbore_press_releases/5806-1-3-11.pdf,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5806,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5806,initial             ,                                        ,2010-08-30,2010-08-30,,5806,,,4999216.0,,292114.0,0,2060266.0,,,2024-01-02,2024-01-02,22.03.2024,3465.0,38.21
49,1/5-3 S,EXPLORATION,1/5-3,Conoco Norway Inc.,144 ,WILDCAT,P&A,OIL, NO,1998-06-10,1998-08-06,,,,918-L,1/5-3 S,YES,54.0,,CN1/93- INLINE 1237 & X-LINE 2433,5.7,25.0,1565.0,1565.0,69.0,,MIOCENE             ,HORDALAND GP        ,NORTH SEA,BYFORD DOLPHIN,SEMISUB STEEL,MOVEABLE,,12,NO,WILDCAT,NOT APPLICABLE,1998,1998,,,5,NO FORMAL NAME,MIOCENE,,,                    ,                    ,57,NO,,,,ED50  ,56,41,24.52,N,2,36,54.13,E,56.690144,2.615036,6283101.44,476419.16,31,1,5,initial             , ,3,S,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=3257,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=3257,initial             ,                                        ,2003-01-07,2000-08-06,,3257,,,3000726.0,,341331.0,0,21964.0,,,2024-01-02,2024-01-02,22.03.2024,1540.0,30.12
50,1/5-4 S,EXPLORATION,1/5-4,Amerada Hess Norge AS,144 ,WILDCAT,P&A,OIL SHOWS, NO,2002-04-15,2002-05-22,,,,1034-L,,NO,120.0,,Il:1135 CL:2172,55.4,23.0,2590.0,3090.0,69.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,DEEPSEA BERGEN,SEMISUB STEEL,MOVEABLE,,12,NO,WILDCAT,NOT APPLICABLE,2002,2002,,,12,,,,,                    ,                    ,38,NO,,,,ED50  ,56,42,32.0,N,2,37,41.0,E,56.708889,2.628056,6285183.54,477227.98,31,1,5,initial             , ,4,S,,https://factpages.npd.no/pbl/wellbore_press_releases/4251-1-5-4-S.pdf,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=4521,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=4521,initial             ,                                        ,2004-06-29,2004-05-22,,4521,,,,,287983.0,0,21964.0,,,2024-01-02,2024-01-02,22.03.2024,2567.0,43.78
51,1/5-5,EXPLORATION,1/5-5,Total E&P Norge AS,618 ,WILDCAT,P&A,DRY, NO,2016-02-24,2016-09-16,,,,1608-L,,NO,197.0,,Crossline 19180 in Q30_CNS_marge_3,4.0,48.0,5940.0,5942.0,70.0,,                    ,BRYNE FM            ,NORTH SEA,MÆRSK GALLANT,JACK-UP 3 LEGS,MOVEABLE,,TFO2011,NO,WILDCAT,,2016,2016,,,1,,,,,                    ,                    ,206,NO,,2016-09-16,,ED50  ,56,43,48.02,N,2,38,44.92,E,56.730006,2.645811,6287528.37,478327.19,31,1,5,initial             , ,5,,,https://factpages.npd.no/pbl/wellbore_press_releases/7874-1-5-5.pdf,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=7874,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=7874,initial             ,                                        ,2018-09-16,2018-09-16,,7874,,,,,296002.0,0,21561689.0,,,2024-01-02,2024-01-02,22.03.2024,5892.0,32.14
56,1/6-5,EXPLORATION,1/6-5,Conoco Norway Inc.,144 ,WILDCAT,P&A,SHOWS, NO,1990-07-20,1990-09-02,,,,645-L,,NO,104.0,,CNI/88 - 36 & SP. 590,1.7,25.0,1854.0,1854.0,70.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,DYVI STENA,SEMISUB STEEL,MOVEABLE,,12,NO,WILDCAT,NOT APPLICABLE,1990,1990,,,12,,,,,                    ,                    ,45,NO,,,,ED50  ,56,32,21.57,N,2,48,4.77,E,56.539325,2.801325,6266264.75,487781.59,31,1,6,initial             , ,5,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1508,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1508,initial             ,                                        ,2011-06-15,1992-09-02,,1508,,,,,290980.0,0,21964.0,,,2024-01-02,2024-01-02,22.03.2024,1829.0,52.7
57,1/6-6,EXPLORATION,1/6-6,A/S Norske Shell,011 ,WILDCAT,P&A,SHOWS, NO,1992-02-10,1993-03-08,,,,718-L,,NO,190.0,,ALBUSKJELL 3D KRYSS RAD 423 & KOLONNE 79,4.6,25.0,5562.0,5565.0,70.0,,TRIASSIC            ,SMITH BANK FM       ,NORTH SEA,DYVI STENA,SEMISUB STEEL,MOVEABLE,,1-A,NO,WILDCAT,NOT APPLICABLE,1992,1993,,,12,,,,,                    ,                    ,393,NO,,,,ED50  ,56,36,41.13,N,2,57,18.19,E,56.611425,2.955053,6274273.59,497241.02,31,1,6,initial             , ,6,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1839,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1839,initial             ,                                        ,2009-06-17,1995-03-08,,1839,,,,,290980.0,0,20844.0,,,2024-01-02,2024-01-02,22.03.2024,5537.0,32.94
58,1/6-7,EXPLORATION,1/6-7,Conoco Norway Inc.,144 ,WILDCAT,P&A,SHOWS, NO,1992-03-16,1992-07-12,,,,724-L,,NO,182.0,,CNI/88-4A & SP. 620,31.4,22.0,4925.0,4995.0,68.0,,LATE JURASSIC       ,HAUGESUND FM        ,NORTH SEA,WEST VANGUARD,SEMISUB STEEL,MOVEABLE,,12,NO,WILDCAT,NOT APPLICABLE,1992,1992,,,12,,,,,                    ,                    ,119,NO,,,,ED50  ,56,33,20.01,N,2,54,11.18,E,56.555558,2.903106,6268058.24,494043.59,31,1,6,initial             , ,7,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1928,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1928,initial             ,                                        ,2011-06-15,1994-07-12,,1928,,,,,287902.0,0,21964.0,,,2024-01-02,2024-01-02,22.03.2024,4903.0,35.57
74,1/9-3,EXPLORATION,1/9-3,Den norske stats oljeselskap a.s,044 ,APPRAISAL,SUSPENDED,DRY, NO,1977-08-13,1977-11-27,,,TOMMELITEN A,181-L,1/9-1 Tommeliten Alpha,NO,116.0,,line no 404-404&SP476,0.75,35.8,2771.0,2771.0,76.5,,EOCENE              ,HORDALAND GP        ,NORTH SEA,DYVI GAMMA,JACK-UP 3 LEGS,MOVEABLE,,3,NO,WILDCAT,NOT APPLICABLE,1977,1977,,,1,,,,,                    ,                    ,107,NO,,,,ED50  ,56,24,55.68,N,2,54,15.22,E,56.415467,2.904228,6252464.47,494090.84,31,1,9,initial             , ,3,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=245,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=245,initial             ,                                        ,2007-01-18,1979-11-27,,245,,,43850.0,40867462.0,288226.0,0,21140.0,,,2024-01-02,2024-01-02,22.03.2024,2735.2,39.63
79,1/9-6 S,EXPLORATION,1/9-6,Den norske stats oljeselskap a.s,044 ,APPRAISAL,SUSPENDED,GAS/CONDENSATE, NO,1982-03-21,1982-12-01,,,TOMMELITEN GAMMA,318-L,1/9-4 Tommeliten Gamma,NO,135.0,,ST 404-410.shot point 100,32.5,26.0,3529.0,3880.0,76.0,,LATE CRETACEOUS     ,HOD FM              ,NORTH SEA,SEDCO 703,SEMISUB STEEL,MOVEABLE,,3,NO,APPRAISAL,NOT APPLICABLE,1982,1982,,,17,EKOFISK FM,PALEOCENE,TOR FM,LATE CRETACEOUS,                    ,                    ,256,NO,,,,ED50  ,56,29,3.85,N,2,56,0.14,E,56.484403,2.933372,6260135.61,495896.49,31,1,9,initial             , ,6,S,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=44,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=44,initial             ,                                        ,2012-10-10,1984-12-01,,44,,,43856.0,43444.0,288793.0,0,21140.0,,,2024-01-02,2024-01-02,22.03.2024,3503.0,36.37
80,1/9-6 SR,EXPLORATION,1/9-6,Den norske stats oljeselskap a.s,044 ,APPRAISAL,P&A,GAS/CONDENSATE, NO,1991-04-06,1991-04-20,,,TOMMELITEN GAMMA,318-L2,1/9-4 Tommeliten Gamma,NO,135.0,,404 - 410 & SP. 217,32.5,25.0,3529.0,3879.0,75.0,,LATE CRETACEOUS     ,HOD FM              ,NORTH SEA,ROSS RIG (2),SEMISUB STEEL,MOVEABLE,,3,NO,APPRAISAL,NOT APPLICABLE,1991,1991,,PLUGGING,17,EKOFISK FM,PALEOCENE,TOR FM,LATE CRETACEOUS,                    ,                    ,15,YES,,1991-04-20,,ED50  ,56,29,3.85,N,2,56,0.14,E,56.484403,2.933372,6260135.61,495896.49,31,1,9,re-entry            , ,6,SR,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1558,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1558,re-entry            ,1/9-6 S                                 ,2012-10-10,1993-04-20,,1558,,,43856.0,43444.0,294382.0,0,21140.0,,,2024-01-02,2016-07-06,22.03.2024,3504.0,36.36
81,1/9-7,EXPLORATION,1/9-7,Phillips Petroleum Company Norway,044 ,WILDCAT,P&A,GAS/CONDENSATE, NO,2003-03-22,2003-08-02,,,TOMMELITEN A,1048-L,1/9-1 Tommeliten Alpha,NO,180.0,,ST92063D- Line 928 & Trace 936,16.1,45.0,4966.0,4986.0,76.0,,TRIASSIC            ,SMITH BANK FM       ,NORTH SEA,MÆRSK GIANT,JACK-UP 3 LEGS,MOVEABLE,,3,NO,WILDCAT,NOT APPLICABLE,2003,2003,,,17,EKOFISK FM,PALEOCENE,TOR FM,LATE CRETACEOUS,                    ,                    ,134,NO,,,,ED50  ,56,24,31.23,N,2,52,55.0,E,56.408675,2.881944,6251710.63,492714.66,31,1,9,initial             , ,7,,,https://factpages.npd.no/pbl/wellbore_press_releases/4652-1-9-7.pdf,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=4652,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=4652,initial             ,                                        ,2012-10-10,2005-08-02,,4652,,,43850.0,40867462.0,278245.0,0,21140.0,,,2024-01-02,2024-01-02,22.03.2024,4921.0,35.03
133,2/1-3,EXPLORATION,2/1-3,BP Norway Limited U.A.,019 B,WILDCAT,P&A,OIL, NO,1979-11-03,1980-03-29,,,GYDA,229-L,2/1-3 Gyda,YES,162.0,,2-109 SP.782,3.0,30.0,4296.0,4297.0,66.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,SEDCO H,SEMISUB STEEL,MOVEABLE,,1-A,NO,WILDCAT,NOT APPLICABLE,1979,1980,,,5,ULA FM,LATE JURASSIC,,,                    ,                    ,148,NO,,,,ED50  ,56,54,41.39,N,3,6,30.39,E,56.911497,3.108442,6307680.64,506603.55,31,2,1,initial             , ,3,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=251,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=251,initial             ,                                        ,2011-03-12,1982-03-29,,251,,,44012.0,43492.0,288712.0,0,20924.0,,,2024-01-02,2024-01-02,22.03.2024,4266.0,36.19
134,2/1-4,EXPLORATION,2/1-4,BP Petroleum Dev. of Norway AS,019 B,APPRAISAL,P&A,OIL, NO,1982-04-05,1982-08-03,,,GYDA,322-L,2/1-3 Gyda,NO,168.0,,BP 80 - 019 - 31A  SP 1353,7.3,25.0,4522.0,4525.0,66.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,ALADDIN,SEMISUB STEEL,MOVEABLE,,1-A,NO,APPRAISAL,NOT APPLICABLE,1982,1982,,,5,ULA FM,LATE JURASSIC,,,                    ,                    ,121,NO,,,,ED50  ,56,54,40.59,N,3,4,0.86,E,56.911275,3.066906,6307652.66,504074.24,31,2,1,initial             , ,4,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=48,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=48,initial             ,                                        ,2011-03-12,1984-08-03,,48,,,44012.0,43492.0,289171.0,0,20924.0,,,2024-01-02,2024-01-02,22.03.2024,4497.0,35.67
135,2/1-5,EXPLORATION,2/1-5,BP Norway Limited U.A.,019 B,WILDCAT,P&A,OIL, NO,1982-11-13,1983-04-05,,,,353-L,,NO,157.0,,BP 019 - 80 - 61A  SP 1367,9.0,24.0,4454.0,4454.0,66.0,,MIDDLE JURASSIC     ,BRYNE FM            ,NORTH SEA,SEDCO 707,SEMISUB STEEL,MOVEABLE,,1-A,NO,WILDCAT,NOT APPLICABLE,1982,1983,,,5,ULA FM,LATE JURASSIC,,,                    ,                    ,144,NO,,,,ED50  ,56,47,54.06,N,3,12,21.39,E,56.79835,3.205942,6295099.08,512578.71,31,2,1,initial             , ,5,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=63,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=63,initial             ,                                        ,2011-03-12,1985-04-05,,63,,,,,288037.0,0,20924.0,,,2024-01-02,2024-01-02,22.03.2024,4430.0,33.72
