,wlbWellboreName,wlbWellType,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbPurpose,wlbStatus,wlbContent,wlbSubSea,wlbEntryDate,wlbCompletionDate,wlbEntryPreDrillDate,wlbCompPreDrillDate,field,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbBottomHoleTemperature,wlbSiteSurvey,wlbSeismicLocation,wlbMaxInclation,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbKickOffPoint,wlbAgeAtTd,wlbFormationAtTd,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbDrillingFacilityFixedOrMoveable,wlbProductionFacility,wlbLicensingActivity,wlbMultilateral,wlbPurposePlanned,wlbContentPlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbReentryExplorationActivity,wlbPlotSymbol,wlbFormationWithHc1,wlbAgeWithHc1,wlbFormationWithHc2,wlbAgeWithHc2,wlbFormationWithHc3,wlbAgeWithHc3,wlbDrillingDays,wlbReentry,wlbLicenceTargetName,wlbPluggedAbandonDate,wlbPluggedDate,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,lat,lon,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbDiskosWellboreType,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbPressReleaseUrl,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType1,wlbDiskosWellboreParent,wlbWdssQcDate,wlbReleasedDate,wlbDateReclass,wlbNpdidWellbore,prlNpdidProdLicenceTarget,fclNpdidFacilityProducing,dscNpdidDiscovery,fldID,fclNpdidFacilityDrilling,wlbNpdidWellboreReclass,prlNpdidProductionLicence,wlbNpdidSiteSurvey,wlbAliasName,wlbDateUpdated,wlbDateUpdatedMax,datesyncNPD,SSTVD,grad T (degC/km)
1423,2/9-4,EXPLORATION,2/9-4,ConocoPhillips Skandinavia AS,273 ,WILDCAT,P&A,DRY, NO,2008-03-20,2008-07-04,,,,1177-L,,NO,158.0,,inline 1137 & trace 1385,6.9,45.0,5489.0,5500.0,70.0,,EARLY PERMIAN       ,ROTLIEGEND GP       ,NORTH SEA,MÆRSK GALLANT,JACK-UP 3 LEGS,MOVEABLE,,NST2001,NO,WILDCAT,,2008,2008,,,1,,,,,                    ,                    ,107,NO,,,,ED50  ,56,16,28.89,N,3,48,45.95,E,56.274692,3.812764,6237087.88,550332.01,31,2,9,initial             , ,4,,,https://factpages.npd.no/pbl/wellbore_press_releases/5801-2-9-4.pdf,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5801,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5801,initial             ,                                        ,2010-08-01,2010-07-04,,5801,,,,,296002.0,0,2060246.0,,,2024-01-02,2024-01-02,22.03.2024,5444.0,27.62
1425,2/9-6 S,EXPLORATION,2/9-6,MOL Norge AS,617 ,WILDCAT,P&A,SHOWS, NO,2021-01-08,2021-02-15,,,,1840-L,,NO,141.0,MOL19300,MC3D_CGR2013RM (inline44278/Xline106303),12.2,55.8,4305.0,4330.0,70.0,,LATE JURASSIC       ,FARSUND FM          ,NORTH SEA,MAERSK INTEGRATOR,JACK-UP 3 LEGS,MOVEABLE,,TFO2011,NO,WILDCAT,,2021,2021,,,12,,,,,                    ,                    ,39,NO,,2021-02-15,,ED50  ,56,21,35.17,N,3,53,5.15,E,56.359769,3.884764,6246612.18,554668.93,31,2,9,initial             , ,6,S,,https://www.npd.no/aktuelt/nyheter/Resultat-av-leteboring/2021/torr-bronn-ved-mandalhogda-i-sorlige-nordsjoen--29-6-s/,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=9191,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=9191,initial             ,                                        ,2022-01-07,2022-01-07,,9191,,,,,439774.0,0,21561629.0,9020.0,,2024-01-02,2024-01-02,22.03.2024,4249.2,31.39
1440,2/10-2,EXPLORATION,2/10-2,Saga Petroleum ASA,163 ,WILDCAT,P&A,OIL SHOWS, NO,1993-02-16,1993-04-25,,,,757-L,,NO,148.0,,SG 9107- ROW 541 & COLUMN 1442,6.0,26.0,4162.0,4164.0,71.0,,EARLY PERMIAN       ,ROTLIEGEND GP       ,NORTH SEA,TREASURE SAGA,SEMISUB STEEL,MOVEABLE,,13,NO,WILDCAT,NOT APPLICABLE,1993,1993,,,12,,,,,                    ,                    ,69,NO,,,,ED50  ,56,13,8.48,N,3,6,41.62,E,56.219022,3.111561,6230600.2,506918.76,31,2,10,initial             , ,2,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2050,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=2050,initial             ,                                        ,2003-09-24,1995-04-25,,2050,,,,,296326.0,0,22116.0,,,2024-01-02,2024-01-02,22.03.2024,4136.0,33.94
1444,2/11-3 A,EXPLORATION,2/11-3,Amoco Norway Oil Company,033 ,APPRAISAL,P&A,OIL, NO,1977-12-03,1978-03-13,,,HOD,192-L,2/11-10 S,NO,110.0,, ,53.4,36.0,2857.0,3400.0,72.0,1287.0,LATE CRETACEOUS     ,HOD FM              ,NORTH SEA,DYVI BETA,JACK-UP 3 LEGS,MOVEABLE,,2-A,NO,APPRAISAL,NOT APPLICABLE,1977,1978,,,5,EKOFISK FM,PALEOCENE,TOR FM,LATE CRETACEOUS,HOD FM              ,LATE CRETACEOUS     ,101,NO,,,,ED50  ,56,10,53.74,N,3,27,51.78,E,56.181594,3.464383,6226525.75,528827.92,31,2,11,sidetrack           , ,3,A,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=287,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=287,sidetrack           ,2/11-3                                  ,2013-03-22,1980-03-13,,287,,,43994.0,43485.0,288118.0,0,21052.0,,,2024-01-02,2024-01-02,22.03.2024,2821.0,36.3
1446,2/11-5,EXPLORATION,2/11-5,Amoco Norway Oil Company,033 ,APPRAISAL,P&A,OIL SHOWS, NO,1979-05-18,1979-07-05,,,HOD,214-L,2/11-2 Hod,NO,106.0,, ,4.4,25.0,2944.0,2945.0,72.0,,EARLY CRETACEOUS    ,RØDBY FM            ,NORTH SEA,DYVI ALPHA,SEMISUB STEEL,MOVEABLE,,2-A,NO,APPRAISAL,NOT APPLICABLE,1979,1979,,,12,,,,,                    ,                    ,49,NO,,,,ED50  ,56,9,57.7,N,3,26,6.42,E,56.166028,3.435117,6224781.27,527022.05,31,2,11,initial             , ,5,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=288,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=288,initial             ,                                        ,2013-03-22,1981-07-05,,288,,,44000.0,43485.0,297514.0,0,21052.0,,,2024-01-02,2024-01-02,22.03.2024,2919.0,33.71
1447,2/11-6 S,EXPLORATION,2/11-6,Amoco Norway Oil Company,033 ,APPRAISAL,SUSPENDED,OIL, NO,1981-09-02,1982-02-25,,,HOD,305-L,2/11-2 Hod,NO,111.0,,ANO 75 - 13  SP. 333,57.0,26.0,2957.0,4076.0,72.0,,EARLY CRETACEOUS    ,HOD FM              ,NORTH SEA,SEDCO 703,SEMISUB STEEL,MOVEABLE,,2-A,NO,APPRAISAL,NOT APPLICABLE,1981,1982,,,5,TOR FM,LATE CRETACEOUS,HOD FM,LATE CRETACEOUS,                    ,                    ,177,NO,,,,ED50  ,56,10,35.5,N,3,27,36.72,E,56.176528,3.4602,6225960.07,528571.99,31,2,11,initial             , ,6,S,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=289,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=289,initial             ,                                        ,2013-03-22,1984-02-25,,289,,,44000.0,43485.0,288793.0,0,21052.0,,,2024-01-02,2024-01-02,22.03.2024,2931.0,35.27
1449,2/11-7,EXPLORATION,2/11-7,Norsk Hydro Produksjon AS,068 ,WILDCAT,P&A,SHOWS, NO,1986-04-16,1986-09-06,,,,513-L,,NO,178.0,,NH 8201 - 412   SP. 194,2.9,23.0,5039.0,5042.0,72.0,,LATE JURASSIC       ,HAUGESUND FM        ,NORTH SEA,TREASURE SCOUT,SEMISUB STEEL,MOVEABLE,,6,NO,WILDCAT,NOT APPLICABLE,1986,1986,,,12,,,,,                    ,                    ,144,NO,,,,ED50  ,56,14,6.09,N,3,37,38.84,E,56.235025,3.627456,6232552.87,538896.83,31,2,11,initial             , ,7,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=902,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=902,initial             ,                                        ,2004-02-27,1988-09-06,,902,,,,,287848.0,0,21340.0,,,2024-01-02,2024-01-02,22.03.2024,5016.0,33.97
1450,2/11-8,EXPLORATION,2/11-8,Norsk Hydro Produksjon AS,068 ,WILDCAT,P&A,DRY, NO,1991-04-03,1991-07-11,,,,673-L,,NO,148.0,,NH 8201 - 244   SP 1307,11.0,23.0,4580.0,4584.0,66.0,,DEVONIAN            ,NO GROUP DEFINED    ,NORTH SEA,POLAR PIONEER,SEMISUB STEEL,MOVEABLE,,6,NO,WILDCAT,NOT APPLICABLE,1991,1991,,,1,,,,,                    ,                    ,100,NO,,,,ED50  ,56,8,8.6,N,3,20,46.64,E,56.135722,3.346289,6221376.9,521522.54,31,2,11,initial             , ,8,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1715,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1715,initial             ,                                        ,2004-05-18,1993-07-11,,1715,,,,,289333.0,0,21340.0,,,2024-01-02,2024-01-02,22.03.2024,4557.0,30.81
1451,2/11-9,EXPLORATION,2/11-9,Amoco Norway Oil Company,033 ,WILDCAT,P&A,SHOWS, NO,1993-07-24,1993-12-23,,,,764-L,,NO,159.0,,RITA SURVEY-(90) 684 & X-LINE 1276,5.5,43.0,4405.0,4406.0,72.0,,EARLY CARBONIFEROUS ,NO FORMAL NAME      ,NORTH SEA,MÆRSK GALLANT,JACK-UP 3 LEGS,MOVEABLE,,2-A,NO,WILDCAT,NOT APPLICABLE,1993,1993,,,12,,,,,                    ,                    ,153,NO,,,,ED50  ,56,8,49.19,N,3,27,15.34,E,56.146997,3.454261,6222670.77,528224.92,31,2,11,initial             , ,9,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2153,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=2153,initial             ,                                        ,2006-10-19,1995-12-23,,2153,,,,,296002.0,0,21052.0,,,2024-01-02,2024-01-02,22.03.2024,4362.0,34.71
1452,2/11-10 S,EXPLORATION,2/11-10,Amoco Norway Oil Company,033 ,WILDCAT,RE-CLASS TO DEV,OIL, NO,1994-02-28,1994-06-14,,,HOD,784-L,2/11-10 S,YES,102.0,,INLINE 824-CROSSLINE 928,60.9,47.0,2920.0,4090.0,72.0,,LATE CRETACEOUS     ,HOD FM              ,NORTH SEA,MÆRSK GIANT,JACK-UP 3 LEGS,MOVEABLE,,2-A,NO,WILDCAT,NOT APPLICABLE,1994,1994,2/11-A-5   ,,5,TOR FM,LATE CRETACEOUS,,,                    ,                    ,100,NO,,,1994-06-14,ED50  ,56,10,35.52,N,3,27,36.22,E,56.176533,3.460061,6225960.63,528563.36,31,2,11,initial             , ,10,S,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2297,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=2297,initial             ,                                        ,2007-09-17,1996-06-14,1994-06-14,2297,,,43994.0,43485.0,278245.0,2376,21052.0,,,2024-01-02,2024-01-02,22.03.2024,2873.0,32.85
