,prfInformationCarrier,prfYear,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
1704,STATFJORD ØST,2025,0.37,0.146,0.078,0.0,0.594,1.024,43672
1705,STATFJORD ØST,2026,0.099,0.026,0.014,0.0,0.138,0.297,43672
1706,SVALIN,2014,1.015,0.0,0.0,0.0,1.015,0.192,22507971
1707,SVALIN,2015,1.961,0.0,0.0,0.0,1.961,0.422,22507971
1708,SVALIN,2016,1.381,0.0,0.0,0.0,1.381,0.863,22507971
1709,SVALIN,2017,0.986,0.0,0.0,0.0,0.986,1.155,22507971
1710,SVALIN,2018,0.731,0.0,0.0,0.0,0.731,1.207,22507971
1711,SVALIN,2019,0.468,0.0,0.0,0.0,0.468,1.546,22507971
1712,SVALIN,2020,0.48,0.0,0.0,0.0,0.48,1.611,22507971
1713,SVALIN,2021,0.453,0.0,0.0,0.0,0.453,1.566,22507971
1714,SVALIN,2022,0.468,0.0,0.0,0.0,0.468,1.205,22507971
1715,SVALIN,2023,0.493,0.0,0.0,0.0,0.493,1.638,22507971
1716,SVALIN,2024,0.344,0.0,0.0,0.0,0.344,1.377,22507971
1717,SVALIN,2025,0.456,0.0,0.0,0.0,0.456,1.707,22507971
1718,SVALIN,2026,0.098,0.0,0.0,0.0,0.098,0.478,22507971
1719,SYGNA,2000,0.642,0.0,0.0,0.0,0.642,0.002,104718
1720,SYGNA,2001,2.55,0.0,0.0,0.0,2.55,0.0,104718
1721,SYGNA,2002,1.813,0.0,0.0,0.0,1.813,0.439,104718
1722,SYGNA,2003,1.638,0.0,0.0,0.0,1.638,1.177,104718
1723,SYGNA,2004,1.143,0.0,0.0,0.0,1.143,1.311,104718
1724,SYGNA,2005,0.691,0.0,0.0,0.0,0.691,1.793,104718
1725,SYGNA,2006,0.413,0.0,0.0,0.0,0.413,1.603,104718
1726,SYGNA,2007,0.377,0.0,0.0,0.0,0.377,1.946,104718
1727,SYGNA,2008,0.298,0.0,0.0,0.0,0.298,2.095,104718
1728,SYGNA,2009,0.13,0.0,0.0,0.0,0.13,1.141,104718
1729,SYGNA,2010,0.054,0.0,0.0,0.0,0.054,0.327,104718
1730,SYGNA,2011,0.063,0.0,0.0,0.0,0.063,0.219,104718
1731,SYGNA,2012,0.051,0.0,0.0,0.0,0.051,0.136,104718
1732,SYGNA,2013,0.059,0.0,0.0,0.0,0.059,0.144,104718
1733,SYGNA,2014,0.035,0.0,0.0,0.0,0.035,0.072,104718
1734,SYGNA,2015,0.148,0.0,0.0,0.0,0.148,0.715,104718
1735,SYGNA,2016,0.167,0.0,0.0,0.0,0.167,1.345,104718
1736,SYGNA,2017,0.192,0.0,0.0,0.0,0.192,1.204,104718
1737,SYGNA,2018,0.156,0.0,0.0,0.0,0.156,1.111,104718
1738,SYGNA,2019,0.18,0.0,0.0,0.0,0.18,1.727,104718
1739,SYGNA,2020,0.159,0.0,0.0,0.0,0.159,2.186,104718
1740,SYGNA,2021,0.116,0.0,0.0,0.0,0.116,1.876,104718
1741,SYGNA,2022,0.089,0.0,0.0,0.0,0.089,1.856,104718
1742,SYGNA,2023,0.039,0.0,0.0,0.0,0.039,0.808,104718
1743,SYGNA,2024,0.082,0.0,0.0,0.0,0.082,1.787,104718
1744,SYGNA,2025,0.071,0.0,0.0,0.0,0.071,2.131,104718
1745,SYGNA,2026,0.025,0.0,0.0,0.0,0.025,0.776,104718
1746,SYMRA,2026,0.061,0.003,0.001,0.0,0.065,0.0,42002480
1747,TAMBAR,2001,0.535,0.0,0.025,0.0,0.56,0.003,1028599
1748,TAMBAR,2002,1.726,0.0,0.087,0.0,1.814,0.005,1028599
1749,TAMBAR,2003,1.463,0.0,0.072,0.0,1.535,0.005,1028599
1750,TAMBAR,2004,0.884,0.0,0.046,0.0,0.93,0.004,1028599
1751,TAMBAR,2005,1.24,0.0,0.07,0.0,1.31,0.01,1028599
1752,TAMBAR,2006,0.936,0.0,0.056,0.0,0.991,0.017,1028599
1753,TAMBAR,2007,0.65,0.0,0.037,0.0,0.686,0.019,1028599
1754,TAMBAR,2008,0.591,0.0,0.037,0.0,0.629,0.027,1028599
1755,TAMBAR,2009,0.341,0.0,0.016,0.0,0.357,0.004,1028599
1756,TAMBAR,2010,0.285,0.0,0.013,0.0,0.298,0.003,1028599
1757,TAMBAR,2011,0.29,0.0,0.011,0.0,0.302,0.003,1028599
1758,TAMBAR,2012,0.226,0.0,0.01,0.0,0.235,0.002,1028599
1759,TAMBAR,2013,0.24,0.0,0.01,0.0,0.249,0.011,1028599
1760,TAMBAR,2014,0.334,0.0,0.014,0.0,0.347,0.024,1028599
1761,TAMBAR,2015,0.253,0.0,0.011,0.0,0.264,0.003,1028599
1762,TAMBAR,2016,0.222,0.0,0.01,0.0,0.232,0.008,1028599
1763,TAMBAR,2017,0.191,0.0,0.009,0.0,0.2,0.037,1028599
1764,TAMBAR,2018,0.332,0.0,0.016,0.0,0.348,0.019,1028599
1765,TAMBAR,2019,0.217,0.0,0.009,0.0,0.226,0.022,1028599
1766,TAMBAR,2020,0.253,0.0,0.014,0.0,0.266,0.032,1028599
1767,TAMBAR,2021,0.198,0.0,0.008,0.0,0.206,0.035,1028599
1768,TAMBAR,2022,0.097,0.0,0.006,0.0,0.103,0.024,1028599
1769,TAMBAR,2023,0.157,0.0,0.006,0.0,0.163,0.038,1028599
1770,TAMBAR,2024,0.095,0.0,0.005,0.0,0.1,0.021,1028599
1771,TAMBAR,2025,0.403,0.0,0.015,0.0,0.417,0.018,1028599
1772,TAMBAR,2026,0.092,0.0,0.003,0.0,0.094,0.02,1028599
1773,TOMMELITEN A,2023,0.088,0.096,0.011,0.0,0.195,0.003,40867462
1774,TOMMELITEN A,2024,1.045,1.284,0.124,0.0,2.453,0.014,40867462
1775,TOMMELITEN A,2025,1.098,1.686,0.13,0.0,2.914,0.035,40867462
1776,TOMMELITEN A,2026,0.316,0.584,0.043,0.0,0.944,0.015,40867462
1777,TOMMELITEN GAMMA,1988,0.204,0.255,0.041,0.0,0.5,0.0,43444
1778,TOMMELITEN GAMMA,1989,0.785,1.086,0.17,0.0,2.041,0.0,43444
1779,TOMMELITEN GAMMA,1990,0.691,1.25,0.184,0.0,2.125,0.0,43444
1780,TOMMELITEN GAMMA,1991,0.467,1.001,0.124,0.0,1.591,0.0,43444
1781,TOMMELITEN GAMMA,1992,0.437,1.171,0.124,0.0,1.732,0.0,43444
1782,TOMMELITEN GAMMA,1993,0.396,1.298,0.14,0.0,1.834,0.0,43444
1783,TOMMELITEN GAMMA,1994,0.27,0.993,0.109,0.0,1.372,0.0,43444
1784,TOMMELITEN GAMMA,1995,0.224,0.876,0.095,0.0,1.195,0.0,43444
1785,TOMMELITEN GAMMA,1996,0.189,0.788,0.083,0.0,1.061,0.0,43444
1786,TOMMELITEN GAMMA,1997,0.141,0.648,0.072,0.0,0.862,0.0,43444
1787,TOMMELITEN GAMMA,1998,0.069,0.327,0.039,0.0,0.435,0.0,43444
1788,TOR,1978,1.207,0.341,0.0,0.0,1.548,0.0,43520
1789,TOR,1979,4.526,1.157,0.14,0.0,5.823,0.0,43520
1790,TOR,1980,3.59,1.288,0.278,0.0,5.155,0.0,43520
1791,TOR,1981,1.884,1.177,0.229,0.0,3.29,0.0,43520
1792,TOR,1982,1.531,1.342,0.272,0.0,3.145,0.0,43520
1793,TOR,1983,0.968,1.087,0.255,0.0,2.31,0.0,43520
1794,TOR,1984,0.867,0.936,0.217,0.0,2.02,0.0,43520
1795,TOR,1985,0.824,0.779,0.201,0.0,1.805,0.0,43520
1796,TOR,1986,0.625,0.464,0.117,0.0,1.205,0.0,43520
1797,TOR,1987,0.477,0.343,0.089,0.0,0.909,0.0,43520
1798,TOR,1988,0.483,0.318,0.096,0.0,0.897,0.0,43520
1799,TOR,1989,0.51,0.312,0.089,0.0,0.912,0.0,43520
1800,TOR,1990,0.473,0.242,0.068,0.0,0.783,0.0,43520
1801,TOR,1991,0.346,0.161,0.038,0.0,0.545,0.0,43520
1802,TOR,1992,0.362,0.144,0.031,0.0,0.538,0.0,43520
1803,TOR,1993,0.346,0.095,0.022,0.0,0.463,0.0,43520
1804,TOR,1994,0.339,0.074,0.019,0.0,0.432,0.0,43520
1805,TOR,1995,0.339,0.067,0.018,0.0,0.424,0.0,43520
1806,TOR,1996,0.359,0.063,0.017,0.0,0.439,0.0,43520
1807,TOR,1997,0.347,0.057,0.017,0.0,0.421,0.0,43520
1808,TOR,1998,0.231,0.036,0.011,0.0,0.278,0.0,43520
1809,TOR,1999,0.221,0.037,0.011,0.0,0.269,0.0,43520
1810,TOR,2000,0.256,0.041,0.011,0.0,0.307,0.469,43520
1811,TOR,2001,0.257,0.035,0.01,0.0,0.301,0.715,43520
1812,TOR,2002,0.214,0.025,0.008,0.0,0.247,0.379,43520
1813,TOR,2003,0.163,0.017,0.007,0.0,0.187,0.316,43520
1814,TOR,2004,0.197,0.021,0.008,0.0,0.227,0.177,43520
1815,TOR,2005,0.18,0.02,0.008,0.0,0.208,0.037,43520
1816,TOR,2006,0.164,0.024,0.009,0.0,0.197,0.031,43520
1817,TOR,2007,0.315,0.054,0.016,0.0,0.385,0.187,43520
1818,TOR,2008,0.307,0.033,0.013,0.0,0.353,0.391,43520
1819,TOR,2009,0.292,0.024,0.01,0.0,0.326,0.377,43520
1820,TOR,2010,0.237,0.014,0.007,0.0,0.258,0.224,43520
1821,TOR,2011,0.219,0.008,0.005,0.0,0.232,0.265,43520
1822,TOR,2012,0.223,0.007,0.005,0.0,0.236,0.158,43520
1823,TOR,2013,0.199,0.008,0.005,0.0,0.212,0.209,43520
1824,TOR,2014,0.197,0.009,0.004,0.0,0.21,0.21,43520
1825,TOR,2015,0.181,0.007,0.004,0.0,0.191,0.172,43520
1826,TOR,2020,0.017,0.001,0.001,0.0,0.02,0.01,43520
1827,TOR,2021,0.805,0.073,0.036,0.0,0.914,0.334,43520
1828,TOR,2022,0.72,0.089,0.035,0.0,0.844,0.442,43520
1829,TOR,2023,0.583,0.118,0.035,0.0,0.737,0.496,43520
1830,TOR,2024,0.402,0.072,0.019,0.0,0.494,0.576,43520
1831,TOR,2025,0.336,0.053,0.01,0.0,0.4,0.469,43520
1832,TOR,2026,0.101,0.016,0.003,0.0,0.12,0.127,43520
1833,TORDIS,1994,1.555,0.093,0.041,0.0,1.689,0.0,43725
1834,TORDIS,1995,4.146,0.278,0.171,0.0,4.594,0.0,43725
1835,TORDIS,1996,4.504,0.364,0.199,0.0,5.067,0.0,43725
1836,TORDIS,1997,4.122,0.39,0.197,0.0,4.709,0.0,43725
1837,TORDIS,1998,3.97,0.32,0.196,0.0,4.486,0.0,43725
1838,TORDIS,1999,4.42,0.338,0.216,0.0,4.975,0.0,43725
1839,TORDIS,2000,3.994,0.304,0.199,0.0,4.497,1.232,43725
1840,TORDIS,2001,4.754,0.336,0.323,0.0,5.413,1.103,43725
1841,TORDIS,2002,4.616,0.317,0.319,0.0,5.251,1.303,43725
1842,TORDIS,2003,4.115,0.329,0.261,0.0,4.705,1.624,43725
1843,TORDIS,2004,3.686,0.281,0.215,0.0,4.182,2.274,43725
1844,TORDIS,2005,3.026,0.247,0.19,0.0,3.463,2.438,43725
1845,TORDIS,2006,1.668,0.107,0.089,0.0,1.864,2.821,43725
1846,TORDIS,2007,2.43,0.092,0.076,0.0,2.598,3.047,43725
1847,TORDIS,2008,1.609,0.002,0.002,0.0,1.613,4.494,43725
1848,TORDIS,2009,1.095,0.005,0.005,0.0,1.105,3.301,43725
1849,TORDIS,2010,0.736,0.0,0.004,0.0,0.741,1.642,43725
1850,TORDIS,2011,0.59,0.408,0.34,0.002,1.341,1.025,43725
1851,TORDIS,2012,0.223,0.018,0.015,0.0,0.256,0.396,43725
1852,TORDIS,2013,0.508,0.037,0.031,0.0,0.577,1.254,43725
1853,TORDIS,2014,0.746,0.018,0.016,0.0,0.78,2.996,43725
1854,TORDIS,2015,1.147,0.0,0.0,0.0,1.147,2.793,43725
1855,TORDIS,2016,1.447,0.0,0.0,0.0,1.447,3.312,43725
1856,TORDIS,2017,1.255,0.0,0.0,0.0,1.255,3.151,43725
1857,TORDIS,2018,0.952,0.0,0.0,0.0,0.952,4.55,43725
1858,TORDIS,2019,0.701,0.378,0.311,0.0,1.39,4.568,43725
1859,TORDIS,2020,0.619,0.041,0.03,0.0,0.689,5.356,43725
1860,TORDIS,2021,1.081,0.066,0.048,0.0,1.195,3.937,43725
1861,TORDIS,2022,1.333,0.085,0.045,0.0,1.463,3.423,43725
1862,TORDIS,2023,0.99,0.062,0.032,0.0,1.083,4.06,43725
1863,TORDIS,2024,0.691,0.053,0.025,0.0,0.769,5.027,43725
1864,TORDIS,2025,0.754,0.061,0.03,0.0,0.845,3.355,43725
1865,TORDIS,2026,0.161,0.013,0.006,0.0,0.18,0.95,43725
1866,TRESTAKK,2019,0.589,0.0,0.0,0.0,0.589,0.006,29396445
1867,TRESTAKK,2020,1.0,0.0,0.0,0.0,1.0,0.014,29396445
1868,TRESTAKK,2021,1.024,0.0,0.0,0.0,1.024,0.033,29396445
1869,TRESTAKK,2022,0.845,0.0,0.0,0.0,0.845,0.019,29396445
1870,TRESTAKK,2023,0.756,0.0,0.0,0.0,0.756,0.04,29396445
1871,TRESTAKK,2024,0.629,0.0,0.0,0.0,0.629,0.045,29396445
1872,TRESTAKK,2025,0.671,0.0,0.0,0.0,0.671,0.041,29396445
1873,TRESTAKK,2026,0.251,0.0,0.0,0.0,0.251,0.016,29396445
1874,TROLL,1990,1.051,0.0,0.0,0.0,1.051,0.0,46437
1875,TROLL,1991,0.176,0.0,0.0,0.0,0.176,0.0,46437
1876,TROLL,1992,0.063,0.0,0.0,0.0,0.063,0.0,46437
1877,TROLL,1993,0.06,0.0,0.0,0.0,0.06,0.0,46437
1878,TROLL,1994,0.061,0.0,0.0,0.0,0.061,0.0,46437
1879,TROLL,1995,2.856,0.0,0.0,0.0,2.856,0.0,46437
1880,TROLL,1996,13.324,5.507,0.0,0.0,18.831,0.0,46437
1881,TROLL,1997,14.767,14.317,0.0,0.0,29.084,0.0,46437
1882,TROLL,1998,13.254,19.954,0.0,0.0,33.208,0.0,46437
1883,TROLL,1999,12.909,25.461,0.0,0.218,38.588,0.0,46437
1884,TROLL,2000,18.362,24.666,0.0,0.75,43.778,15.814,46437
1885,TROLL,2001,19.503,21.433,0.0,0.639,41.576,18.491,46437
1886,TROLL,2002,21.194,25.581,0.0,0.768,47.543,18.919,46437
1887,TROLL,2003,20.821,26.169,0.0,1.512,48.502,21.917,46437
1888,TROLL,2004,17.764,26.362,0.282,0.45,44.857,23.636,46437
1889,TROLL,2005,14.093,28.34,1.31,0.0,43.742,22.594,46437
1890,TROLL,2006,10.82,30.701,1.4,0.0,42.921,21.258,46437
1891,TROLL,2007,9.426,35.78,1.369,0.0,46.574,21.661,46437
1892,TROLL,2008,8.168,29.739,1.075,0.0,38.982,21.539,46437
1893,TROLL,2009,7.849,24.401,1.065,0.0,33.316,20.957,46437
1894,TROLL,2010,6.87,28.556,1.072,0.0,36.498,19.984,46437
1895,TROLL,2011,7.264,24.796,0.93,0.0,32.989,19.843,46437
1896,TROLL,2012,7.1,34.407,1.411,0.0,42.918,18.964,46437
1897,TROLL,2013,7.097,29.634,1.235,0.0,37.965,17.761,46437
1898,TROLL,2014,7.298,29.045,1.23,0.0,37.573,18.744,46437
1899,TROLL,2015,7.014,34.633,1.337,0.0,42.985,18.333,46437
1900,TROLL,2016,7.348,31.871,1.282,0.0,40.501,17.625,46437
1901,TROLL,2017,7.244,36.744,1.468,0.0,45.456,18.027,46437
1902,TROLL,2018,6.41,38.561,1.482,0.0,46.453,17.172,46437
1903,TROLL,2019,6.259,31.567,1.197,0.0,39.023,17.73,46437
1904,TROLL,2020,4.993,35.08,1.324,0.0,41.396,16.922,46437
1905,TROLL,2021,4.068,37.361,1.374,0.0,42.803,16.032,46437
1906,TROLL,2022,3.628,39.784,1.285,0.0,44.697,19.17,46437
1907,TROLL,2023,2.336,37.464,1.322,0.0,41.122,16.024,46437
1908,TROLL,2024,1.891,43.754,1.416,0.0,47.061,16.931,46437
1909,TROLL,2025,1.462,40.997,1.092,0.0,43.551,17.918,46437
1910,TROLL,2026,0.4,14.288,0.357,0.0,15.045,5.46,46437
1911,TRYM,2011,0.334,0.461,0.0,0.0,0.795,0.0,18081500
1912,TRYM,2012,0.369,0.643,0.0,0.0,1.012,0.0,18081500
1913,TRYM,2013,0.192,0.369,0.0,0.0,0.561,0.0,18081500
1914,TRYM,2014,0.199,0.446,0.0,0.0,0.645,0.0,18081500
1915,TRYM,2015,0.197,0.532,0.0,0.0,0.729,0.0,18081500
1916,TRYM,2016,0.152,0.45,0.0,0.0,0.602,0.0,18081500
1917,TRYM,2017,0.134,0.407,0.0,0.0,0.541,0.0,18081500
1918,TRYM,2018,0.067,0.265,0.0,0.0,0.332,0.003,18081500
1919,TRYM,2019,0.031,0.145,0.0,0.0,0.176,0.0,18081500
1920,TRYM,2024,0.005,0.02,0.0,0.0,0.025,0.0,18081500
1921,TRYM,2025,0.051,0.201,0.0,0.0,0.252,0.0,18081500
1922,TRYM,2026,0.016,0.061,0.0,0.0,0.077,0.001,18081500
1923,TUNE,2002,0.018,0.044,0.001,0.0,0.063,0.0,853376
1924,TUNE,2003,1.139,3.332,0.042,0.0,4.513,0.048,853376
1925,TUNE,2004,0.958,3.972,0.046,0.0,4.976,0.041,853376
1926,TUNE,2005,0.506,3.118,0.034,0.0,3.658,0.032,853376
1927,TUNE,2006,0.287,2.557,0.027,0.0,2.871,0.015,853376
1928,TUNE,2007,0.165,1.801,0.02,0.0,1.985,0.027,853376
1929,TUNE,2008,0.099,1.273,0.021,0.0,1.392,0.098,853376
1930,TUNE,2009,0.112,1.056,0.018,0.0,1.187,0.024,853376
1931,TUNE,2010,0.071,0.594,0.012,0.0,0.676,0.006,853376
1932,TUNE,2011,0.046,0.435,0.009,0.0,0.49,0.007,853376
1933,TUNE,2012,0.042,0.343,0.006,0.0,0.391,0.013,853376
1934,TUNE,2013,0.043,0.398,0.006,0.0,0.447,0.009,853376
1935,TUNE,2014,0.032,0.319,0.005,0.0,0.356,0.035,853376
1936,TUNE,2015,0.022,0.195,0.003,0.0,0.219,0.027,853376
1937,TUNE,2016,0.013,0.129,0.002,0.0,0.144,0.007,853376
1938,TUNE,2017,-0.001,0.0,0.002,0.0,0.001,0.0,853376
1939,TUNE,2018,0.01,0.108,0.002,0.0,0.12,0.007,853376
1940,TUNE,2019,0.005,0.052,0.001,0.0,0.057,0.002,853376
1941,TUNE,2020,0.0,0.0,0.0,0.0,0.0,0.0,853376
1942,TUNE,2021,0.015,0.152,0.002,0.0,0.169,0.014,853376
1943,TUNE,2022,0.009,0.09,0.001,0.0,0.1,0.012,853376
1944,TUNE,2023,0.0,0.0,0.0,0.0,0.0,0.0,853376
1945,TUNE,2024,0.019,0.201,0.003,0.0,0.224,0.017,853376
1946,TUNE,2025,0.018,0.2,0.003,0.0,0.221,0.023,853376
1947,TUNE,2026,0.005,0.054,0.001,0.0,0.06,0.004,853376
1948,TYRIHANS,2009,1.596,0.348,0.162,0.0,2.106,0.001,3960848
1949,TYRIHANS,2010,4.056,0.05,0.022,0.0,4.128,0.0,3960848
1950,TYRIHANS,2011,5.121,0.27,0.125,0.0,5.516,0.0,3960848
1951,TYRIHANS,2012,5.148,0.024,0.012,0.0,5.184,0.222,3960848
1952,TYRIHANS,2013,3.465,0.352,0.16,0.0,3.977,0.287,3960848
1953,TYRIHANS,2014,3.517,1.174,0.48,0.0,5.17,0.806,3960848
1954,TYRIHANS,2015,2.553,1.798,0.662,0.0,5.013,1.021,3960848
1955,TYRIHANS,2016,1.642,2.141,0.72,0.0,4.503,1.017,3960848
1956,TYRIHANS,2017,1.569,3.169,0.953,0.0,5.691,1.151,3960848
1957,TYRIHANS,2018,1.139,2.927,0.909,0.0,4.975,0.973,3960848
1958,TYRIHANS,2019,0.984,3.212,0.935,0.0,5.131,1.227,3960848
1959,TYRIHANS,2020,0.862,2.905,0.808,0.0,4.575,1.134,3960848
1960,TYRIHANS,2021,0.728,2.644,0.625,0.0,3.997,0.437,3960848
1961,TYRIHANS,2022,0.699,3.107,0.517,0.0,4.323,0.31,3960848
1962,TYRIHANS,2023,0.58,3.127,0.538,0.0,4.245,0.244,3960848
1963,TYRIHANS,2024,0.454,2.798,0.491,0.0,3.744,0.181,3960848
1964,TYRIHANS,2025,0.48,2.904,0.432,0.0,3.816,0.135,3960848
1965,TYRIHANS,2026,0.154,0.871,0.128,0.0,1.153,0.043,3960848
1966,TYRVING,2024,0.429,0.011,0.0,0.0,0.44,0.007,42002471
1967,TYRVING,2025,1.365,0.042,0.0,0.0,1.407,0.259,42002471
1968,TYRVING,2026,0.3,0.011,0.0,0.0,0.311,0.117,42002471
1969,ULA,1986,0.847,0.038,0.066,0.0,0.951,0.0,43800
1970,ULA,1987,4.581,0.32,0.397,0.0,5.298,0.0,43800
1971,ULA,1988,5.062,0.361,0.502,0.0,5.926,0.0,43800
1972,ULA,1989,5.056,0.348,0.493,0.0,5.897,0.0,43800
1973,ULA,1990,5.505,0.376,0.515,0.0,6.395,0.0,43800
1974,ULA,1991,6.783,0.424,0.53,0.0,7.737,0.0,43800
1975,ULA,1992,7.317,0.457,0.531,0.0,8.305,0.0,43800
1976,ULA,1993,7.346,0.472,0.517,0.0,8.335,0.0,43800
1977,ULA,1994,5.458,0.349,0.373,0.0,6.179,0.0,43800
1978,ULA,1995,3.799,0.235,0.254,0.0,4.287,0.0,43800
1979,ULA,1996,2.715,0.165,0.162,0.0,3.042,0.0,43800
1980,ULA,1997,2.222,0.147,0.128,0.0,2.496,0.0,43800
1981,ULA,1998,1.697,0.022,0.074,0.0,1.793,0.0,43800
1982,ULA,1999,1.457,0.0,0.051,0.0,1.508,0.0,43800
1983,ULA,2000,1.178,0.0,0.043,0.0,1.221,4.338,43800
1984,ULA,2001,1.323,0.006,0.069,0.0,1.399,4.07,43800
1985,ULA,2002,1.241,0.046,0.092,0.0,1.379,3.009,43800
1986,ULA,2003,1.071,0.05,0.084,0.0,1.205,3.129,43800
1987,ULA,2004,1.034,0.028,0.066,0.0,1.127,3.662,43800
1988,ULA,2005,1.085,0.0,0.074,0.0,1.159,3.068,43800
1989,ULA,2006,0.988,0.0,0.064,0.0,1.052,2.818,43800
1990,ULA,2007,0.805,0.007,0.045,0.0,0.856,1.849,43800
1991,ULA,2008,0.549,0.001,0.024,0.0,0.574,0.787,43800
1992,ULA,2009,0.747,0.001,0.033,0.0,0.782,0.687,43800
1993,ULA,2010,1.101,0.0,0.053,0.0,1.154,1.776,43800
1994,ULA,2011,0.739,0.0,0.027,0.0,0.766,1.686,43800
1995,ULA,2012,0.529,0.0,0.021,0.0,0.55,1.796,43800
1996,ULA,2013,0.544,0.0,0.023,0.0,0.567,1.45,43800
1997,ULA,2014,0.646,0.0,0.022,0.0,0.668,2.676,43800
1998,ULA,2015,0.496,0.0,0.017,0.0,0.513,2.645,43800
1999,ULA,2016,0.461,0.0,0.016,0.0,0.477,2.867,43800
2000,ULA,2017,0.455,0.0,0.014,0.0,0.468,2.529,43800
2001,ULA,2018,0.427,0.0,0.009,0.0,0.436,3.091,43800
2002,ULA,2019,0.31,0.0,0.027,0.0,0.337,3.797,43800
2003,ULA,2020,0.314,0.0,0.044,0.0,0.358,3.439,43800
2004,ULA,2021,0.291,0.0,0.03,0.0,0.321,3.69,43800
2005,ULA,2022,0.196,0.0,0.022,0.0,0.218,2.815,43800
2006,ULA,2023,0.364,0.0,0.029,0.0,0.393,3.005,43800
2007,ULA,2024,0.273,0.0,0.016,0.0,0.289,2.677,43800
2008,ULA,2025,0.267,0.0,0.019,0.0,0.285,2.589,43800
2009,ULA,2026,0.061,0.0,0.005,0.0,0.066,0.69,43800
2010,URD,2005,0.191,0.011,0.003,0.0,0.205,0.0,2834734
2011,URD,2006,2.045,0.069,0.018,0.0,2.132,0.351,2834734
2012,URD,2007,0.846,0.032,0.008,0.0,0.886,0.527,2834734
2013,URD,2008,0.51,0.021,0.006,0.0,0.537,0.494,2834734
2014,URD,2009,0.363,0.007,0.002,0.0,0.372,0.401,2834734
2015,URD,2010,0.414,0.003,0.001,0.0,0.418,0.736,2834734
2016,URD,2011,0.314,0.002,0.0,0.0,0.316,0.581,2834734
2017,URD,2012,0.325,0.002,0.001,0.0,0.328,0.694,2834734
2018,URD,2013,0.273,0.032,0.007,0.0,0.312,0.572,2834734
2019,URD,2014,0.388,0.065,0.015,0.0,0.467,0.596,2834734
2020,URD,2015,0.257,0.017,0.003,0.0,0.277,0.878,2834734
2021,URD,2016,0.26,0.02,0.003,0.0,0.283,0.591,2834734
2022,URD,2017,0.518,0.008,0.001,0.0,0.526,0.645,2834734
2023,URD,2018,0.275,0.0,0.0,0.0,0.275,0.685,2834734
2024,URD,2019,0.185,0.0,0.0,0.0,0.185,0.623,2834734
2025,URD,2020,0.127,0.0,0.0,0.0,0.127,0.5,2834734
2026,URD,2021,0.18,0.0,0.0,0.0,0.18,0.564,2834734
2027,URD,2022,0.239,0.0,0.0,0.0,0.239,1.048,2834734
2028,URD,2023,0.114,0.0,0.0,0.0,0.114,0.641,2834734
2029,URD,2024,0.185,0.0,0.0,0.0,0.185,0.518,2834734
2030,URD,2025,0.125,0.0,0.0,0.0,0.125,0.28,2834734
2031,URD,2026,0.067,0.0,0.0,0.0,0.068,0.174,2834734
2032,UTGARD,2019,0.209,0.155,0.07,0.0,0.435,0.001,28975098
2033,UTGARD,2020,0.327,0.316,0.123,0.0,0.767,0.131,28975098
2034,UTGARD,2021,0.162,0.209,0.055,0.0,0.427,0.06,28975098
2035,UTGARD,2022,0.082,0.125,0.016,0.0,0.222,0.071,28975098
2036,UTGARD,2023,0.056,0.11,0.011,0.0,0.177,0.022,28975098
2037,UTGARD,2024,0.09,0.088,0.018,0.0,0.197,0.034,28975098
2038,UTGARD,2025,0.064,0.072,0.013,0.0,0.149,0.015,28975098
2039,UTGARD,2026,0.028,0.035,0.007,0.0,0.07,0.005,28975098
2040,VALE,2002,0.054,0.0,0.0,0.0,0.054,0.0,1578893
2041,VALE,2003,0.153,0.119,0.0,0.0,0.272,0.0,1578893
2042,VALE,2004,0.16,0.132,0.0,0.0,0.292,0.0,1578893
2043,VALE,2005,0.077,0.062,0.0,0.0,0.139,0.0,1578893
2044,VALE,2006,0.178,0.146,0.0,0.0,0.324,0.0,1578893
2045,VALE,2007,0.173,0.136,0.0,0.0,0.31,0.0,1578893
2046,VALE,2008,0.204,0.173,0.0,0.0,0.376,0.0,1578893
2047,VALE,2009,0.183,0.156,0.0,0.0,0.339,0.0,1578893
2048,VALE,2010,0.008,0.009,0.0,0.0,0.017,0.0,1578893
2049,VALE,2011,0.016,0.015,0.0,0.0,0.031,0.0,1578893
2050,VALE,2012,0.125,0.122,0.0,0.0,0.246,0.0,1578893
2051,VALE,2013,0.178,0.181,0.0,0.0,0.359,0.0,1578893
2052,VALE,2014,0.203,0.233,0.0,0.0,0.436,0.0,1578893
2053,VALE,2015,0.267,0.292,0.0,0.0,0.56,0.0,1578893
2054,VALE,2016,0.151,0.136,0.0,0.0,0.286,0.0,1578893
2055,VALE,2017,0.077,0.07,0.0,0.0,0.147,0.0,1578893
2056,VALE,2018,0.024,0.009,0.0,0.0,0.033,0.0,1578893
2057,VALE,2019,0.036,0.001,0.0,0.0,0.037,0.0,1578893
2058,VALE,2020,0.162,0.07,0.0,0.0,0.232,0.025,1578893
2059,VALE,2021,0.165,0.194,0.0,0.0,0.358,0.018,1578893
