,fldName,fldStatusFromDate,fldStatusToDate,fldStatus,fldNpdidField,fldStatusDateUpdated,datesyncNPD
80,GLITNE,24.02.2013,,Shut down,1272071,28.02.2023,02.04.2024
81,GOLIAT,18.06.2009,11.03.2016,Approved for production,5774394,28.02.2023,02.04.2024
82,GOLIAT,12.03.2016,,Producing,5774394,28.02.2023,02.04.2024
83,GRANE,14.06.2000,22.09.2003,Approved for production,1035937,28.02.2023,02.04.2024
84,GRANE,23.09.2003,,Producing,1035937,28.02.2023,02.04.2024
85,GUDRUN,16.06.2010,06.04.2014,Approved for production,18116481,28.02.2023,02.04.2024
86,GUDRUN,07.04.2014,,Producing,18116481,28.02.2023,02.04.2024
87,GULLFAKS,09.10.1981,21.12.1986,Approved for production,43686,28.02.2023,02.04.2024
88,GULLFAKS,22.12.1986,,Producing,43686,28.02.2023,02.04.2024
89,GULLFAKS SØR,29.03.1996,09.10.1998,Approved for production,43699,28.02.2023,02.04.2024
90,GULLFAKS SØR,10.10.1998,,Producing,43699,28.02.2023,02.04.2024
91,GUNGNE,29.08.1995,20.04.1996,Approved for production,43464,28.02.2023,02.04.2024
92,GUNGNE,21.04.1996,,Producing,43464,28.02.2023,02.04.2024
93,GYDA,02.06.1987,20.06.1990,Approved for production,43492,28.02.2023,02.04.2024
94,GYDA,21.06.1990,28.02.2020,Producing,43492,28.02.2023,02.04.2024
95,GYDA,29.02.2020,,Shut down,43492,28.02.2023,02.04.2024
96,HALTEN ØST,13.02.2023,,Approved for production,42148955,28.02.2023,02.04.2024
97,HANZ,21.05.2013,,Approved for production,25307278,28.02.2023,02.04.2024
98,HEIDRUN,14.05.1991,17.10.1995,Approved for production,43771,28.02.2023,02.04.2024
99,HEIDRUN,18.10.1995,,Producing,43771,28.02.2023,02.04.2024
100,HEIMDAL,10.06.1981,12.12.1985,Approved for production,43590,28.02.2023,02.04.2024
101,HEIMDAL,13.12.1985,05.09.2023,Producing,43590,19.09.2023,02.04.2024
102,HEIMDAL,06.09.2023,,Shut down,43590,19.09.2023,02.04.2024
103,HOD,26.06.1988,29.09.1990,Approved for production,43485,28.02.2023,02.04.2024
104,HOD,30.09.1990,,Producing,43485,28.02.2023,02.04.2024
105,HUGIN,27.06.2023,,Approved for production,42002474,08.08.2023,02.04.2024
106,HULDRA,02.02.1999,20.11.2001,Approved for production,97002,28.02.2023,02.04.2024
107,HULDRA,21.11.2001,02.09.2014,Producing,97002,28.02.2023,02.04.2024
108,HULDRA,03.09.2014,,Shut down,97002,28.02.2023,02.04.2024
109,HYME,24.06.2011,01.03.2013,Approved for production,20474183,28.02.2023,02.04.2024
110,HYME,02.03.2013,,Producing,20474183,28.02.2023,02.04.2024
111,IDUN NORD,28.06.2023,,Approved for production,42002477,10.08.2023,02.04.2024
112,IRPA,28.06.2023,,Approved for production,42002482,10.08.2023,02.04.2024
113,ISLAY,05.07.2010,09.04.2012,Approved for production,21105675,28.02.2023,02.04.2024
114,ISLAY,10.04.2012,,Producing,21105675,28.02.2023,02.04.2024
115,IVAR AASEN,21.05.2013,23.12.2016,Approved for production,23384520,28.02.2023,02.04.2024
116,IVAR AASEN,24.12.2016,,Producing,23384520,28.02.2023,02.04.2024
117,JETTE,17.02.2012,19.05.2013,Approved for production,21613906,28.02.2023,02.04.2024
118,JETTE,20.05.2013,12.12.2016,Producing,21613906,28.02.2023,02.04.2024
119,JETTE,13.12.2016,,Shut down,21613906,28.02.2023,02.04.2024
120,JOHAN CASTBERG,11.06.2018,,Approved for production,32017325,28.02.2023,02.04.2024
121,JOHAN SVERDRUP,18.06.2015,04.10.2019,Approved for production,26376286,28.02.2023,02.04.2024
122,JOHAN SVERDRUP,05.10.2019,,Producing,26376286,28.02.2023,02.04.2024
123,JOTUN,10.06.1997,24.10.1999,Approved for production,43604,28.02.2023,02.04.2024
124,JOTUN,25.10.1999,12.12.2016,Producing,43604,28.02.2023,02.04.2024
125,JOTUN,13.12.2016,,Shut down,43604,28.02.2023,02.04.2024
126,KNARR,09.06.2011,15.03.2015,Approved for production,20460988,28.02.2023,02.04.2024
127,KNARR,16.03.2015,30.04.2022,Producing,20460988,28.02.2023,02.04.2024
128,KNARR,01.05.2022,,Shut down,20460988,28.02.2023,02.04.2024
129,KRISTIN,17.12.2001,02.11.2005,Approved for production,1854729,28.02.2023,02.04.2024
130,KRISTIN,03.11.2005,,Producing,1854729,28.02.2023,02.04.2024
131,KVITEBJØRN,14.06.2000,25.09.2004,Approved for production,1036101,28.02.2023,02.04.2024
132,KVITEBJØRN,26.09.2004,,Producing,1036101,28.02.2023,02.04.2024
133,LILLE-FRIGG,06.09.1991,12.05.1994,Approved for production,43583,28.02.2023,02.04.2024
134,LILLE-FRIGG,13.05.1994,24.03.1999,Producing,43583,28.02.2023,02.04.2024
135,LILLE-FRIGG,25.03.1999,,Shut down,43583,28.02.2023,02.04.2024
136,MARIA,04.09.2015,15.12.2017,Approved for production,26465170,28.02.2023,02.04.2024
137,MARIA,16.12.2017,,Producing,26465170,28.02.2023,02.04.2024
138,MARTIN LINGE,11.06.2012,29.06.2021,Approved for production,21675447,28.02.2023,02.04.2024
139,MARTIN LINGE,30.06.2021,,Producing,21675447,28.02.2023,02.04.2024
140,MARULK,15.07.2010,01.04.2012,Approved for production,18212090,28.02.2023,02.04.2024
141,MARULK,02.04.2012,,Producing,18212090,28.02.2023,02.04.2024
142,MIKKEL,14.09.2001,31.07.2003,Approved for production,1630514,28.02.2023,02.04.2024
143,MIKKEL,01.08.2003,,Producing,1630514,28.02.2023,02.04.2024
144,MIME,06.11.1992,31.12.1992,Approved for production,43792,28.02.2023,02.04.2024
145,MIME,01.01.1993,03.11.1993,Producing,43792,28.02.2023,02.04.2024
146,MIME,04.11.1993,,Shut down,43792,28.02.2023,02.04.2024
147,MORVIN,25.04.2008,31.07.2010,Approved for production,4966234,28.02.2023,02.04.2024
148,MORVIN,01.08.2010,,Producing,4966234,28.02.2023,02.04.2024
149,MUNIN,27.06.2023,,Approved for production,42002476,09.08.2023,02.04.2024
150,MURCHISON,15.12.1976,27.09.1980,Approved for production,43665,28.02.2023,02.04.2024
151,MURCHISON,28.09.1980,30.03.2014,Producing,43665,28.02.2023,02.04.2024
152,MURCHISON,31.03.2014,,Shut down,43665,28.02.2023,02.04.2024
153,NJORD,12.06.1995,29.09.1997,Approved for production,43751,28.02.2023,02.04.2024
154,NJORD,30.09.1997,,Producing,43751,28.02.2023,02.04.2024
155,NORDØST FRIGG,12.09.1980,30.11.1983,Approved for production,43568,28.02.2023,02.04.2024
156,NORDØST FRIGG,01.12.1983,07.05.1993,Producing,43568,28.02.2023,02.04.2024
157,NORDØST FRIGG,08.05.1993,,Shut down,43568,28.02.2023,02.04.2024
158,NORNE,09.03.1995,05.11.1997,Approved for production,43778,28.02.2023,02.04.2024
159,NORNE,06.11.1997,,Producing,43778,28.02.2023,02.04.2024
160,NOVA,27.09.2018,28.07.2022,Approved for production,33197696,28.02.2023,02.04.2024
161,NOVA,29.07.2022,,Producing,33197696,28.02.2023,02.04.2024
162,ODA,12.05.2017,15.03.2019,Approved for production,29412516,28.02.2023,02.04.2024
163,ODA,16.03.2019,,Producing,29412516,28.02.2023,02.04.2024
164,ODIN,18.07.1980,31.03.1984,Approved for production,43610,28.02.2023,02.04.2024
165,ODIN,01.04.1984,31.07.1994,Producing,43610,28.02.2023,02.04.2024
166,ODIN,01.08.1994,,Shut down,43610,28.02.2023,02.04.2024
167,ORMEN LANGE,02.04.2004,12.09.2007,Approved for production,2762452,28.02.2023,02.04.2024
168,ORMEN LANGE,13.09.2007,,Producing,2762452,28.02.2023,02.04.2024
169,OSEBERG,05.06.1984,30.11.1988,Approved for production,43625,28.02.2023,02.04.2024
170,OSEBERG,01.12.1988,,Producing,43625,28.02.2023,02.04.2024
171,OSEBERG SØR,10.06.1997,04.02.2000,Approved for production,43645,28.02.2023,02.04.2024
172,OSEBERG SØR,05.02.2000,,Producing,43645,28.02.2023,02.04.2024
173,OSEBERG ØST,11.10.1996,02.05.1999,Approved for production,43639,28.02.2023,02.04.2024
174,OSEBERG ØST,03.05.1999,,Producing,43639,28.02.2023,02.04.2024
175,OSELVAR,19.06.2009,13.04.2012,Approved for production,5506919,28.02.2023,02.04.2024
176,OSELVAR,14.04.2012,31.03.2018,Producing,5506919,28.02.2023,02.04.2024
177,OSELVAR,01.04.2018,,Shut down,5506919,28.02.2023,02.04.2024
178,REV,15.06.2007,23.01.2009,Approved for production,4467554,28.02.2023,02.04.2024
179,REV,24.01.2009,,Producing,4467554,28.02.2023,02.04.2024
180,RINGHORNE ØST,10.11.2005,18.03.2006,Approved for production,3505505,28.02.2023,02.04.2024
181,RINGHORNE ØST,19.03.2006,,Producing,3505505,28.02.2023,02.04.2024
182,SIGYN,31.08.2001,21.12.2002,Approved for production,1630100,28.02.2023,02.04.2024
183,SIGYN,22.12.2002,,Producing,1630100,28.02.2023,02.04.2024
184,SINDRE,27.03.2017,25.05.2017,Approved for production,29401178,28.02.2023,02.04.2024
185,SINDRE,26.05.2017,,Producing,29401178,28.02.2023,02.04.2024
186,SKARV,18.12.2007,31.12.2012,Approved for production,4704482,28.02.2023,02.04.2024
187,SKARV,01.01.2013,,Producing,4704482,28.02.2023,02.04.2024
188,SKIRNE,05.07.2002,02.03.2004,Approved for production,2138816,28.02.2023,02.04.2024
189,SKIRNE,03.03.2004,22.06.2023,Producing,2138816,16.08.2023,02.04.2024
190,SKIRNE,23.06.2023,,Shut down,2138816,16.08.2023,02.04.2024
191,SKOGUL,23.03.2018,10.03.2020,Approved for production,31164600,28.02.2023,02.04.2024
192,SKOGUL,11.03.2020,,Producing,31164600,28.02.2023,02.04.2024
193,SKULD,20.01.2012,18.03.2013,Approved for production,21350124,28.02.2023,02.04.2024
194,SKULD,19.03.2013,,Producing,21350124,28.02.2023,02.04.2024
195,SLEIPNER VEST,14.12.1992,28.08.1996,Approved for production,43457,28.02.2023,02.04.2024
196,SLEIPNER VEST,29.08.1996,,Producing,43457,28.02.2023,02.04.2024
197,SLEIPNER ØST,15.12.1986,23.08.1993,Approved for production,43478,28.02.2023,02.04.2024
198,SLEIPNER ØST,24.08.1993,,Producing,43478,28.02.2023,02.04.2024
199,SNORRE,27.05.1988,02.08.1992,Approved for production,43718,28.02.2023,02.04.2024
200,SNORRE,03.08.1992,,Producing,43718,28.02.2023,02.04.2024
201,SNØHVIT,07.03.2002,20.08.2007,Approved for production,2053062,28.02.2023,02.04.2024
202,SNØHVIT,21.08.2007,,Producing,2053062,28.02.2023,02.04.2024
203,SOLVEIG,26.06.2019,28.09.2021,Approved for production,34833011,28.02.2023,02.04.2024
204,SOLVEIG,29.09.2021,,Producing,34833011,28.02.2023,02.04.2024
205,STATFJORD,16.06.1976,23.11.1979,Approved for production,43658,28.02.2023,02.04.2024
206,STATFJORD,24.11.1979,,Producing,43658,28.02.2023,02.04.2024
207,STATFJORD NORD,11.12.1990,22.01.1995,Approved for production,43679,28.02.2023,02.04.2024
208,STATFJORD NORD,23.01.1995,,Producing,43679,28.02.2023,02.04.2024
209,STATFJORD ØST,11.12.1990,23.09.1994,Approved for production,43672,28.02.2023,02.04.2024
210,STATFJORD ØST,24.09.1994,,Producing,43672,28.02.2023,02.04.2024
211,SVALIN,23.11.2012,23.03.2014,Approved for production,22507971,28.02.2023,02.04.2024
212,SVALIN,24.03.2014,,Producing,22507971,28.02.2023,02.04.2024
213,SYGNA,30.04.1999,31.07.2000,Approved for production,104718,28.02.2023,02.04.2024
214,SYGNA,01.08.2000,,Producing,104718,28.02.2023,02.04.2024
215,SYMRA,28.06.2023,,Approved for production,42002480,10.08.2023,02.04.2024
216,TAMBAR,03.04.2000,14.07.2001,Approved for production,1028599,28.02.2023,02.04.2024
217,TAMBAR,15.07.2001,,Producing,1028599,28.02.2023,02.04.2024
218,TAMBAR ØST,28.06.2007,01.10.2007,Approved for production,4999528,28.02.2023,02.04.2024
219,TAMBAR ØST,02.10.2007,,Producing,4999528,28.02.2023,02.04.2024
220,TOMMELITEN A,08.07.2022,12.10.2023,Approved for production,40867462,14.10.2023,02.04.2024
221,TOMMELITEN A,13.10.2023,,Producing,40867462,14.10.2023,02.04.2024
222,TOMMELITEN GAMMA,12.06.1986,02.10.1988,Approved for production,43444,28.02.2023,02.04.2024
223,TOMMELITEN GAMMA,03.10.1988,04.08.1998,Producing,43444,28.02.2023,02.04.2024
224,TOMMELITEN GAMMA,05.08.1998,,Shut down,43444,28.02.2023,02.04.2024
225,TOR,04.05.1973,27.06.1978,Approved for production,43520,28.02.2023,02.04.2024
226,TOR,28.06.1978,31.12.2015,Producing,43520,28.02.2023,02.04.2024
227,TOR,01.01.2016,13.11.2019,Shut down,43520,28.02.2023,02.04.2024
228,TOR,14.11.2019,02.12.2020,Approved for production,43520,28.02.2023,02.04.2024
229,TOR,03.12.2020,,Producing,43520,28.02.2023,02.04.2024
230,TORDIS,14.05.1991,02.06.1994,Approved for production,43725,28.02.2023,02.04.2024
231,TORDIS,03.06.1994,,Producing,43725,28.02.2023,02.04.2024
232,TRESTAKK,30.03.2017,15.07.2019,Approved for production,29396445,28.02.2023,02.04.2024
233,TRESTAKK,16.07.2019,,Producing,29396445,28.02.2023,02.04.2024
234,TROLL,15.12.1986,18.09.1995,Approved for production,46437,28.02.2023,02.04.2024
235,TROLL,19.09.1995,,Producing,46437,28.02.2023,02.04.2024
236,TROLL BRENT B,06.04.2017,27.05.2017,Approved for production,29398828,28.02.2023,02.04.2024
237,TROLL BRENT B,28.05.2017,,Shut down,29398828,28.02.2023,02.04.2024
238,TRYM,26.03.2010,11.02.2011,Approved for production,18081500,28.02.2023,02.04.2024
239,TRYM,12.02.2011,,Producing,18081500,28.02.2023,02.04.2024
240,TUNE,17.12.1999,27.11.2002,Approved for production,853376,28.02.2023,02.04.2024
241,TUNE,28.11.2002,,Producing,853376,28.02.2023,02.04.2024
242,TYRIHANS,16.02.2006,07.07.2009,Approved for production,3960848,28.02.2023,02.04.2024
243,TYRIHANS,08.07.2009,,Producing,3960848,28.02.2023,02.04.2024
244,TYRVING,05.06.2023,,Approved for production,42002471,07.06.2023,02.04.2024
245,ULA,30.05.1980,05.10.1986,Approved for production,43800,28.02.2023,02.04.2024
246,ULA,06.10.1986,,Producing,43800,28.02.2023,02.04.2024
247,URD,02.07.2004,07.11.2005,Approved for production,2834734,28.02.2023,02.04.2024
248,URD,08.11.2005,,Producing,2834734,28.02.2023,02.04.2024
249,UTGARD,17.01.2017,15.09.2019,Approved for production,28975098,28.02.2023,02.04.2024
250,UTGARD,16.09.2019,,Producing,28975098,28.02.2023,02.04.2024
251,VALE,23.03.2001,30.05.2002,Approved for production,1578893,28.02.2023,02.04.2024
252,VALE,31.05.2002,05.09.2023,Producing,1578893,19.09.2023,02.04.2024
253,VALE,06.09.2023,,Shut down,1578893,19.09.2023,02.04.2024
254,VALEMON,09.06.2011,02.01.2015,Approved for production,20460969,28.02.2023,02.04.2024
255,VALEMON,03.01.2015,,Producing,20460969,28.02.2023,02.04.2024
256,VALHALL,02.06.1977,30.09.1982,Approved for production,43548,28.02.2023,02.04.2024
257,VALHALL,01.10.1982,,Producing,43548,28.02.2023,02.04.2024
258,VARG,03.05.1996,21.12.1998,Approved for production,43451,28.02.2023,02.04.2024
259,VARG,22.12.1998,01.06.2016,Producing,43451,28.02.2023,02.04.2024
260,VARG,02.06.2016,,Shut down,43451,28.02.2023,02.04.2024
261,VEGA,14.06.2007,01.12.2010,Approved for production,4467595,28.02.2023,02.04.2024
262,VEGA,02.12.2010,,Producing,4467595,28.02.2023,02.04.2024
263,VERDANDE,28.06.2023,,Approved for production,42002481,10.08.2023,02.04.2024
264,VESLEFRIKK,02.06.1987,25.12.1989,Approved for production,43618,28.02.2023,02.04.2024
265,VESLEFRIKK,26.12.1989,17.02.2022,Producing,43618,28.02.2023,02.04.2024
266,VESLEFRIKK,18.02.2022,,Shut down,43618,28.02.2023,02.04.2024
267,VEST EKOFISK,04.05.1973,30.05.1977,Approved for production,43513,28.02.2023,02.04.2024
268,VEST EKOFISK,31.05.1977,24.08.1998,Producing,43513,28.02.2023,02.04.2024
269,VEST EKOFISK,25.08.1998,,Shut down,43513,28.02.2023,02.04.2024
270,VIGDIS,16.12.1994,27.01.1997,Approved for production,43732,28.02.2023,02.04.2024
271,VIGDIS,28.01.1997,,Producing,43732,28.02.2023,02.04.2024
272,VILJE,18.03.2005,31.07.2008,Approved for production,3392471,28.02.2023,02.04.2024
273,VILJE,01.08.2008,,Producing,3392471,28.02.2023,02.04.2024
274,VISUND,29.03.1996,20.04.1999,Approved for production,43745,28.02.2023,02.04.2024
275,VISUND,21.04.1999,,Producing,43745,28.02.2023,02.04.2024
276,VISUND SØR,10.06.2011,21.11.2012,Approved for production,20461008,28.02.2023,02.04.2024
277,VISUND SØR,22.11.2012,,Producing,20461008,28.02.2023,02.04.2024
278,VOLUND,18.01.2007,09.09.2009,Approved for production,4380167,28.02.2023,02.04.2024
279,VOLUND,10.09.2009,,Producing,4380167,28.02.2023,02.04.2024
280,VOLVE,22.04.2005,11.02.2008,Approved for production,3420717,28.02.2023,02.04.2024
281,VOLVE,12.02.2008,21.09.2016,Producing,3420717,28.02.2023,02.04.2024
282,VOLVE,22.09.2016,,Shut down,3420717,28.02.2023,02.04.2024
283,YME,06.01.1995,26.02.1996,Approved for production,43807,28.02.2023,02.04.2024
284,YME,27.02.1996,16.04.2001,Producing,43807,28.02.2023,02.04.2024
285,YME,17.04.2001,10.05.2007,Shut down,43807,28.02.2023,02.04.2024
286,YME,11.05.2007,11.12.2014,Approved for production,43807,28.02.2023,02.04.2024
287,YME,12.12.2014,22.03.2018,Shut down,43807,28.02.2023,02.04.2024
288,YME,23.03.2018,24.10.2021,Approved for production,43807,28.02.2023,02.04.2024
289,YME,25.10.2021,,Producing,43807,28.02.2023,02.04.2024
290,YTTERGRYTA,21.05.2008,04.01.2009,Approved for production,4973114,28.02.2023,02.04.2024
291,YTTERGRYTA,05.01.2009,28.06.2013,Producing,4973114,28.02.2023,02.04.2024
292,YTTERGRYTA,29.06.2013,,Shut down,4973114,28.02.2023,02.04.2024
293,ÆRFUGL NORD,06.04.2018,04.11.2021,Approved for production,38542241,28.02.2023,02.04.2024
294,ÆRFUGL NORD,05.11.2021,,Producing,38542241,28.02.2023,02.04.2024
295,ØRN,28.06.2023,,Approved for production,42002484,10.08.2023,02.04.2024
296,ØST FRIGG,14.12.1984,30.09.1988,Approved for production,43576,28.02.2023,02.04.2024
297,ØST FRIGG,01.10.1988,21.12.1997,Producing,43576,28.02.2023,02.04.2024
298,ØST FRIGG,22.12.1997,,Shut down,43576,28.02.2023,02.04.2024
299,ÅSGARD,14.06.1996,18.05.1999,Approved for production,43765,28.02.2023,02.04.2024
300,ÅSGARD,19.05.1999,,Producing,43765,28.02.2023,02.04.2024
301,AASTA HANSTEEN,07.06.2013,15.12.2018,Approved for production,23395946,28.02.2023,02.04.2024
302,AASTA HANSTEEN,16.12.2018,,Producing,23395946,28.02.2023,02.04.2024
