"name","field","npdId","year","operationTime","operationTimeUom","gas","gasUom","water","waterUom","co2","co2Uom","cuttings","cuttingsUom"
"15/3-A-10","GUDRUN","9017",2022,148.043,"d",0,"Sm3",1331,"Sm3"," ","Sm3"," ","Sm3"
"15/3-A-10","GUDRUN","9017",2023,240.065,"d",0,"Sm3",34054,"Sm3"," ","Sm3"," ","Sm3"
"15/3-A-10","GUDRUN","9017",2024,148.606,"d",0,"Sm3",24068,"Sm3"," ","Sm3"," ","Sm3"
"15/3-A-11","GUDRUN","9018",2022,148.73,"d",0,"Sm3",21456,"Sm3"," ","Sm3"," ","Sm3"
"15/3-A-11","GUDRUN","9018",2023,253.694,"d",0,"Sm3",1212783,"Sm3"," ","Sm3"," ","Sm3"
"15/3-A-11","GUDRUN","9018",2024,158.174,"d",0,"Sm3",722906,"Sm3"," ","Sm3"," ","Sm3"
"15/6-B-13","GINA KROG","7939",2022,0.003,"d",0,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/6-B-13","GINA KROG","7939",2023," ","d",0,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/6-B-14 A","GINA KROG","8649",2022," ","d",1214,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/6-B-7","GINA KROG","7740",2022,0.458,"d",22788,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/6-B-7","GINA KROG","7740",2023," ","d",0,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/6-B-7","GINA KROG","7740",2024," ","d",0,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/6-B-9","GINA KROG","7741",2022,0.001,"d",17692,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/6-B-9","GINA KROG","7741",2023," ","d",0,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/6-B-9","GINA KROG","7741",2024," ","d",0,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/9-A-16","SLEIPNER ØST","2763",2022,209.913,"d",10405053,"Sm3",0,"Sm3",51187952,"Sm3"," ","Sm3"
"15/9-A-16","SLEIPNER ØST","2763",2023,145.412,"d"," ","Sm3",0,"Sm3",56735337,"Sm3"," ","Sm3"
"15/9-A-16","SLEIPNER ØST","2763",2024,49.425,"d"," ","Sm3",0,"Sm3",21656662,"Sm3"," ","Sm3"
