"name","field","npdId","year","operationTime","operationTimeUom","oil","oilUom","gas","gasUom","condensate","condensateUom","water","waterUom"
"1/3-K-1","TAMBAR","4320",2022,114.8,"d",56230,"Sm3",8497911,"Sm3"," ","Sm3",16722,"Sm3"
"1/3-K-1","TAMBAR","4320",2023,153.9,"d",82378,"Sm3",13455347,"Sm3"," ","Sm3",29550,"Sm3"
"1/3-K-1","TAMBAR","4320",2024,43.1,"d",19729,"Sm3",3310231,"Sm3"," ","Sm3",3752,"Sm3"
"1/3-K-2 B","TAMBAR","9254",2022,170.2,"d",42180,"Sm3",13428353,"Sm3"," ","Sm3",3472,"Sm3"
"1/3-K-2 B","TAMBAR","9254",2023,128.2,"d",40430,"Sm3",8394098,"Sm3"," ","Sm3",5417,"Sm3"
"1/3-K-2 B","TAMBAR","9254",2024,53.1,"d",11606,"Sm3",3413479,"Sm3"," ","Sm3",1922,"Sm3"
"1/3-K-3","TAMBAR","4396",2022," ","d",0,"Sm3",0,"Sm3"," ","Sm3",0,"Sm3"
"1/3-K-3","TAMBAR","4396",2023," ","d",27,"Sm3",4095,"Sm3"," ","Sm3",30,"Sm3"
"1/3-K-3","TAMBAR","4396",2024," ","d",0,"Sm3",0,"Sm3"," ","Sm3",0,"Sm3"
"1/3-K-4","TAMBAR","8287",2022,56.8,"d",15419,"Sm3",2203416,"Sm3"," ","Sm3",12331,"Sm3"
"1/3-K-4","TAMBAR","8287",2023,55.6,"d",18926,"Sm3",2323483,"Sm3"," ","Sm3",12834,"Sm3"
"1/3-K-4","TAMBAR","8287",2024,92.8,"d",15540,"Sm3",2461892,"Sm3"," ","Sm3",5995,"Sm3"
"1/3-K-5 A","TAMBAR","5486",2023,17.8,"d",5547,"Sm3",547572,"Sm3"," ","Sm3",507,"Sm3"
"1/3-K-5 A","TAMBAR ØST","5486",2023,89.1,"d",16619,"Sm3",1717332,"Sm3"," ","Sm3",1603,"Sm3"
"1/3-K-5 A","TAMBAR ØST","5486",2024,1.6,"d",149,"Sm3",14086,"Sm3"," ","Sm3",11,"Sm3"
"1/3-K-6","TAMBAR","4325",2022,1.6,"d",204,"Sm3",30382,"Sm3"," ","Sm3",184,"Sm3"
"1/3-K-6","TAMBAR","4325",2023,10,"d",1918,"Sm3",342399,"Sm3"," ","Sm3",3669,"Sm3"
"1/3-K-6","TAMBAR","4325",2024," ","d",0,"Sm3",0,"Sm3"," ","Sm3",0,"Sm3"
"1/9-AA-1 H","TOMMELITEN A","9871",2023," ","d",0,"Sm3",0,"Sm3"," ","Sm3",0,"Sm3"
"1/9-AA-1 H","TOMMELITEN A","9871",2024," ","d",0,"Sm3",0,"Sm3"," ","Sm3",0,"Sm3"
"1/9-AA-2 H","TOMMELITEN A","9872",2023," ","d",0,"Sm3",0,"Sm3"," ","Sm3",0,"Sm3"
"1/9-AA-2 H","TOMMELITEN A","9872",2024," ","d",0,"Sm3",0,"Sm3"," ","Sm3",0,"Sm3"
"1/9-AA-3 H","TOMMELITEN A","9873",2023," ","d",0,"Sm3",0,"Sm3"," ","Sm3",0,"Sm3"
"1/9-AA-3 H","TOMMELITEN A","9873",2024," ","d",0,"Sm3",0,"Sm3"," ","Sm3",0,"Sm3"
"1/9-AA-4 H","TOMMELITEN A","9874",2023," ","d",0,"Sm3",0,"Sm3"," ","Sm3",0,"Sm3"
"1/9-AA-4 H","TOMMELITEN A","9874",2024," ","d",0,"Sm3",0,"Sm3"," ","Sm3",0,"Sm3"
"1/9-AA-5 H","TOMMELITEN A","9875",2024," ","d",0,"Sm3",0,"Sm3"," ","Sm3",0,"Sm3"
"1/9-AB-1 AH","TOMMELITEN A","9635",2023," ","d",0,"Sm3",0,"Sm3"," ","Sm3",0,"Sm3"
"1/9-AB-1 AH","TOMMELITEN A","9635",2024,8.7,"d",3025,"Sm3",4828192,"Sm3"," ","Sm3",195,"Sm3"
