Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
30.0,1.0,1.7543,0.57002,453.12,510.12,2.7535,0.66247,0.85555,270.68,1.0479,0.015154,0.017016,vapor
30.0,11.0,20.294,0.049275,446.56,500.77,2.2787,0.6868,0.92929,263.18,1.0518,0.015276,0.017639,vapor
30.0,21.0,41.029,0.024373,439.31,490.49,2.132,0.71458,1.0265,255.17,1.0548,0.015457,0.018461,vapor
30.0,31.0,64.749,0.015444,431.11,478.98,2.0302,0.74748,1.1625,246.5,1.0556,0.015724,0.019591,vapor
30.0,41.0,92.823,0.010773,421.55,465.72,1.9439,0.78853,1.3708,236.92,1.0517,0.016125,0.021258,vapor
30.0,51.0,127.99,0.0078129,409.82,449.66,1.8606,0.84431,1.741,225.96,1.0382,0.016765,0.024012,vapor
30.0,61.0,177.52,0.0056333,393.77,428.14,1.7676,0.93435,2.6382,212.38,1.0007,0.017938,0.029679,vapor
30.0,71.0,289.19,0.003458,359.86,384.41,1.6081,1.2253,11.907,186.77,0.84324,0.021851,0.057394,vapor
30.0,72.137,345.1,0.0028977,344.23,365.13,1.5433,1.5228,55.822,171.26,0.73936,0.024533,0.10129,vapor
30.0,72.137,593.31,0.0016855,292.4,304.55,1.3435,1.4063,35.338,177.23,0.42789,0.04342,0.096489,liquid
30.0,81.0,707.37,0.0014137,271.54,282.99,1.268,1.0242,4.9695,299.53,0.20034,0.057053,0.078403,liquid
30.0,91.0,747.48,0.0013378,263.59,275.76,1.2396,0.97963,3.7235,349.95,0.14663,0.062898,0.08152,liquid
30.0,101.0,773.79,0.0012923,258.18,271.23,1.2203,0.95869,3.2229,385.63,0.11785,0.0671,0.084492,liquid
30.0,111.0,793.93,0.0012596,253.94,267.92,1.2052,0.94642,2.9351,414.33,0.098707,0.070539,0.087126,liquid
30.0,121.0,810.46,0.0012339,250.4,265.33,1.1925,0.93836,2.7427,438.81,0.084643,0.073518,0.089487,liquid
30.0,131.0,824.57,0.0012127,247.33,263.22,1.1815,0.93268,2.6029,460.38,0.073709,0.076184,0.091636,liquid
30.0,141.0,836.96,0.0011948,244.61,261.46,1.1718,0.92851,2.4956,479.78,0.064882,0.07862,0.093617,liquid
30.0,151.0,848.04,0.0011792,242.15,259.96,1.1629,0.92535,2.4102,497.49,0.057558,0.080881,0.095463,liquid
30.0,161.0,858.09,0.0011654,239.91,258.67,1.1548,0.92293,2.3402,513.84,0.051355,0.083002,0.097198,liquid
30.0,171.0,867.3,0.001153,237.83,257.55,1.1472,0.92104,2.2815,529.06,0.046012,0.08501,0.098839,liquid
30.0,181.0,875.83,0.0011418,235.9,256.56,1.1402,0.91957,2.2315,543.34,0.041348,0.086922,0.1004,liquid
30.0,191.0,883.77,0.0011315,234.08,255.69,1.1336,0.91841,2.1882,556.8,0.03723,0.088754,0.10189,liquid
30.0,201.0,891.22,0.0011221,232.37,254.93,1.1274,0.91751,2.1503,569.57,0.03356,0.090517,0.10332,liquid
30.0,211.0,898.24,0.0011133,230.76,254.25,1.1214,0.91681,2.1168,581.74,0.030262,0.092219,0.1047,liquid
30.0,221.0,904.88,0.0011051,229.22,253.64,1.1158,0.91627,2.0868,593.36,0.027277,0.093869,0.10603,liquid
30.0,231.0,911.19,0.0010975,227.75,253.11,1.1104,0.91587,2.0599,604.51,0.02456,0.095471,0.10732,liquid
30.0,241.0,917.2,0.0010903,226.35,252.63,1.1052,0.91558,2.0354,615.23,0.022072,0.097031,0.10857,liquid
