Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
210.0,1.0,0.39939,2.5038,1124.4,1374.8,7.8823,2.3175,2.8373,553.64,0.1352,0.016463,0.064986,vapor
210.0,11.0,4.3959,0.22748,1120.7,1371.0,6.632,2.3199,2.8549,554.76,0.13223,0.016561,0.065376,vapor
210.0,21.0,8.3957,0.11911,1117.1,1367.2,6.2895,2.3223,2.8724,556.04,0.12921,0.016664,0.065777,vapor
210.0,31.0,12.396,0.08067,1113.5,1363.5,6.0802,2.3246,2.8898,557.48,0.12616,0.016772,0.06619,vapor
210.0,41.0,16.395,0.060994,1109.9,1359.9,5.928,2.3269,2.9072,559.08,0.12306,0.016885,0.066617,vapor
210.0,51.0,20.39,0.049045,1106.3,1356.4,5.8077,2.3291,2.9244,560.85,0.11993,0.017003,0.067057,vapor
210.0,51.0,20.39,0.049045,1106.3,1356.4,5.8077,2.3291,2.9244,560.85,0.11993,0.017003,0.067057,supercritical
210.0,51.0,20.39,0.049045,1106.3,1356.4,5.8077,2.3291,2.9244,560.85,0.11993,0.017003,0.067057,supercritical
210.0,61.0,24.378,0.041021,1102.7,1352.9,5.7078,2.3313,2.9415,562.79,0.11677,0.017126,0.06751,supercritical
210.0,71.0,28.356,0.035266,1099.1,1349.5,5.6222,2.3335,2.9584,564.89,0.11358,0.017253,0.067976,supercritical
210.0,81.0,32.323,0.030938,1095.6,1346.2,5.547,2.3356,2.9751,567.16,0.11037,0.017385,0.068456,supercritical
210.0,91.0,36.275,0.027567,1092.1,1342.9,5.4799,2.3376,2.9915,569.59,0.10714,0.017521,0.068948,supercritical
210.0,101.0,40.211,0.024869,1088.6,1339.8,5.4191,2.3397,3.0076,572.19,0.10389,0.017661,0.069453,supercritical
