Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
20.0,1.0,0.082658,12.098,2650.5,3860.3,53.188,10.161,14.288,1304.7,-0.028982,0.0087968,0.18339,vapor
20.0,11.0,0.90387,1.1064,2647.5,3864.5,43.288,10.17,14.316,1313.2,-0.029469,0.0088034,0.18469,vapor
20.0,21.0,1.7154,0.58295,2644.5,3868.8,40.611,10.178,14.344,1321.7,-0.029997,0.0088115,0.18586,vapor
20.0,21.0,1.7154,0.58295,2644.5,3868.8,40.611,10.178,14.344,1321.7,-0.029997,0.0088115,0.18586,supercritical
20.0,21.0,1.7154,0.58295,2644.5,3868.8,40.611,10.178,14.344,1321.7,-0.029997,0.0088115,0.18586,supercritical
20.0,31.0,2.5173,0.39724,2641.6,3873.1,38.995,10.186,14.371,1330.3,-0.030555,0.008821,0.18692,supercritical
20.0,41.0,3.3098,0.30213,2638.8,3877.5,37.832,10.195,14.398,1339.0,-0.031134,0.008832,0.18789,supercritical
20.0,51.0,4.0928,0.24433,2636.0,3882.1,36.923,10.203,14.423,1347.6,-0.031727,0.0088443,0.18878,supercritical
20.0,61.0,4.8665,0.20548,2633.2,3886.7,36.175,10.211,14.448,1356.3,-0.032329,0.0088579,0.18961,supercritical
20.0,71.0,5.631,0.17759,2630.5,3891.4,35.541,10.22,14.471,1365.1,-0.032932,0.0088728,0.19039,supercritical
20.0,81.0,6.3863,0.15658,2627.9,3896.2,34.989,10.228,14.494,1373.9,-0.033535,0.0088888,0.19112,supercritical
20.0,91.0,7.1326,0.1402,2625.3,3901.1,34.5,10.236,14.516,1382.7,-0.034132,0.008906,0.19183,supercritical
20.0,101.0,7.8699,0.12707,2622.8,3906.1,34.062,10.245,14.537,1391.5,-0.034721,0.0089243,0.19251,supercritical
20.0,111.0,8.5983,0.1163,2620.3,3911.2,33.665,10.253,14.557,1400.4,-0.035301,0.0089437,0.19318,supercritical
20.0,121.0,9.3179,0.10732,2617.8,3916.4,33.302,10.261,14.577,1409.3,-0.035868,0.0089641,0.19384,supercritical
20.0,131.0,10.029,0.099712,2615.4,3921.7,32.967,10.269,14.596,1418.2,-0.036423,0.0089855,0.1945,supercritical
