Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
210.0,1.0,1.0965,0.912,587.03,678.23,3.1861,0.814,1.004,335.25,0.34003,0.023225,0.031501,vapor
210.0,11.0,12.165,0.082204,584.39,674.81,2.7277,0.81743,1.0186,334.13,0.33632,0.023364,0.0319,vapor
210.0,21.0,23.42,0.042698,581.72,671.38,2.6,0.82089,1.0338,333.13,0.3324,0.023514,0.032307,vapor
210.0,31.0,34.861,0.028685,579.02,667.94,2.5209,0.82436,1.0495,332.25,0.32826,0.023676,0.032723,vapor
210.0,41.0,46.485,0.021512,576.29,664.49,2.4625,0.82784,1.0658,331.51,0.32388,0.02385,0.033152,vapor
210.0,51.0,58.289,0.017156,573.54,661.04,2.4156,0.83131,1.0825,330.91,0.31926,0.024038,0.033594,vapor
210.0,61.0,70.268,0.014231,570.77,657.58,2.3762,0.83477,1.0998,330.45,0.31438,0.02424,0.034051,vapor
210.0,71.0,82.417,0.012133,567.98,654.13,2.3419,0.83821,1.1175,330.13,0.30923,0.024457,0.034526,vapor
210.0,81.0,94.73,0.010556,565.17,650.67,2.3113,0.84163,1.1357,329.98,0.30381,0.02469,0.035019,vapor
210.0,81.0,94.73,0.010556,565.17,650.67,2.3113,0.84163,1.1357,329.98,0.30381,0.02469,0.035019,supercritical
210.0,81.0,94.73,0.010556,565.17,650.67,2.3113,0.84163,1.1357,329.98,0.30381,0.02469,0.035019,supercritical
210.0,91.0,107.2,0.0093284,562.34,647.23,2.2836,0.845,1.1542,329.99,0.29811,0.02494,0.035533,supercritical
210.0,101.0,119.81,0.0083463,559.49,643.79,2.2583,0.84833,1.173,330.17,0.29213,0.025208,0.036069,supercritical
210.0,111.0,132.56,0.0075436,556.64,640.37,2.2348,0.8516,1.1921,330.54,0.28588,0.025495,0.036628,supercritical
210.0,121.0,145.43,0.006876,553.78,636.98,2.2129,0.85481,1.2113,331.1,0.27937,0.025801,0.037211,supercritical
210.0,131.0,158.41,0.0063127,550.91,633.61,2.1922,0.85795,1.2307,331.86,0.27262,0.026127,0.037819,supercritical
210.0,141.0,171.48,0.0058317,548.04,630.27,2.1728,0.86101,1.25,332.83,0.26564,0.026474,0.038451,supercritical
210.0,151.0,184.62,0.0054167,545.18,626.97,2.1543,0.86398,1.2692,334.03,0.25846,0.026842,0.039109,supercritical
210.0,161.0,197.8,0.0050555,542.32,623.71,2.1367,0.86686,1.2883,335.44,0.25111,0.027232,0.039793,supercritical
210.0,171.0,211.02,0.0047388,539.47,620.5,2.12,0.86965,1.3071,337.09,0.24362,0.027643,0.0405,supercritical
210.0,181.0,224.25,0.0044593,536.63,617.34,2.1039,0.87233,1.3255,338.97,0.23602,0.028076,0.041232,supercritical
