Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
50.0,1.0,0.074987,13.336,2956.9,4290.4,54.585,10.254,14.38,1367.9,-0.034209,0.0094102,0.19758,vapor
50.0,11.0,0.82027,1.2191,2954.4,4295.4,44.687,10.261,14.402,1376.2,-0.034567,0.0094149,0.1988,vapor
50.0,21.0,1.5573,0.64213,2951.9,4300.4,42.013,10.269,14.425,1384.4,-0.034955,0.009421,0.1999,vapor
50.0,21.0,1.5573,0.64213,2951.9,4300.4,42.013,10.269,14.425,1384.4,-0.034955,0.009421,0.1999,supercritical
50.0,21.0,1.5573,0.64213,2951.9,4300.4,42.013,10.269,14.425,1384.4,-0.034955,0.009421,0.1999,supercritical
50.0,31.0,2.2862,0.43741,2949.5,4305.5,40.399,10.276,14.447,1392.7,-0.035366,0.0094283,0.20091,supercritical
50.0,41.0,3.007,0.33256,2947.1,4310.6,39.239,10.284,14.468,1400.9,-0.035794,0.0094368,0.20182,supercritical
50.0,51.0,3.7198,0.26883,2944.8,4315.8,38.332,10.292,14.488,1409.2,-0.036233,0.0094466,0.20267,supercritical
50.0,61.0,4.4247,0.226,2942.5,4321.1,37.586,10.299,14.508,1417.6,-0.03668,0.0094574,0.20345,supercritical
50.0,71.0,5.1219,0.19524,2940.2,4326.5,36.954,10.307,14.527,1425.9,-0.037131,0.0094694,0.20418,supercritical
50.0,81.0,5.8112,0.17208,2938.0,4331.9,36.404,10.314,14.546,1434.3,-0.037583,0.0094824,0.20488,supercritical
50.0,91.0,6.493,0.15401,2935.9,4337.4,35.917,10.322,14.564,1442.7,-0.038032,0.0094964,0.20553,supercritical
50.0,101.0,7.1672,0.13953,2933.8,4343.0,35.481,10.329,14.581,1451.1,-0.038478,0.0095114,0.20617,supercritical
50.0,111.0,7.8339,0.12765,2931.7,4348.6,35.086,10.337,14.598,1459.5,-0.038918,0.0095274,0.20678,supercritical
50.0,121.0,8.4932,0.11774,2929.7,4354.3,34.724,10.344,14.614,1467.9,-0.039351,0.0095443,0.20738,supercritical
50.0,131.0,9.1452,0.10935,2927.7,4360.1,34.391,10.351,14.629,1476.4,-0.039775,0.009562,0.20797,supercritical
50.0,141.0,9.79,0.10214,2925.7,4366.0,34.082,10.359,14.644,1484.8,-0.040191,0.0095806,0.20856,supercritical
