Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
20.0,1.0,1.8152,0.55091,446.52,501.61,2.725,0.65241,0.84596,266.57,1.1417,0.014675,0.01625,vapor
20.0,11.0,21.136,0.047312,439.42,491.47,2.2475,0.68095,0.93089,258.2,1.1474,0.014788,0.016902,vapor
20.0,21.0,43.119,0.023192,431.42,480.12,2.0972,0.71467,1.0485,249.06,1.1531,0.014968,0.0178,vapor
20.0,31.0,68.968,0.014499,422.11,467.06,1.9902,0.75709,1.2274,238.84,1.157,0.015254,0.019124,vapor
20.0,41.0,101.11,0.0098899,410.68,451.23,1.8953,0.81609,1.5458,226.9,1.155,0.015722,0.021327,vapor
20.0,51.0,146.2,0.0068401,394.91,429.79,1.7939,0.91748,2.3473,211.46,1.1356,0.016602,0.026075,vapor
20.0,57.291,194.2,0.0051493,378.36,407.87,1.7062,1.0725,4.5599,196.09,1.0877,0.017842,0.035327,vapor
20.0,57.291,773.39,0.001293,248.46,255.87,1.1877,1.0114,4.2637,337.65,0.14973,0.066773,0.085265,liquid
20.0,61.0,785.74,0.0012727,245.99,253.75,1.1789,0.99302,3.8512,358.27,0.13323,0.068876,0.086484,liquid
20.0,71.0,810.74,0.0012334,240.84,249.6,1.1605,0.96494,3.26,400.21,0.1047,0.073373,0.089546,liquid
20.0,81.0,829.39,0.0012057,236.89,246.65,1.1462,0.94978,2.9498,432.07,0.086782,0.07696,0.092217,liquid
20.0,91.0,844.58,0.001184,233.6,244.37,1.1344,0.94038,2.7508,458.34,0.073967,0.080039,0.094588,liquid
20.0,101.0,857.53,0.0011661,230.75,242.53,1.1241,0.93412,2.6094,480.97,0.064139,0.082786,0.096736,liquid
20.0,111.0,868.89,0.0011509,228.22,241.0,1.1149,0.92976,2.5023,501.01,0.05626,0.085296,0.098712,liquid
20.0,121.0,879.07,0.0011376,225.93,239.69,1.1066,0.92663,2.4176,519.1,0.049745,0.087626,0.10055,liquid
20.0,131.0,888.33,0.0011257,223.83,238.58,1.0989,0.92433,2.3486,535.67,0.044231,0.089815,0.10228,liquid
20.0,141.0,896.83,0.001115,221.89,237.61,1.0918,0.92263,2.2908,551.01,0.03948,0.09189,0.10391,liquid
20.0,151.0,904.72,0.0011053,220.07,236.76,1.0851,0.92136,2.2416,565.34,0.035328,0.093869,0.10546,liquid
20.0,161.0,912.09,0.0010964,218.37,236.02,1.0788,0.92042,2.199,578.82,0.031656,0.095767,0.10695,liquid
20.0,171.0,919.0,0.0010881,216.76,235.36,1.0729,0.91972,2.1617,591.57,0.028378,0.097597,0.10837,liquid
20.0,181.0,925.54,0.0010805,215.23,234.79,1.0672,0.91922,2.1287,603.7,0.025426,0.099366,0.10975,liquid
20.0,191.0,931.73,0.0010733,213.78,234.28,1.0618,0.91887,2.0991,615.28,0.02275,0.10108,0.11107,liquid
20.0,201.0,937.62,0.0010665,212.39,233.83,1.0566,0.91865,2.0725,626.38,0.020309,0.10275,0.11235,liquid
