Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
200.0,1.0,1.1198,0.89305,578.92,668.23,3.1652,0.80698,0.99706,332.02,0.35724,0.022806,0.030685,vapor
200.0,11.0,12.433,0.08043,576.18,664.66,2.7064,0.8107,1.0126,330.74,0.35351,0.022947,0.03109,vapor
200.0,21.0,23.957,0.041741,573.41,661.07,2.5784,0.81445,1.0289,329.59,0.34953,0.0231,0.031505,vapor
200.0,31.0,35.691,0.028018,570.61,657.47,2.499,0.81822,1.0457,328.57,0.3453,0.023265,0.031932,vapor
200.0,41.0,47.633,0.020994,567.77,653.85,2.4402,0.822,1.0632,327.69,0.34079,0.023443,0.032373,vapor
200.0,51.0,59.781,0.016728,564.91,650.22,2.393,0.82579,1.0814,326.95,0.33598,0.023637,0.03283,vapor
200.0,61.0,72.133,0.013863,562.02,646.58,2.3532,0.82956,1.1001,326.35,0.33087,0.023846,0.033305,vapor
200.0,71.0,84.683,0.011809,559.1,642.94,2.3185,0.83332,1.1195,325.92,0.32544,0.024071,0.0338,vapor
200.0,81.0,97.424,0.010264,556.16,639.3,2.2875,0.83704,1.1393,325.65,0.31968,0.024315,0.034316,vapor
200.0,81.0,97.424,0.010264,556.16,639.3,2.2875,0.83704,1.1393,325.65,0.31968,0.024315,0.034316,supercritical
200.0,81.0,97.424,0.010264,556.16,639.3,2.2875,0.83704,1.1393,325.65,0.31968,0.024315,0.034316,supercritical
200.0,91.0,110.35,0.0090621,553.19,635.66,2.2594,0.84073,1.1596,325.55,0.31359,0.024577,0.034856,supercritical
200.0,101.0,123.45,0.0081005,550.21,632.03,2.2337,0.84436,1.1803,325.65,0.30717,0.02486,0.035421,supercritical
200.0,111.0,136.71,0.0073148,547.21,628.41,2.2098,0.84794,1.2014,325.95,0.30043,0.025163,0.036012,supercritical
200.0,121.0,150.12,0.0066615,544.21,624.81,2.1874,0.85144,1.2227,326.45,0.29338,0.025488,0.03663,supercritical
200.0,131.0,163.65,0.0061105,541.19,621.24,2.1664,0.85486,1.2441,327.18,0.28604,0.025835,0.037276,supercritical
200.0,141.0,177.3,0.0056402,538.17,617.69,2.1465,0.85819,1.2656,328.14,0.27844,0.026206,0.03795,supercritical
200.0,151.0,191.04,0.0052346,535.15,614.19,2.1276,0.86142,1.2869,329.34,0.2706,0.026601,0.038652,supercritical
200.0,161.0,204.84,0.0048819,532.13,610.73,2.1096,0.86454,1.3081,330.79,0.26255,0.02702,0.039382,supercritical
200.0,171.0,218.68,0.0045728,529.13,607.32,2.0924,0.86754,1.3289,332.49,0.25434,0.027463,0.04014,supercritical
200.0,181.0,232.54,0.0043003,526.14,603.97,2.076,0.87043,1.3493,334.46,0.24601,0.027932,0.040923,supercritical
200.0,191.0,246.39,0.0040586,523.17,600.69,2.0602,0.87318,1.369,336.68,0.23759,0.028424,0.041731,supercritical
200.0,201.0,260.2,0.0038432,520.22,597.47,2.045,0.87581,1.3881,339.16,0.22913,0.028941,0.042563,supercritical
200.0,211.0,273.94,0.0036505,517.3,594.33,2.0305,0.87831,1.4064,341.9,0.22066,0.029481,0.043415,supercritical
200.0,221.0,287.59,0.0034772,514.42,591.26,2.0165,0.88067,1.4239,344.89,0.21224,0.030044,0.044287,supercritical
200.0,231.0,301.11,0.003321,511.57,588.29,2.003,0.8829,1.4404,348.13,0.20389,0.030628,0.045175,supercritical
200.0,241.0,314.5,0.0031796,508.76,585.39,1.99,0.88501,1.4558,351.6,0.19565,0.031233,0.046077,supercritical
200.0,251.0,327.72,0.0030514,506.0,582.59,1.9775,0.88698,1.4703,355.3,0.18755,0.031857,0.046992,supercritical
200.0,261.0,340.76,0.0029346,503.28,579.88,1.9655,0.88883,1.4837,359.21,0.17963,0.032499,0.047915,supercritical
200.0,271.0,353.59,0.0028281,500.62,577.26,1.9538,0.89056,1.496,363.32,0.17189,0.033158,0.048845,supercritical
200.0,281.0,366.2,0.0027307,498.0,574.74,1.9426,0.89218,1.5072,367.61,0.16438,0.033831,0.04978,supercritical
