Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
160.0,1.0,1.2237,0.81722,547.2,628.92,3.0784,0.77742,0.96781,318.75,0.44003,0.021096,0.027417,vapor
160.0,11.0,13.643,0.073298,544.01,624.64,2.6181,0.78268,0.98831,316.73,0.43641,0.021242,0.027852,vapor
160.0,21.0,26.401,0.037877,540.76,620.3,2.4884,0.78802,1.0101,314.84,0.43234,0.021404,0.02831,vapor
160.0,31.0,39.508,0.025311,537.44,615.9,2.4072,0.79344,1.0332,313.1,0.42778,0.021584,0.028795,vapor
160.0,41.0,52.972,0.018878,534.06,611.46,2.3466,0.79891,1.0577,311.5,0.42269,0.021783,0.02931,vapor
160.0,51.0,66.8,0.01497,530.62,606.96,2.2975,0.80442,1.0837,310.06,0.41703,0.022004,0.029858,vapor
160.0,61.0,80.998,0.012346,527.11,602.42,2.2557,0.80995,1.111,308.8,0.41076,0.022249,0.030442,vapor
160.0,71.0,95.57,0.010463,523.55,597.84,2.2189,0.81548,1.1398,307.74,0.40384,0.022519,0.031067,vapor
160.0,81.0,110.52,0.0090485,519.92,593.22,2.1857,0.82099,1.17,306.89,0.39625,0.022818,0.031736,vapor
160.0,81.0,110.52,0.0090485,519.92,593.22,2.1857,0.82099,1.17,306.89,0.39625,0.022818,0.031736,supercritical
160.0,81.0,110.52,0.0090485,519.92,593.22,2.1857,0.82099,1.17,306.89,0.39625,0.022818,0.031736,supercritical
160.0,91.0,125.83,0.0079472,516.25,588.57,2.1554,0.82645,1.2014,306.28,0.38797,0.023147,0.032451,supercritical
160.0,101.0,141.51,0.0070669,512.52,583.9,2.1274,0.83184,1.2341,305.94,0.37901,0.023509,0.033216,supercritical
160.0,111.0,157.53,0.0063482,508.75,579.22,2.1011,0.83714,1.2678,305.89,0.36936,0.023907,0.034033,supercritical
160.0,121.0,173.87,0.0057515,504.94,574.54,2.0763,0.84231,1.3023,306.15,0.35906,0.024342,0.034903,supercritical
160.0,131.0,190.51,0.0052491,501.1,569.87,2.0529,0.84732,1.3374,306.76,0.34816,0.024817,0.035827,supercritical
160.0,141.0,207.4,0.0048215,497.24,565.23,2.0306,0.85215,1.3728,307.73,0.33671,0.025333,0.036805,supercritical
160.0,151.0,224.51,0.004454,493.37,560.63,2.0092,0.85678,1.408,309.09,0.32477,0.025891,0.037835,supercritical
160.0,161.0,241.79,0.0041358,489.5,556.09,1.9888,0.86118,1.4428,310.86,0.31245,0.026493,0.038915,supercritical
160.0,171.0,259.17,0.0038585,485.64,551.62,1.9693,0.86533,1.4767,313.04,0.29982,0.027139,0.040041,supercritical
160.0,181.0,276.6,0.0036154,481.8,547.24,1.9506,0.86921,1.5093,315.65,0.287,0.027828,0.041207,supercritical
160.0,191.0,294.0,0.0034013,477.99,542.96,1.9326,0.87281,1.5402,318.7,0.27408,0.02856,0.042409,supercritical
160.0,201.0,311.32,0.0032121,474.24,538.8,1.9154,0.87614,1.5691,322.16,0.26117,0.029331,0.043639,supercritical
160.0,211.0,328.49,0.0030442,470.53,534.77,1.8988,0.87917,1.5957,326.04,0.24838,0.030141,0.044891,supercritical
160.0,221.0,345.45,0.0028948,466.9,530.88,1.883,0.88193,1.6197,330.32,0.23578,0.030985,0.046158,supercritical
160.0,231.0,362.14,0.0027614,463.34,527.13,1.8678,0.88442,1.6411,334.97,0.22348,0.031861,0.047433,supercritical
160.0,241.0,378.51,0.0026419,459.87,523.54,1.8533,0.88664,1.6598,339.97,0.21153,0.032765,0.048711,supercritical
160.0,251.0,394.52,0.0025347,456.49,520.11,1.8394,0.88863,1.6757,345.29,0.2,0.033692,0.049986,supercritical
160.0,261.0,410.13,0.0024382,453.2,516.84,1.8261,0.89039,1.6891,350.89,0.18892,0.034639,0.051254,supercritical
160.0,271.0,425.33,0.0023511,450.01,513.73,1.8134,0.89195,1.7,356.75,0.17832,0.035603,0.05251,supercritical
160.0,281.0,440.08,0.0022723,446.92,510.78,1.8013,0.89333,1.7085,362.85,0.16822,0.036579,0.053751,supercritical
160.0,291.0,454.38,0.0022008,443.94,507.98,1.7896,0.89454,1.7149,369.14,0.15861,0.037563,0.054974,supercritical
160.0,301.0,468.22,0.0021358,441.05,505.33,1.7785,0.8956,1.7194,375.61,0.1495,0.038554,0.056178,supercritical
160.0,311.0,481.59,0.0020764,438.26,502.84,1.7679,0.89654,1.7222,382.23,0.14088,0.039547,0.057361,supercritical
160.0,321.0,494.51,0.0020222,435.57,500.48,1.7577,0.89738,1.7235,388.97,0.13273,0.040541,0.058522,supercritical
160.0,331.0,506.98,0.0019724,432.97,498.26,1.748,0.89812,1.7234,395.81,0.12503,0.041532,0.059661,supercritical
160.0,341.0,519.01,0.0019267,430.47,496.17,1.7387,0.89878,1.7223,402.74,0.11778,0.04252,0.060777,supercritical
160.0,351.0,530.62,0.0018846,428.05,494.2,1.7297,0.89938,1.7202,409.72,0.11095,0.043502,0.061871,supercritical
160.0,361.0,541.81,0.0018457,425.72,492.35,1.7212,0.89993,1.7174,416.73,0.10452,0.044478,0.062943,supercritical
160.0,371.0,552.6,0.0018096,423.47,490.61,1.7129,0.90043,1.714,423.77,0.09847,0.045445,0.063993,supercritical
160.0,381.0,563.01,0.0017762,421.3,488.97,1.705,0.9009,1.7101,430.82,0.092785,0.046404,0.065021,supercritical
160.0,391.0,573.06,0.001745,419.2,487.43,1.6974,0.90133,1.7059,437.86,0.087439,0.047354,0.06603,supercritical
160.0,401.0,582.76,0.001716,417.18,485.99,1.69,0.90175,1.7014,444.88,0.082413,0.048294,0.067018,supercritical
160.0,411.0,592.13,0.0016888,415.22,484.63,1.683,0.90215,1.6967,451.87,0.077686,0.049224,0.067988,supercritical
160.0,421.0,601.19,0.0016634,413.32,483.35,1.6762,0.90254,1.6919,458.83,0.073237,0.050144,0.06894,supercritical
160.0,431.0,609.95,0.0016395,411.48,482.15,1.6696,0.90291,1.6871,465.74,0.069048,0.051054,0.069874,supercritical
160.0,441.0,618.42,0.001617,409.71,481.02,1.6632,0.90328,1.6822,472.61,0.065098,0.051953,0.070792,supercritical
160.0,451.0,626.63,0.0015958,407.98,479.96,1.657,0.90364,1.6773,479.42,0.061372,0.052842,0.071693,supercritical
160.0,461.0,634.58,0.0015759,406.31,478.96,1.6511,0.904,1.6724,486.19,0.057852,0.053721,0.07258,supercritical
160.0,471.0,642.28,0.0015569,404.69,478.02,1.6453,0.90436,1.6675,492.9,0.054524,0.05459,0.073452,supercritical
160.0,481.0,649.76,0.001539,403.11,477.14,1.6397,0.90472,1.6627,499.55,0.051372,0.055449,0.07431,supercritical
160.0,491.0,657.02,0.001522,401.58,476.31,1.6342,0.90507,1.658,506.15,0.048385,0.056299,0.075154,supercritical
160.0,501.0,664.06,0.0015059,400.09,475.53,1.629,0.90543,1.6533,512.69,0.04555,0.057138,0.075986,supercritical
160.0,511.0,670.91,0.0014905,398.64,474.8,1.6238,0.90578,1.6486,519.18,0.042857,0.057969,0.076806,supercritical
160.0,521.0,677.57,0.0014759,397.23,474.12,1.6188,0.90614,1.6441,525.61,0.040295,0.05879,0.077614,supercritical
160.0,531.0,684.05,0.0014619,395.85,473.48,1.6139,0.9065,1.6396,531.98,0.037856,0.059602,0.078411,supercritical
160.0,541.0,690.36,0.0014485,394.51,472.88,1.6092,0.90686,1.6352,538.3,0.035531,0.060406,0.079196,supercritical
160.0,551.0,696.5,0.0014358,393.2,472.31,1.6046,0.90722,1.6308,544.56,0.033314,0.061201,0.079972,supercritical
160.0,561.0,702.48,0.0014235,391.93,471.79,1.6,0.90758,1.6266,550.76,0.031197,0.061988,0.080737,supercritical
160.0,571.0,708.32,0.0014118,390.69,471.3,1.5956,0.90795,1.6224,556.91,0.029174,0.062766,0.081493,supercritical
160.0,581.0,714.01,0.0014005,389.47,470.84,1.5913,0.90832,1.6183,563.01,0.02724,0.063537,0.08224,supercritical
160.0,591.0,719.56,0.0013897,388.28,470.42,1.5871,0.90869,1.6143,569.04,0.02539,0.0643,0.082978,supercritical
160.0,601.0,724.98,0.0013793,387.12,470.02,1.583,0.90906,1.6104,575.03,0.023617,0.065055,0.083707,supercritical
160.0,611.0,730.28,0.0013693,385.99,469.66,1.579,0.90944,1.6066,580.96,0.02192,0.065803,0.084428,supercritical
160.0,621.0,735.45,0.0013597,384.88,469.32,1.5751,0.90982,1.6028,586.83,0.020292,0.066544,0.085141,supercritical
160.0,631.0,740.51,0.0013504,383.79,469.0,1.5712,0.9102,1.5992,592.65,0.018731,0.067278,0.085852,supercritical
160.0,641.0,745.46,0.0013415,382.73,468.72,1.5675,0.91058,1.5956,598.42,0.017232,0.068006,0.086559,supercritical
160.0,651.0,750.3,0.0013328,381.69,468.45,1.5638,0.91097,1.5921,604.13,0.015793,0.068726,0.087259,supercritical
160.0,661.0,755.04,0.0013244,380.67,468.21,1.5601,0.91136,1.5888,609.79,0.01441,0.069441,0.087951,supercritical
160.0,671.0,759.68,0.0013163,379.67,468.0,1.5566,0.91175,1.5855,615.39,0.013081,0.070149,0.088636,supercritical
160.0,681.0,764.22,0.0013085,378.69,467.8,1.5531,0.91214,1.5822,620.95,0.011803,0.070851,0.089315,supercritical
160.0,691.0,768.68,0.0013009,377.73,467.62,1.5497,0.91254,1.5791,626.45,0.010573,0.071548,0.089988,supercritical
160.0,701.0,773.04,0.0012936,376.78,467.46,1.5463,0.91293,1.5761,631.9,0.0093891,0.072239,0.090654,supercritical
160.0,711.0,777.32,0.0012865,375.86,467.33,1.543,0.91333,1.5731,637.3,0.0082488,0.072924,0.091314,supercritical
160.0,721.0,781.52,0.0012795,374.95,467.21,1.5398,0.91374,1.5702,642.64,0.0071499,0.073604,0.091969,supercritical
160.0,731.0,785.65,0.0012728,374.06,467.1,1.5366,0.91414,1.5674,647.94,0.0060906,0.074279,0.092618,supercritical
160.0,741.0,789.69,0.0012663,373.18,467.01,1.5335,0.91455,1.5647,653.19,0.0050689,0.074949,0.093262,supercritical
160.0,751.0,793.67,0.00126,372.32,466.94,1.5304,0.91495,1.562,658.39,0.0040831,0.075614,0.0939,supercritical
160.0,761.0,797.57,0.0012538,371.47,466.89,1.5274,0.91536,1.5594,663.54,0.0031314,0.076274,0.094533,supercritical
160.0,771.0,801.41,0.0012478,370.64,466.84,1.5244,0.91577,1.5569,668.65,0.0022123,0.07693,0.095162,supercritical
160.0,781.0,805.18,0.001242,369.82,466.82,1.5214,0.91619,1.5544,673.71,0.0013242,0.077581,0.095786,supercritical
160.0,791.0,808.88,0.0012363,369.01,466.8,1.5185,0.9166,1.5521,678.72,0.00046572,0.078228,0.096405,supercritical
160.0,801.0,812.53,0.0012307,368.22,466.8,1.5157,0.91702,1.5497,683.69,-0.00036445,0.07887,0.09702,supercritical
160.0,811.0,816.12,0.0012253,367.44,466.81,1.5129,0.91744,1.5475,688.62,-0.0011676,0.079509,0.09763,supercritical
160.0,821.0,819.64,0.00122,366.67,466.84,1.5101,0.91786,1.5453,693.5,-0.001945,0.080143,0.098237,supercritical
160.0,831.0,823.12,0.0012149,365.92,466.87,1.5074,0.91828,1.5431,698.34,-0.0026977,0.080774,0.098839,supercritical
160.0,841.0,826.54,0.0012099,365.17,466.92,1.5047,0.9187,1.541,703.13,-0.0034268,0.081401,0.099437,supercritical
160.0,851.0,829.9,0.001205,364.44,466.98,1.5021,0.91913,1.539,707.89,-0.0041333,0.082024,0.10003,supercritical
160.0,861.0,833.22,0.0012002,363.71,467.05,1.4994,0.91955,1.537,712.6,-0.0048183,0.082644,0.10062,supercritical
160.0,871.0,836.49,0.0011955,363.0,467.13,1.4969,0.91998,1.5351,717.28,-0.0054826,0.08326,0.10121,supercritical
160.0,881.0,839.71,0.0011909,362.3,467.22,1.4943,0.92041,1.5332,721.91,-0.0061271,0.083873,0.10179,supercritical
160.0,891.0,842.88,0.0011864,361.61,467.32,1.4918,0.92084,1.5314,726.51,-0.0067526,0.084483,0.10237,supercritical
160.0,901.0,846.01,0.001182,360.92,467.42,1.4893,0.92127,1.5296,731.07,-0.0073599,0.085089,0.10295,supercritical
160.0,911.0,849.09,0.0011777,360.25,467.54,1.4868,0.9217,1.5279,735.59,-0.0079497,0.085693,0.10353,supercritical
160.0,921.0,852.14,0.0011735,359.59,467.67,1.4844,0.92214,1.5262,740.07,-0.0085228,0.086293,0.1041,supercritical
160.0,931.0,855.14,0.0011694,358.93,467.8,1.482,0.92257,1.5245,744.52,-0.0090798,0.086891,0.10466,supercritical
160.0,941.0,858.1,0.0011654,358.28,467.94,1.4797,0.92301,1.5229,748.93,-0.0096214,0.087485,0.10523,supercritical
160.0,951.0,861.02,0.0011614,357.64,468.09,1.4773,0.92344,1.5213,753.31,-0.010148,0.088077,0.10579,supercritical
160.0,961.0,863.91,0.0011575,357.01,468.25,1.475,0.92388,1.5198,757.65,-0.010661,0.088666,0.10635,supercritical
160.0,971.0,866.75,0.0011537,356.39,468.42,1.4727,0.92432,1.5183,761.96,-0.011159,0.089253,0.10691,supercritical
160.0,981.0,869.56,0.00115,355.78,468.59,1.4705,0.92476,1.5168,766.24,-0.011645,0.089836,0.10746,supercritical
160.0,991.0,872.34,0.0011463,355.17,468.77,1.4682,0.9252,1.5154,770.49,-0.012118,0.090418,0.10801,supercritical
160.0,1001.0,875.08,0.0011427,354.57,468.96,1.466,0.92564,1.514,774.7,-0.012578,0.090997,0.10856,supercritical
