Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
200.0,1.0,0.40784,2.4519,1101.4,1346.6,7.8234,2.28,2.7999,548.7,0.14344,0.016198,0.063069,vapor
200.0,11.0,4.4905,0.22269,1097.6,1342.6,6.5727,2.2826,2.8184,549.72,0.14032,0.016297,0.063468,vapor
200.0,21.0,8.5789,0.11656,1093.9,1338.7,6.2297,2.2851,2.8368,550.9,0.13716,0.016403,0.063878,vapor
200.0,31.0,12.671,0.078923,1090.2,1334.8,6.0202,2.2876,2.8553,552.26,0.13395,0.016513,0.064302,vapor
200.0,41.0,16.763,0.059656,1086.4,1331.0,5.8676,2.29,2.8736,553.8,0.13069,0.016629,0.06474,vapor
200.0,51.0,20.853,0.047955,1082.7,1327.3,5.7469,2.2923,2.8918,555.51,0.12739,0.01675,0.065192,vapor
200.0,51.0,20.853,0.047955,1082.7,1327.3,5.7469,2.2923,2.8918,555.51,0.12739,0.01675,0.065192,supercritical
200.0,51.0,20.853,0.047955,1082.7,1327.3,5.7469,2.2923,2.8918,555.51,0.12739,0.01675,0.065192,supercritical
200.0,61.0,24.938,0.040099,1079.0,1323.7,5.6467,2.2947,2.9099,557.39,0.12404,0.016876,0.065659,supercritical
200.0,71.0,29.015,0.034465,1075.4,1320.1,5.5606,2.2969,2.9278,559.45,0.12067,0.017007,0.06614,supercritical
200.0,81.0,33.082,0.030228,1071.7,1316.6,5.4851,2.2992,2.9454,561.68,0.11726,0.017143,0.066635,supercritical
200.0,91.0,37.136,0.026928,1068.1,1313.2,5.4176,2.3014,2.9628,564.1,0.11383,0.017284,0.067143,supercritical
200.0,101.0,41.173,0.024288,1064.5,1309.8,5.3565,2.3035,2.9799,566.68,0.11038,0.017429,0.067665,supercritical
200.0,111.0,45.191,0.022128,1061.0,1306.6,5.3007,2.3056,2.9967,569.45,0.10692,0.017579,0.0682,supercritical
200.0,121.0,49.188,0.02033,1057.4,1303.4,5.2492,2.3077,3.0131,572.38,0.10345,0.017733,0.068748,supercritical
200.0,131.0,53.161,0.018811,1053.9,1300.4,5.2014,2.3097,3.0292,575.48,0.099984,0.017891,0.069308,supercritical
200.0,141.0,57.107,0.017511,1050.5,1297.4,5.1567,2.3117,3.0448,578.75,0.09652,0.018052,0.069879,supercritical
