Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
80.0,1.0,0.068619,14.573,3265.4,4722.7,55.864,10.309,14.435,1428.8,-0.038417,0.010007,0.21108,vapor
80.0,11.0,0.75087,1.3318,3263.3,4728.3,45.969,10.316,14.454,1436.8,-0.038681,0.01001,0.21223,vapor
80.0,21.0,1.426,0.70125,3261.3,4733.9,43.296,10.323,14.472,1444.7,-0.038968,0.010014,0.21328,vapor
80.0,21.0,1.426,0.70125,3261.3,4733.9,43.296,10.323,14.472,1444.7,-0.038968,0.010014,0.21328,supercritical
80.0,21.0,1.426,0.70125,3261.3,4733.9,43.296,10.323,14.472,1444.7,-0.038968,0.010014,0.21328,supercritical
80.0,31.0,2.0942,0.47752,3259.3,4739.6,41.684,10.33,14.49,1452.7,-0.039273,0.01002,0.21424,supercritical
80.0,41.0,2.7554,0.36293,3257.3,4745.3,40.525,10.337,14.507,1460.6,-0.039591,0.010026,0.21511,supercritical
80.0,51.0,3.4098,0.29328,3255.4,4751.1,39.62,10.344,14.524,1468.6,-0.03992,0.010034,0.21592,supercritical
80.0,61.0,4.0574,0.24646,3253.5,4756.9,38.876,10.351,14.54,1476.6,-0.040256,0.010043,0.21666,supercritical
80.0,71.0,4.6983,0.21284,3251.6,4762.8,38.245,10.358,14.556,1484.6,-0.040596,0.010053,0.21736,supercritical
80.0,81.0,5.3326,0.18752,3249.8,4768.7,37.696,10.365,14.571,1492.6,-0.040937,0.010063,0.21802,supercritical
80.0,91.0,5.9604,0.16777,3248.0,4774.7,37.211,10.372,14.586,1500.6,-0.041279,0.010075,0.21864,supercritical
80.0,101.0,6.5817,0.15194,3246.2,4780.7,36.776,10.378,14.6,1508.6,-0.041619,0.010087,0.21923,supercritical
80.0,111.0,7.1967,0.13895,3244.5,4786.8,36.382,10.385,14.614,1516.6,-0.041956,0.0101,0.21981,supercritical
80.0,121.0,7.8053,0.12812,3242.8,4793.0,36.022,10.392,14.628,1524.7,-0.042289,0.010115,0.22036,supercritical
80.0,131.0,8.4077,0.11894,3241.1,4799.2,35.69,10.399,14.641,1532.7,-0.042616,0.010129,0.22091,supercritical
80.0,141.0,9.004,0.11106,3239.5,4805.5,35.383,10.406,14.654,1540.8,-0.042938,0.010145,0.22145,supercritical
80.0,151.0,9.5942,0.10423,3237.9,4811.8,35.096,10.412,14.666,1548.8,-0.043253,0.010162,0.22198,supercritical
80.0,161.0,10.178,0.098248,3236.4,4818.2,34.828,10.419,14.678,1556.9,-0.043561,0.010179,0.22251,supercritical
80.0,171.0,10.757,0.092966,3234.9,4824.6,34.575,10.426,14.689,1564.9,-0.043861,0.010197,0.22304,supercritical
80.0,181.0,11.329,0.088269,3233.4,4831.1,34.337,10.432,14.7,1573.0,-0.044154,0.010215,0.22358,supercritical
80.0,191.0,11.896,0.084064,3231.9,4837.6,34.112,10.439,14.711,1581.0,-0.044439,0.010234,0.22412,supercritical
80.0,201.0,12.457,0.080279,3230.5,4844.1,33.898,10.446,14.721,1589.0,-0.044716,0.010254,0.22467,supercritical
80.0,211.0,13.012,0.076852,3229.2,4850.7,33.694,10.452,14.731,1597.1,-0.044985,0.010275,0.22523,supercritical
80.0,221.0,13.562,0.073737,3227.8,4857.4,33.5,10.459,14.741,1605.1,-0.045247,0.010296,0.2258,supercritical
80.0,231.0,14.106,0.070891,3226.5,4864.1,33.314,10.465,14.75,1613.1,-0.0455,0.010317,0.22638,supercritical
80.0,241.0,14.645,0.068282,3225.2,4870.8,33.136,10.472,14.759,1621.1,-0.045745,0.01034,0.22697,supercritical
80.0,251.0,15.179,0.065882,3223.9,4877.6,32.965,10.478,14.768,1629.1,-0.045983,0.010362,0.22757,supercritical
80.0,261.0,15.707,0.063665,3222.7,4884.4,32.801,10.485,14.777,1637.1,-0.046212,0.010386,0.22819,supercritical
80.0,271.0,16.23,0.061613,3221.5,4891.2,32.643,10.491,14.785,1645.1,-0.046435,0.010409,0.22882,supercritical
80.0,281.0,16.749,0.059707,3220.4,4898.1,32.491,10.498,14.793,1653.1,-0.04665,0.010433,0.22946,supercritical
80.0,291.0,17.262,0.057932,3219.2,4905.0,32.344,10.504,14.801,1661.1,-0.046858,0.010458,0.23011,supercritical
80.0,301.0,17.77,0.056275,3218.1,4912.0,32.202,10.511,14.809,1669.0,-0.047059,0.010483,0.23078,supercritical
80.0,311.0,18.273,0.054725,3217.0,4919.0,32.065,10.517,14.816,1677.0,-0.047253,0.010509,0.23146,supercritical
80.0,321.0,18.772,0.053271,3216.0,4926.0,31.932,10.524,14.823,1684.9,-0.047441,0.010535,0.23215,supercritical
80.0,331.0,19.266,0.051906,3215.0,4933.0,31.803,10.53,14.83,1692.8,-0.047622,0.010561,0.23285,supercritical
80.0,341.0,19.755,0.050621,3214.0,4940.1,31.677,10.536,14.837,1700.7,-0.047798,0.010588,0.23357,supercritical
80.0,351.0,20.239,0.049409,3213.0,4947.2,31.556,10.543,14.843,1708.6,-0.047967,0.010615,0.2343,supercritical
80.0,361.0,20.719,0.048264,3212.0,4954.4,31.438,10.549,14.85,1716.4,-0.04813,0.010642,0.23504,supercritical
80.0,371.0,21.195,0.047181,3211.1,4961.5,31.323,10.555,14.856,1724.3,-0.048288,0.01067,0.23579,supercritical
80.0,381.0,21.666,0.046155,3210.2,4968.7,31.211,10.561,14.862,1732.1,-0.048441,0.010698,0.23655,supercritical
80.0,391.0,22.133,0.045181,3209.3,4975.9,31.102,10.568,14.868,1739.9,-0.048588,0.010727,0.23732,supercritical
80.0,401.0,22.596,0.044256,3208.5,4983.2,30.996,10.574,14.874,1747.7,-0.048731,0.010756,0.23811,supercritical
80.0,411.0,23.054,0.043376,3207.7,4990.4,30.893,10.58,14.879,1755.5,-0.048868,0.010785,0.2389,supercritical
80.0,421.0,23.508,0.042538,3206.8,4997.7,30.792,10.586,14.885,1763.3,-0.049001,0.010814,0.2397,supercritical
80.0,431.0,23.959,0.041739,3206.1,5005.0,30.693,10.592,14.89,1771.0,-0.04913,0.010844,0.24051,supercritical
80.0,441.0,24.405,0.040976,3205.3,5012.3,30.597,10.598,14.895,1778.8,-0.049254,0.010874,0.24132,supercritical
80.0,451.0,24.847,0.040246,3204.6,5019.7,30.503,10.604,14.9,1786.5,-0.049373,0.010904,0.24215,supercritical
80.0,461.0,25.285,0.039549,3203.8,5027.0,30.41,10.611,14.905,1794.2,-0.049489,0.010935,0.24298,supercritical
80.0,471.0,25.72,0.038881,3203.1,5034.4,30.32,10.617,14.909,1801.8,-0.049601,0.010965,0.24382,supercritical
80.0,481.0,26.15,0.03824,3202.5,5041.8,30.232,10.623,14.914,1809.5,-0.049709,0.010996,0.24467,supercritical
80.0,491.0,26.577,0.037626,3201.8,5049.2,30.146,10.629,14.919,1817.1,-0.049814,0.011028,0.24552,supercritical
80.0,501.0,27.001,0.037036,3201.2,5056.7,30.061,10.635,14.923,1824.8,-0.049915,0.011059,0.24638,supercritical
80.0,511.0,27.42,0.036469,3200.6,5064.1,29.978,10.641,14.927,1832.4,-0.050012,0.011091,0.24725,supercritical
80.0,521.0,27.836,0.035924,3200.0,5071.6,29.897,10.647,14.931,1839.9,-0.050107,0.011123,0.24812,supercritical
80.0,531.0,28.249,0.0354,3199.4,5079.1,29.817,10.652,14.935,1847.5,-0.050198,0.011155,0.24899,supercritical
80.0,541.0,28.658,0.034894,3198.8,5086.6,29.739,10.658,14.939,1855.0,-0.050286,0.011187,0.24987,supercritical
80.0,551.0,29.063,0.034407,3198.3,5094.1,29.662,10.664,14.943,1862.6,-0.050371,0.011219,0.25076,supercritical
80.0,561.0,29.466,0.033938,3197.8,5101.7,29.587,10.67,14.947,1870.1,-0.050453,0.011252,0.25165,supercritical
80.0,571.0,29.865,0.033484,3197.3,5109.2,29.512,10.676,14.95,1877.6,-0.050533,0.011285,0.25254,supercritical
80.0,581.0,30.26,0.033047,3196.8,5116.8,29.44,10.682,14.954,1885.0,-0.05061,0.011318,0.25344,supercritical
80.0,591.0,30.653,0.032624,3196.3,5124.4,29.368,10.688,14.957,1892.5,-0.050684,0.011351,0.25434,supercritical
