Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
40.0,1.0,0.07738,12.923,2854.4,4146.8,54.134,10.228,14.354,1347.1,-0.032597,0.0092077,0.19293,vapor
40.0,11.0,0.84636,1.1815,2851.8,4151.5,44.235,10.235,14.378,1355.4,-0.032993,0.009213,0.19418,vapor
40.0,21.0,1.6066,0.62242,2849.2,4156.3,41.56,10.243,14.402,1363.8,-0.033422,0.0092197,0.1953,vapor
40.0,21.0,1.6066,0.62242,2849.2,4156.3,41.56,10.243,14.402,1363.8,-0.033422,0.0092197,0.1953,supercritical
40.0,21.0,1.6066,0.62242,2849.2,4156.3,41.56,10.243,14.402,1363.8,-0.033422,0.0092197,0.1953,supercritical
40.0,31.0,2.3583,0.42403,2846.6,4161.1,39.945,10.251,14.426,1372.2,-0.033877,0.0092277,0.19633,supercritical
40.0,41.0,3.1015,0.32242,2844.1,4166.0,38.784,10.259,14.448,1380.5,-0.034349,0.009237,0.19726,supercritical
40.0,51.0,3.8363,0.26067,2841.6,4171.0,37.876,10.267,14.47,1389.0,-0.034835,0.0092475,0.19812,supercritical
40.0,61.0,4.5627,0.21917,2839.2,4176.1,37.131,10.275,14.492,1397.4,-0.035327,0.0092592,0.19891,supercritical
40.0,71.0,5.2808,0.18936,2836.8,4181.3,36.497,10.282,14.512,1405.9,-0.035824,0.009272,0.19966,supercritical
40.0,81.0,5.9908,0.16692,2834.4,4186.5,35.947,10.29,14.532,1414.4,-0.03632,0.009286,0.20037,supercritical
40.0,91.0,6.6928,0.14942,2832.1,4191.8,35.46,10.298,14.551,1422.9,-0.036814,0.009301,0.20104,supercritical
40.0,101.0,7.3867,0.13538,2829.9,4197.2,35.023,10.306,14.57,1431.4,-0.037303,0.009317,0.20169,supercritical
40.0,111.0,8.0727,0.12387,2827.7,4202.7,34.627,10.313,14.588,1440.0,-0.037784,0.009334,0.20232,supercritical
40.0,121.0,8.751,0.11427,2825.5,4208.2,34.265,10.321,14.605,1448.6,-0.038257,0.009352,0.20294,supercritical
40.0,131.0,9.4215,0.10614,2823.4,4213.9,33.931,10.329,14.621,1457.2,-0.038721,0.0093708,0.20355,supercritical
40.0,141.0,10.084,0.099163,2821.4,4219.6,33.622,10.336,14.637,1465.8,-0.039174,0.0093906,0.20416,supercritical
40.0,151.0,10.74,0.093112,2819.3,4225.3,33.334,10.344,14.652,1474.4,-0.039615,0.0094112,0.20476,supercritical
40.0,161.0,11.388,0.087814,2817.4,4231.2,33.063,10.351,14.667,1483.0,-0.040045,0.0094326,0.20538,supercritical
40.0,171.0,12.028,0.083137,2815.4,4237.1,32.81,10.359,14.682,1491.6,-0.040462,0.0094548,0.20599,supercritical
40.0,181.0,12.662,0.078979,2813.5,4243.1,32.57,10.367,14.695,1500.3,-0.040867,0.0094777,0.20662,supercritical
40.0,191.0,13.288,0.075256,2811.7,4249.1,32.343,10.374,14.708,1508.9,-0.04126,0.0095013,0.20726,supercritical
40.0,201.0,13.907,0.071906,2809.9,4255.2,32.128,10.382,14.721,1517.5,-0.04164,0.0095257,0.20791,supercritical
40.0,211.0,14.519,0.068873,2808.1,4261.3,31.923,10.389,14.734,1526.2,-0.042008,0.0095507,0.20857,supercritical
40.0,221.0,15.125,0.066116,2806.4,4267.6,31.727,10.397,14.745,1534.8,-0.042364,0.0095764,0.20924,supercritical
40.0,231.0,15.724,0.063599,2804.7,4273.8,31.54,10.404,14.757,1543.4,-0.042708,0.0096027,0.20993,supercritical
40.0,241.0,16.316,0.06129,2803.1,4280.2,31.361,10.411,14.768,1552.1,-0.04304,0.0096295,0.21063,supercritical
40.0,251.0,16.901,0.059167,2801.5,4286.6,31.189,10.419,14.779,1560.7,-0.04336,0.009657,0.21135,supercritical
40.0,261.0,17.481,0.057206,2799.9,4293.0,31.024,10.426,14.789,1569.3,-0.04367,0.0096849,0.21208,supercritical
40.0,271.0,18.053,0.055391,2798.4,4299.5,30.865,10.433,14.799,1577.9,-0.043969,0.0097134,0.21282,supercritical
40.0,281.0,18.62,0.053706,2796.9,4306.0,30.711,10.441,14.809,1586.5,-0.044257,0.0097424,0.21358,supercritical
40.0,291.0,19.181,0.052136,2795.4,4312.6,30.563,10.448,14.818,1595.0,-0.044536,0.0097719,0.21436,supercritical
40.0,301.0,19.735,0.050671,2794.0,4319.2,30.42,10.455,14.827,1603.6,-0.044804,0.0098019,0.21515,supercritical
40.0,311.0,20.284,0.049301,2792.6,4325.9,30.282,10.462,14.836,1612.1,-0.045063,0.0098323,0.21595,supercritical
40.0,321.0,20.826,0.048016,2791.2,4332.6,30.148,10.47,14.844,1620.7,-0.045313,0.0098631,0.21676,supercritical
40.0,331.0,21.363,0.04681,2789.9,4339.3,30.018,10.477,14.852,1629.2,-0.045555,0.0098943,0.21759,supercritical
40.0,341.0,21.894,0.045674,2788.6,4346.1,29.892,10.484,14.86,1637.7,-0.045787,0.0099259,0.21843,supercritical
40.0,351.0,22.42,0.044603,2787.4,4352.9,29.77,10.491,14.868,1646.2,-0.046012,0.0099579,0.21928,supercritical
40.0,361.0,22.94,0.043591,2786.1,4359.8,29.651,10.498,14.875,1654.6,-0.046229,0.0099903,0.22014,supercritical
40.0,371.0,23.455,0.042634,2784.9,4366.7,29.535,10.505,14.882,1663.1,-0.046439,0.010023,0.22101,supercritical
40.0,381.0,23.965,0.041728,2783.8,4373.6,29.423,10.512,14.889,1671.5,-0.046641,0.010056,0.22189,supercritical
40.0,391.0,24.469,0.040868,2782.6,4380.6,29.313,10.519,14.896,1679.9,-0.046836,0.010089,0.22277,supercritical
40.0,401.0,24.969,0.04005,2781.5,4387.6,29.206,10.526,14.902,1688.3,-0.047025,0.010123,0.22367,supercritical
40.0,411.0,25.463,0.039273,2780.5,4394.6,29.102,10.533,14.909,1696.7,-0.047207,0.010157,0.22458,supercritical
40.0,421.0,25.952,0.038533,2779.4,4401.6,29.0,10.54,14.915,1705.0,-0.047383,0.010191,0.22549,supercritical
40.0,431.0,26.436,0.037827,2778.4,4408.7,28.901,10.547,14.921,1713.4,-0.047554,0.010226,0.22641,supercritical
40.0,441.0,26.916,0.037153,2777.4,4415.8,28.804,10.554,14.926,1721.7,-0.047718,0.010261,0.22734,supercritical
40.0,451.0,27.391,0.036509,2776.4,4423.0,28.709,10.561,14.932,1730.0,-0.047877,0.010296,0.22827,supercritical
40.0,461.0,27.861,0.035893,2775.5,4430.1,28.617,10.567,14.937,1738.2,-0.048031,0.010331,0.22921,supercritical
40.0,471.0,28.326,0.035303,2774.5,4437.3,28.526,10.574,14.942,1746.5,-0.048179,0.010366,0.23015,supercritical
40.0,481.0,28.787,0.034738,2773.6,4444.5,28.437,10.581,14.947,1754.7,-0.048323,0.010402,0.2311,supercritical
40.0,491.0,29.244,0.034195,2772.8,4451.8,28.35,10.588,14.952,1762.9,-0.048462,0.010438,0.23206,supercritical
40.0,501.0,29.696,0.033674,2771.9,4459.0,28.265,10.594,14.957,1771.1,-0.048596,0.010474,0.23302,supercritical
40.0,511.0,30.144,0.033174,2771.1,4466.3,28.181,10.601,14.962,1779.3,-0.048726,0.01051,0.23398,supercritical
40.0,521.0,30.588,0.032693,2770.3,4473.6,28.1,10.608,14.966,1787.4,-0.048852,0.010547,0.23495,supercritical
40.0,531.0,31.027,0.03223,2769.5,4480.9,28.019,10.614,14.97,1795.5,-0.048974,0.010583,0.23592,supercritical
40.0,541.0,31.463,0.031784,2768.8,4488.3,27.941,10.621,14.975,1803.6,-0.049091,0.01062,0.23689,supercritical
40.0,551.0,31.894,0.031354,2768.0,4495.6,27.863,10.628,14.979,1811.7,-0.049205,0.010657,0.23787,supercritical
40.0,561.0,32.322,0.030939,2767.3,4503.0,27.787,10.634,14.983,1819.7,-0.049315,0.010694,0.23885,supercritical
40.0,571.0,32.745,0.030539,2766.6,4510.4,27.713,10.641,14.987,1827.8,-0.049422,0.010732,0.23984,supercritical
40.0,581.0,33.165,0.030152,2766.0,4517.8,27.64,10.647,14.99,1835.8,-0.049525,0.010769,0.24082,supercritical
40.0,591.0,33.581,0.029779,2765.3,4525.2,27.568,10.654,14.994,1843.8,-0.049625,0.010807,0.24182,supercritical
40.0,601.0,33.993,0.029418,2764.7,4532.7,27.497,10.66,14.997,1851.7,-0.049721,0.010844,0.24281,supercritical
40.0,611.0,34.401,0.029069,2764.1,4540.2,27.427,10.667,15.001,1859.6,-0.049814,0.010882,0.24381,supercritical
40.0,621.0,34.806,0.02873,2763.5,4547.6,27.359,10.673,15.004,1867.6,-0.049905,0.01092,0.24481,supercritical
40.0,631.0,35.208,0.028403,2762.9,4555.1,27.292,10.679,15.007,1875.5,-0.049992,0.010958,0.24581,supercritical
40.0,641.0,35.605,0.028086,2762.3,4562.6,27.225,10.686,15.01,1883.3,-0.050076,0.010996,0.24682,supercritical
40.0,651.0,36.0,0.027778,2761.8,4570.2,27.16,10.692,15.014,1891.2,-0.050158,0.011034,0.24783,supercritical
40.0,661.0,36.391,0.02748,2761.3,4577.7,27.096,10.698,15.016,1899.0,-0.050237,0.011073,0.24885,supercritical
40.0,671.0,36.778,0.02719,2760.8,4585.2,27.033,10.705,15.019,1906.8,-0.050313,0.011111,0.24987,supercritical
40.0,681.0,37.162,0.026909,2760.3,4592.8,26.971,10.711,15.022,1914.6,-0.050387,0.01115,0.25089,supercritical
40.0,691.0,37.543,0.026636,2759.8,4600.4,26.909,10.717,15.025,1922.3,-0.050458,0.011188,0.25192,supercritical
40.0,701.0,37.921,0.026371,2759.4,4608.0,26.849,10.723,15.027,1930.0,-0.050527,0.011227,0.25295,supercritical
40.0,711.0,38.296,0.026113,2759.0,4615.6,26.789,10.73,15.03,1937.7,-0.050594,0.011266,0.25399,supercritical
40.0,721.0,38.667,0.025862,2758.6,4623.2,26.731,10.736,15.032,1945.4,-0.050658,0.011304,0.25503,supercritical
40.0,731.0,39.036,0.025618,2758.2,4630.8,26.673,10.742,15.035,1953.1,-0.05072,0.011343,0.25608,supercritical
40.0,741.0,39.401,0.02538,2757.8,4638.4,26.616,10.748,15.037,1960.7,-0.05078,0.011382,0.25713,supercritical
40.0,751.0,39.764,0.025149,2757.4,4646.1,26.56,10.754,15.039,1968.3,-0.050837,0.011421,0.25819,supercritical
40.0,761.0,40.123,0.024923,2757.1,4653.7,26.504,10.76,15.042,1975.9,-0.050893,0.011461,0.25925,supercritical
40.0,771.0,40.48,0.024704,2756.7,4661.4,26.449,10.766,15.044,1983.5,-0.050947,0.0115,0.26032,supercritical
40.0,781.0,40.833,0.02449,2756.4,4669.1,26.395,10.772,15.046,1991.0,-0.050998,0.011539,0.26139,supercritical
40.0,791.0,41.184,0.024281,2756.1,4676.7,26.342,10.778,15.048,1998.6,-0.051048,0.011578,0.26248,supercritical
40.0,801.0,41.533,0.024078,2755.8,4684.4,26.289,10.784,15.05,2006.0,-0.051096,0.011618,0.26357,supercritical
40.0,811.0,41.878,0.023879,2755.5,4692.1,26.237,10.79,15.052,2013.5,-0.051142,0.011657,0.26466,supercritical
40.0,821.0,42.221,0.023685,2755.3,4699.8,26.186,10.796,15.054,2021.0,-0.051187,0.011696,0.26577,supercritical
40.0,831.0,42.561,0.023496,2755.0,4707.5,26.135,10.802,15.056,2028.4,-0.051229,0.011736,0.26688,supercritical
40.0,841.0,42.898,0.023311,2754.8,4715.2,26.085,10.808,15.057,2035.8,-0.05127,0.011775,0.268,supercritical
40.0,851.0,43.233,0.02313,2754.6,4723.0,26.036,10.814,15.059,2043.2,-0.05131,0.011815,0.26913,supercritical
40.0,861.0,43.565,0.022954,2754.4,4730.7,25.987,10.82,15.061,2050.5,-0.051348,0.011855,0.27027,supercritical
40.0,871.0,43.895,0.022782,2754.2,4738.4,25.938,10.825,15.063,2057.9,-0.051384,0.011894,0.27141,supercritical
40.0,881.0,44.223,0.022613,2754.0,4746.2,25.891,10.831,15.064,2065.2,-0.051418,0.011934,0.27257,supercritical
40.0,891.0,44.547,0.022448,2753.8,4753.9,25.843,10.837,15.066,2072.5,-0.051452,0.011974,0.27374,supercritical
40.0,901.0,44.87,0.022287,2753.6,4761.7,25.797,10.843,15.067,2079.7,-0.051483,0.012013,0.27492,supercritical
40.0,911.0,45.19,0.022129,2753.5,4769.4,25.751,10.849,15.069,2087.0,-0.051514,0.012053,0.2761,supercritical
40.0,921.0,45.508,0.021974,2753.4,4777.2,25.705,10.854,15.07,2094.2,-0.051543,0.012093,0.2773,supercritical
40.0,931.0,45.823,0.021823,2753.2,4785.0,25.66,10.86,15.072,2101.4,-0.051571,0.012133,0.27852,supercritical
40.0,941.0,46.136,0.021675,2753.1,4792.7,25.615,10.866,15.073,2108.5,-0.051597,0.012173,0.27974,supercritical
40.0,951.0,46.447,0.02153,2753.0,4800.5,25.571,10.871,15.075,2115.7,-0.051622,0.012213,0.28097,supercritical
40.0,961.0,46.756,0.021388,2753.0,4808.3,25.527,10.877,15.076,2122.8,-0.051646,0.012253,0.28222,supercritical
40.0,971.0,47.062,0.021248,2752.9,4816.1,25.484,10.882,15.077,2129.9,-0.051668,0.012293,0.28348,supercritical
40.0,981.0,47.367,0.021112,2752.8,4823.9,25.442,10.888,15.079,2137.0,-0.05169,0.012333,0.28476,supercritical
40.0,991.0,47.669,0.020978,2752.8,4831.7,25.399,10.894,15.08,2144.0,-0.05171,0.012373,0.28605,supercritical
40.0,1001.0,47.969,0.020847,2752.7,4839.5,25.357,10.899,15.081,2151.1,-0.051729,0.012413,0.28735,supercritical
