Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
110.0,1.0,1.3844,0.72233,509.28,581.52,2.9622,0.73682,0.9278,301.27,0.58896,0.018878,0.023353,vapor
110.0,11.0,15.56,0.064266,505.28,575.98,2.4987,0.74549,0.95853,297.92,0.58629,0.019026,0.023837,vapor
110.0,21.0,30.375,0.032922,501.14,570.27,2.3657,0.75445,0.99255,294.66,0.58271,0.019199,0.024373,vapor
110.0,31.0,45.883,0.021795,496.84,564.41,2.2809,0.76371,1.0303,291.52,0.57809,0.019401,0.024969,vapor
110.0,41.0,62.144,0.016092,492.38,558.36,2.2163,0.77324,1.0722,288.5,0.57229,0.019636,0.025635,vapor
110.0,51.0,79.223,0.012623,487.76,552.13,2.1629,0.78303,1.1188,285.65,0.56512,0.019911,0.026381,vapor
110.0,61.0,97.188,0.010289,482.95,545.71,2.1165,0.79303,1.1707,283.0,0.5564,0.020232,0.027221,vapor
110.0,71.0,116.11,0.0086126,477.95,539.1,2.0747,0.80321,1.2283,280.6,0.54594,0.020606,0.028168,vapor
110.0,81.0,136.05,0.00735,472.77,532.3,2.0362,0.81351,1.2923,278.52,0.53357,0.021043,0.029236,vapor
110.0,81.0,136.05,0.00735,472.77,532.3,2.0362,0.81351,1.2923,278.52,0.53357,0.021043,0.029236,supercritical
110.0,81.0,136.05,0.00735,472.77,532.3,2.0362,0.81351,1.2923,278.52,0.53357,0.021043,0.029236,supercritical
110.0,91.0,157.08,0.0063661,467.39,525.32,2.0001,0.82383,1.3628,276.82,0.51914,0.021551,0.030442,supercritical
110.0,101.0,179.24,0.0055792,461.81,518.16,1.9658,0.83408,1.44,275.61,0.50255,0.022143,0.031798,supercritical
110.0,111.0,202.54,0.0049373,456.05,510.85,1.9331,0.84412,1.5235,274.98,0.48375,0.02283,0.033315,supercritical
110.0,121.0,226.96,0.004406,450.12,503.43,1.9015,0.85379,1.6123,275.04,0.46279,0.023625,0.034995,supercritical
110.0,131.0,252.43,0.0039615,444.05,495.95,1.8711,0.86291,1.7045,275.91,0.43983,0.024537,0.036835,supercritical
110.0,141.0,278.79,0.0035869,437.89,488.46,1.8417,0.87128,1.7971,277.72,0.41514,0.025577,0.038816,supercritical
110.0,151.0,305.82,0.0032699,431.68,481.06,1.8135,0.87873,1.8864,280.57,0.38911,0.026747,0.040909,supercritical
110.0,161.0,333.22,0.003001,425.5,473.81,1.7864,0.88512,1.9681,284.54,0.36227,0.028045,0.043078,supercritical
110.0,171.0,360.63,0.002773,419.41,466.82,1.7606,0.89038,2.0381,289.64,0.33523,0.029462,0.045281,supercritical
110.0,181.0,387.67,0.0025795,413.48,460.17,1.7363,0.89452,2.0935,295.84,0.30863,0.03098,0.047479,supercritical
110.0,191.0,414.0,0.0024155,407.78,453.92,1.7134,0.89762,2.133,303.07,0.28304,0.032578,0.049641,supercritical
110.0,201.0,439.33,0.0022762,402.36,448.11,1.6922,0.89982,2.157,311.18,0.25887,0.034232,0.051744,supercritical
110.0,211.0,463.45,0.0021577,397.23,442.75,1.6724,0.90129,2.1672,320.04,0.2364,0.035918,0.053776,supercritical
110.0,221.0,486.25,0.0020565,392.41,437.86,1.6541,0.9022,2.1661,329.49,0.21576,0.037615,0.05573,supercritical
110.0,231.0,507.68,0.0019697,387.9,433.4,1.6372,0.90268,2.1563,339.39,0.19696,0.039304,0.057605,supercritical
110.0,241.0,527.74,0.0018949,383.69,429.35,1.6216,0.90285,2.1405,349.62,0.17995,0.040972,0.059401,supercritical
110.0,251.0,546.49,0.0018298,379.76,425.68,1.6072,0.90283,2.1208,360.04,0.16463,0.042611,0.061124,supercritical
110.0,261.0,564.01,0.001773,376.08,422.36,1.5938,0.90269,2.0989,370.56,0.15085,0.044213,0.062777,supercritical
