Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
10.0,1.0,0.68286,1.4644,730.29,876.74,6.567,1.6761,2.1998,437.95,0.48631,0.010586,0.031919,vapor
10.0,11.0,7.6709,0.13036,722.53,865.93,5.2968,1.688,2.2692,434.05,0.4809,0.010732,0.032638,vapor
10.0,21.0,14.959,0.066848,714.53,854.91,4.9335,1.7001,2.3457,430.53,0.47431,0.010906,0.033428,vapor
10.0,31.0,22.562,0.044322,706.28,843.68,4.7027,1.7125,2.4296,427.47,0.46632,0.011112,0.034308,vapor
10.0,41.0,30.491,0.032796,697.79,832.26,4.5281,1.725,2.5215,424.96,0.4567,0.011353,0.035294,vapor
10.0,51.0,38.752,0.025805,689.06,820.66,4.3845,1.7375,2.6214,423.1,0.44525,0.011631,0.036398,vapor
10.0,51.0,38.752,0.025805,689.06,820.66,4.3845,1.7375,2.6214,423.1,0.44525,0.011631,0.036398,supercritical
10.0,51.0,38.752,0.025805,689.06,820.66,4.3845,1.7375,2.6214,423.1,0.44525,0.011631,0.036398,supercritical
10.0,61.0,47.345,0.021122,680.09,808.93,4.2607,1.7499,2.7289,422.03,0.43182,0.011949,0.037633,supercritical
10.0,71.0,56.258,0.017775,670.91,797.11,4.1506,1.762,2.8431,421.86,0.41635,0.012311,0.039012,supercritical
10.0,81.0,65.467,0.015275,661.55,785.28,4.0507,1.7737,2.9623,422.74,0.39886,0.012718,0.040539,supercritical
10.0,91.0,74.933,0.013345,652.07,773.51,3.9587,1.7847,3.084,424.8,0.37951,0.013171,0.042216,supercritical
10.0,101.0,84.598,0.011821,642.52,761.9,3.8734,1.7949,3.2051,428.15,0.35857,0.013671,0.044034,supercritical
10.0,111.0,94.388,0.010595,632.96,750.56,3.7938,1.8041,3.3215,432.87,0.3364,0.014216,0.045976,supercritical
10.0,121.0,104.22,0.0095953,623.49,739.59,3.7195,1.8123,3.4295,439.03,0.31344,0.014801,0.048014,supercritical
10.0,131.0,113.99,0.0087725,614.17,729.1,3.65,1.8194,3.5252,446.62,0.29018,0.015424,0.050114,supercritical
10.0,141.0,123.61,0.0080897,605.1,719.16,3.5852,1.8254,3.6058,455.6,0.26706,0.016076,0.052242,supercritical
10.0,151.0,133.0,0.0075189,596.32,709.85,3.5248,1.8304,3.6697,465.87,0.24452,0.016752,0.054361,supercritical
10.0,161.0,142.07,0.0070389,587.9,701.22,3.4686,1.8344,3.7164,477.3,0.2229,0.017445,0.056445,supercritical
10.0,171.0,150.77,0.0066327,579.87,693.29,3.4165,1.8377,3.747,489.72,0.20248,0.018146,0.058474,supercritical
10.0,181.0,159.06,0.0062868,572.25,686.05,3.3681,1.8404,3.7635,502.95,0.18343,0.01885,0.060437,supercritical
10.0,191.0,166.93,0.0059904,565.06,679.47,3.3232,1.8425,3.7681,516.82,0.16583,0.019552,0.062328,supercritical
10.0,201.0,174.38,0.0057347,558.27,673.54,3.2815,1.8443,3.7633,531.16,0.1497,0.020248,0.064149,supercritical
10.0,211.0,181.4,0.0055126,551.87,668.19,3.2428,1.8459,3.7516,545.82,0.13498,0.020934,0.065901,supercritical
10.0,221.0,188.03,0.0053184,545.86,663.39,3.2068,1.8473,3.7347,560.69,0.1216,0.02161,0.067591,supercritical
10.0,231.0,194.27,0.0051474,540.19,659.09,3.1731,1.8485,3.7143,575.67,0.10945,0.022274,0.069224,supercritical
10.0,241.0,200.16,0.004996,534.84,655.25,3.1416,1.8497,3.6916,590.67,0.098419,0.022924,0.070804,supercritical
10.0,251.0,205.72,0.004861,529.8,651.81,3.1121,1.8509,3.6676,605.63,0.088406,0.023561,0.072336,supercritical
10.0,261.0,210.97,0.0047399,525.04,648.75,3.0843,1.8521,3.6429,620.5,0.079303,0.024185,0.073825,supercritical
10.0,271.0,215.95,0.0046308,520.53,646.02,3.0581,1.8533,3.618,635.23,0.071014,0.024795,0.075274,supercritical
