Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase,Curve
255.0,371.0,389.74,0.0025658,542.8,637.99,2.0215,0.91194,1.4247,416.23,0.10134,0.037446,0.055826,supercritical,"liquid, T = 255 C"
255.0,381.0,398.68,0.0025083,541.01,636.57,2.014,0.91287,1.4294,420.31,0.0974,0.037978,0.05653,supercritical,"liquid, T = 255 C"
255.0,391.0,407.47,0.0024542,539.25,635.21,2.0067,0.91376,1.4339,424.46,0.093584,0.038515,0.057232,supercritical,"liquid, T = 255 C"
255.0,401.0,416.1,0.0024033,537.52,633.89,1.9996,0.91463,1.438,428.65,0.089888,0.039057,0.057931,supercritical,"liquid, T = 255 C"
255.0,411.0,424.58,0.0023553,535.82,632.62,1.9927,0.91546,1.4417,432.9,0.08631,0.039603,0.058626,supercritical,"liquid, T = 255 C"
255.0,421.0,432.91,0.00231,534.15,631.4,1.986,0.91626,1.4452,437.19,0.082846,0.040152,0.059318,supercritical,"liquid, T = 255 C"
255.0,431.0,441.09,0.0022671,532.51,630.23,1.9795,0.91703,1.4484,441.53,0.079495,0.040705,0.060005,supercritical,"liquid, T = 255 C"
255.0,441.0,449.11,0.0022266,530.9,629.1,1.9731,0.91778,1.4513,445.9,0.076252,0.04126,0.060688,supercritical,"liquid, T = 255 C"
255.0,451.0,456.99,0.0021882,529.32,628.01,1.9668,0.91851,1.4539,450.3,0.073115,0.041817,0.061366,supercritical,"liquid, T = 255 C"
255.0,461.0,464.73,0.0021518,527.77,626.97,1.9608,0.91921,1.4563,454.74,0.07008,0.042377,0.062039,supercritical,"liquid, T = 255 C"
255.0,471.0,472.32,0.0021172,526.25,625.97,1.9548,0.91989,1.4585,459.2,0.067145,0.042938,0.062707,supercritical,"liquid, T = 255 C"
255.0,481.0,479.77,0.0020844,524.76,625.01,1.949,0.92055,1.4605,463.68,0.064306,0.0435,0.063369,supercritical,"liquid, T = 255 C"
255.0,491.0,487.08,0.0020531,523.29,624.09,1.9434,0.92119,1.4622,468.18,0.06156,0.044063,0.064025,supercritical,"liquid, T = 255 C"
255.0,501.0,494.25,0.0020233,521.85,623.21,1.9378,0.92182,1.4637,472.7,0.058904,0.044627,0.064676,supercritical,"liquid, T = 255 C"
255.0,511.0,501.29,0.0019949,520.43,622.37,1.9324,0.92243,1.4651,477.23,0.056335,0.045192,0.065322,supercritical,"liquid, T = 255 C"
255.0,521.0,508.2,0.0019677,519.04,621.56,1.9272,0.92302,1.4662,481.78,0.05385,0.045756,0.065961,supercritical,"liquid, T = 255 C"
255.0,531.0,514.98,0.0019418,517.68,620.79,1.922,0.9236,1.4673,486.33,0.051448,0.04632,0.066594,supercritical,"liquid, T = 255 C"
255.0,541.0,521.63,0.0019171,516.34,620.05,1.9169,0.92417,1.4681,490.89,0.049124,0.046884,0.067222,supercritical,"liquid, T = 255 C"
255.0,551.0,528.16,0.0018934,515.02,619.35,1.912,0.92473,1.4688,495.45,0.046877,0.047447,0.067844,supercritical,"liquid, T = 255 C"
255.0,561.0,534.58,0.0018706,513.73,618.67,1.9072,0.92527,1.4694,500.01,0.044704,0.04801,0.06846,supercritical,"liquid, T = 255 C"
255.0,571.0,540.87,0.0018489,512.46,618.03,1.9024,0.92581,1.4699,504.57,0.042603,0.048572,0.06907,supercritical,"liquid, T = 255 C"
255.0,581.0,547.05,0.001828,511.21,617.42,1.8978,0.92633,1.4703,509.12,0.040572,0.049132,0.069675,supercritical,"liquid, T = 255 C"
255.0,591.0,553.12,0.0018079,509.99,616.84,1.8932,0.92685,1.4706,513.68,0.038607,0.049692,0.070274,supercritical,"liquid, T = 255 C"
255.0,601.0,559.08,0.0017887,508.79,616.28,1.8888,0.92736,1.4707,518.22,0.036707,0.05025,0.070867,supercritical,"liquid, T = 255 C"
255.0,611.0,564.93,0.0017701,507.6,615.76,1.8844,0.92786,1.4708,522.76,0.03487,0.050807,0.071455,supercritical,"liquid, T = 255 C"
255.0,621.0,570.68,0.0017523,506.44,615.26,1.8801,0.92836,1.4708,527.28,0.033093,0.051362,0.072038,supercritical,"liquid, T = 255 C"
255.0,631.0,576.33,0.0017351,505.3,614.78,1.876,0.92885,1.4708,531.8,0.031375,0.051916,0.072615,supercritical,"liquid, T = 255 C"
255.0,641.0,581.88,0.0017186,504.17,614.34,1.8718,0.92933,1.4707,536.3,0.029712,0.052468,0.073187,supercritical,"liquid, T = 255 C"
255.0,651.0,587.33,0.0017026,503.07,613.91,1.8678,0.92981,1.4705,540.79,0.028104,0.053018,0.073754,supercritical,"liquid, T = 255 C"
255.0,661.0,592.69,0.0016872,501.98,613.51,1.8638,0.93028,1.4703,545.26,0.026548,0.053566,0.074317,supercritical,"liquid, T = 255 C"
255.0,671.0,597.96,0.0016723,500.92,613.13,1.8599,0.93075,1.4701,549.72,0.025041,0.054113,0.074874,supercritical,"liquid, T = 255 C"
255.0,681.0,603.15,0.001658,499.86,612.77,1.8561,0.93122,1.4698,554.16,0.023583,0.054658,0.075427,supercritical,"liquid, T = 255 C"
255.0,691.0,608.24,0.0016441,498.83,612.44,1.8523,0.93168,1.4694,558.59,0.022171,0.055201,0.075975,supercritical,"liquid, T = 255 C"
255.0,701.0,613.26,0.0016306,497.81,612.12,1.8486,0.93213,1.4691,563.0,0.020804,0.055741,0.076518,supercritical,"liquid, T = 255 C"
255.0,711.0,618.19,0.0016176,496.81,611.82,1.845,0.93259,1.4687,567.39,0.019479,0.05628,0.077058,supercritical,"liquid, T = 255 C"
255.0,721.0,623.04,0.001605,495.83,611.55,1.8414,0.93304,1.4682,571.76,0.018195,0.056817,0.077593,supercritical,"liquid, T = 255 C"
255.0,731.0,627.82,0.0015928,494.85,611.29,1.8379,0.93348,1.4678,576.12,0.01695,0.057352,0.078124,supercritical,"liquid, T = 255 C"
255.0,741.0,632.52,0.001581,493.9,611.05,1.8344,0.93393,1.4673,580.45,0.015743,0.057884,0.078651,supercritical,"liquid, T = 255 C"
255.0,751.0,637.14,0.0015695,492.96,610.83,1.831,0.93437,1.4668,584.77,0.014572,0.058415,0.079174,supercritical,"liquid, T = 255 C"
