Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
40.0,1.0,1.6975,0.58911,459.81,518.72,2.7814,0.67238,0.86506,274.72,0.96534,0.01563,0.017789,vapor
40.0,11.0,19.528,0.05121,453.73,510.06,2.3089,0.6933,0.92968,267.98,0.96783,0.015759,0.018388,vapor
40.0,21.0,39.19,0.025517,447.09,500.68,2.1651,0.71659,1.0116,260.9,0.96896,0.01594,0.019149,vapor
40.0,31.0,61.222,0.016334,439.74,490.38,2.0672,0.74307,1.1197,253.43,0.9678,0.016193,0.020145,vapor
40.0,41.0,86.459,0.011566,431.46,478.88,1.9867,0.77407,1.2704,245.47,0.9628,0.016551,0.021503,vapor
40.0,51.0,116.3,0.0085981,421.86,465.71,1.9127,0.8118,1.4975,236.9,0.95123,0.017072,0.023473,vapor
40.0,61.0,153.43,0.0065177,410.24,450.0,1.8386,0.86059,1.8841,227.52,0.92776,0.017874,0.0266,vapor
40.0,71.0,204.05,0.0049008,394.99,429.78,1.7559,0.93017,2.7011,216.93,0.87996,0.019259,0.032324,vapor
40.0,81.0,289.82,0.0034505,370.91,398.86,1.6438,1.0486,5.4795,204.18,0.76747,0.022434,0.046021,vapor
40.0,81.0,289.82,0.0034505,370.91,398.86,1.6438,1.0486,5.4795,204.18,0.76747,0.022434,0.046021,supercritical
40.0,81.0,289.82,0.0034505,370.91,398.86,1.6438,1.0486,5.4795,204.18,0.76747,0.022434,0.046021,supercritical
40.0,91.0,510.38,0.0019593,320.22,338.05,1.4411,1.1459,11.841,210.54,0.44581,0.036184,0.072483,supercritical
40.0,101.0,635.86,0.0015727,295.72,311.6,1.3512,1.0221,5.4015,275.44,0.25546,0.048471,0.072093,supercritical
40.0,111.0,687.56,0.0014544,285.47,301.62,1.3145,0.97899,3.9864,320.96,0.18612,0.054772,0.075062,supercritical
40.0,121.0,720.6,0.0013877,278.76,295.55,1.2906,0.95861,3.383,355.2,0.14801,0.059262,0.078092,supercritical
40.0,131.0,745.25,0.0013418,273.66,291.24,1.2724,0.94648,3.0424,383.38,0.12299,0.062881,0.080834,supercritical
40.0,141.0,765.09,0.001307,269.48,287.91,1.2576,0.93828,2.8198,407.75,0.10492,0.065978,0.083304,supercritical
40.0,151.0,781.79,0.0012791,265.92,285.24,1.2449,0.93234,2.6608,429.46,0.091053,0.068722,0.085551,supercritical
40.0,161.0,796.27,0.0012559,262.8,283.02,1.2338,0.92784,2.5404,449.13,0.079986,0.071211,0.087618,supercritical
40.0,171.0,809.09,0.001236,260.01,281.14,1.2238,0.92436,2.4453,467.19,0.070892,0.073504,0.089538,supercritical
40.0,181.0,820.61,0.0012186,257.47,279.53,1.2147,0.92163,2.3679,483.92,0.063254,0.075643,0.091337,supercritical
40.0,191.0,831.1,0.0012032,255.15,278.13,1.2064,0.91946,2.3034,499.52,0.056727,0.077656,0.093034,supercritical
40.0,201.0,840.74,0.0011894,253.0,276.91,1.1987,0.91773,2.2488,514.17,0.051069,0.079565,0.094643,supercritical
40.0,211.0,849.68,0.0011769,250.99,275.83,1.1915,0.91634,2.2017,527.99,0.046107,0.081387,0.096178,supercritical
40.0,221.0,858.01,0.0011655,249.11,274.87,1.1847,0.91523,2.1606,541.1,0.041711,0.083133,0.097646,supercritical
40.0,231.0,865.83,0.001155,247.34,274.02,1.1782,0.91435,2.1244,553.57,0.037784,0.084814,0.099058,supercritical
40.0,241.0,873.2,0.0011452,245.66,273.26,1.1721,0.91365,2.0922,565.49,0.034248,0.086437,0.10042,supercritical
40.0,251.0,880.17,0.0011361,244.07,272.58,1.1663,0.91311,2.0633,576.91,0.031045,0.088011,0.10173,supercritical
40.0,261.0,886.79,0.0011277,242.55,271.98,1.1608,0.9127,2.0373,587.88,0.028126,0.089539,0.103,supercritical
40.0,271.0,893.1,0.0011197,241.09,271.43,1.1555,0.91239,2.0136,598.46,0.025452,0.091027,0.10424,supercritical
40.0,281.0,899.12,0.0011122,239.7,270.95,1.1504,0.91217,1.992,608.67,0.022992,0.092479,0.10544,supercritical
40.0,291.0,904.89,0.0011051,238.36,270.52,1.1454,0.91203,1.9721,618.55,0.02072,0.093897,0.10661,supercritical
40.0,301.0,910.43,0.0010984,237.07,270.13,1.1407,0.91196,1.9539,628.12,0.018612,0.095285,0.10775,supercritical
40.0,311.0,915.76,0.001092,235.83,269.79,1.1361,0.91194,1.9369,637.42,0.016652,0.096646,0.10886,supercritical
