Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
20.0,1.0,1.8152,0.55091,446.52,501.61,2.725,0.65241,0.84596,266.57,1.1417,0.014675,0.01625,vapor
20.0,2.0,3.6498,0.27399,445.84,500.64,2.5917,0.65509,0.85342,265.76,1.1422,0.014684,0.016307,vapor
20.0,3.0,5.5044,0.18167,445.16,499.66,2.5128,0.65781,0.86108,264.94,1.1428,0.014693,0.016365,vapor
20.0,4.0,7.3797,0.13551,444.47,498.67,2.4561,0.66056,0.86896,264.12,1.1433,0.014703,0.016426,vapor
20.0,5.0,9.2761,0.1078,443.77,497.68,2.4115,0.66335,0.87705,263.3,1.1439,0.014713,0.016488,vapor
20.0,6.0,11.194,0.089332,443.07,496.67,2.3746,0.66617,0.88537,262.46,1.1445,0.014724,0.016552,vapor
20.0,7.0,13.135,0.076133,442.36,495.65,2.343,0.66904,0.89394,261.62,1.1451,0.014736,0.016618,vapor
20.0,8.0,15.099,0.066231,441.63,494.62,2.3153,0.67195,0.90276,260.78,1.1456,0.014748,0.016685,vapor
20.0,9.0,17.086,0.058526,440.91,493.58,2.2906,0.6749,0.91185,259.92,1.1462,0.014761,0.016755,vapor
20.0,10.0,19.099,0.05236,440.17,492.53,2.2681,0.6779,0.92122,259.06,1.1468,0.014774,0.016828,vapor
20.0,11.0,21.136,0.047312,439.42,491.47,2.2475,0.68095,0.93089,258.2,1.1474,0.014788,0.016902,vapor
20.0,12.0,23.2,0.043103,438.67,490.39,2.2284,0.68405,0.94088,257.32,1.148,0.014802,0.016979,vapor
20.0,13.0,25.291,0.03954,437.9,489.31,2.2106,0.6872,0.9512,256.44,1.1486,0.014818,0.017058,vapor
20.0,14.0,27.41,0.036483,437.13,488.21,2.1939,0.69041,0.96188,255.55,1.1492,0.014834,0.01714,vapor
20.0,15.0,29.558,0.033832,436.35,487.1,2.1782,0.69367,0.97292,254.65,1.1498,0.01485,0.017225,vapor
20.0,16.0,31.736,0.03151,435.55,485.97,2.1632,0.697,0.98437,253.74,1.1504,0.014868,0.017312,vapor
20.0,17.0,33.946,0.029459,434.75,484.83,2.1489,0.70039,0.99624,252.82,1.151,0.014886,0.017403,vapor
20.0,18.0,36.187,0.027634,433.94,483.68,2.1352,0.70385,1.0086,251.9,1.1515,0.014905,0.017497,vapor
20.0,19.0,38.463,0.025999,433.11,482.51,2.1221,0.70738,1.0213,250.96,1.1521,0.014926,0.017594,vapor
20.0,20.0,40.773,0.024526,432.27,481.32,2.1095,0.71099,1.0347,250.02,1.1526,0.014946,0.017695,vapor
20.0,21.0,43.119,0.023192,431.42,480.12,2.0972,0.71467,1.0485,249.06,1.1531,0.014968,0.0178,vapor
20.0,22.0,45.503,0.021976,430.56,478.9,2.0854,0.71844,1.0629,248.1,1.1537,0.014991,0.017909,vapor
20.0,23.0,47.927,0.020865,429.68,477.67,2.0739,0.7223,1.078,247.12,1.1541,0.015015,0.018022,vapor
20.0,24.0,50.392,0.019845,428.79,476.42,2.0626,0.72626,1.0937,246.13,1.1546,0.015041,0.01814,vapor
20.0,25.0,52.899,0.018904,427.88,475.14,2.0517,0.73031,1.1101,245.13,1.1551,0.015067,0.018263,vapor
20.0,26.0,55.452,0.018034,426.96,473.85,2.041,0.73447,1.1273,244.12,1.1555,0.015095,0.018391,vapor
20.0,27.0,58.051,0.017226,426.03,472.54,2.0305,0.73874,1.1454,243.09,1.1558,0.015123,0.018524,vapor
20.0,28.0,60.7,0.016474,425.08,471.2,2.0202,0.74312,1.1643,242.05,1.1562,0.015154,0.018664,vapor
20.0,29.0,63.401,0.015773,424.1,469.85,2.0101,0.74764,1.1842,240.99,1.1565,0.015185,0.01881,vapor
20.0,30.0,66.156,0.015116,423.12,468.46,2.0001,0.75229,1.2052,239.93,1.1568,0.015219,0.018963,vapor
20.0,31.0,68.968,0.014499,422.11,467.06,1.9902,0.75709,1.2274,238.84,1.157,0.015254,0.019124,vapor
20.0,32.0,71.841,0.01392,421.08,465.62,1.9805,0.76204,1.2508,237.74,1.1571,0.01529,0.019292,vapor
20.0,33.0,74.777,0.013373,420.03,464.16,1.9709,0.76716,1.2756,236.62,1.1572,0.015329,0.01947,vapor
20.0,34.0,77.781,0.012857,418.96,462.67,1.9613,0.77247,1.3019,235.48,1.1573,0.015369,0.019657,vapor
20.0,35.0,80.857,0.012367,417.86,461.15,1.9518,0.77796,1.3299,234.33,1.1573,0.015412,0.019855,vapor
20.0,36.0,84.01,0.011903,416.74,459.59,1.9424,0.78367,1.3598,233.15,1.1571,0.015457,0.020064,vapor
20.0,37.0,87.243,0.011462,415.59,458.0,1.9329,0.7896,1.3917,231.95,1.1569,0.015504,0.020286,vapor
20.0,38.0,90.564,0.011042,414.41,456.37,1.9235,0.79579,1.426,230.73,1.1566,0.015554,0.020521,vapor
20.0,39.0,93.978,0.010641,413.2,454.7,1.9141,0.80224,1.4629,229.48,1.1562,0.015607,0.020772,vapor
20.0,40.0,97.492,0.010257,411.96,452.99,1.9047,0.809,1.5026,228.2,1.1557,0.015663,0.02104,vapor
20.0,41.0,101.11,0.0098899,410.68,451.23,1.8953,0.81609,1.5458,226.9,1.155,0.015722,0.021327,vapor
20.0,42.0,104.85,0.0095372,409.36,449.41,1.8858,0.82354,1.5927,225.56,1.1542,0.015785,0.021635,vapor
20.0,43.0,108.72,0.009198,408.0,447.55,1.8762,0.8314,1.644,224.19,1.1532,0.015852,0.021967,vapor
20.0,44.0,112.73,0.0088711,406.59,445.62,1.8666,0.83971,1.7003,222.79,1.1521,0.015924,0.022327,vapor
20.0,45.0,116.88,0.0085555,405.13,443.63,1.8568,0.84854,1.7626,221.34,1.1507,0.016,0.022717,vapor
20.0,46.0,121.21,0.0082501,403.61,441.56,1.8469,0.85794,1.8318,219.84,1.1491,0.016082,0.023144,vapor
20.0,47.0,125.73,0.0079538,402.03,439.42,1.8368,0.86802,1.9093,218.3,1.1471,0.01617,0.023611,vapor
20.0,48.0,130.45,0.0076657,400.38,437.18,1.8265,0.87886,1.997,216.7,1.1449,0.016265,0.024128,vapor
20.0,49.0,135.41,0.0073848,398.65,434.84,1.816,0.8906,2.0969,215.03,1.1423,0.016367,0.024702,vapor
20.0,50.0,140.65,0.0071099,396.83,432.38,1.8051,0.9034,2.2123,213.29,1.1392,0.01648,0.025346,vapor
20.0,51.0,146.2,0.0068401,394.91,429.79,1.7939,0.91748,2.3473,211.46,1.1356,0.016602,0.026075,vapor
20.0,52.0,152.11,0.0065741,392.86,427.04,1.7822,0.93312,2.5079,209.53,1.1314,0.016738,0.026909,vapor
20.0,53.0,158.47,0.0063105,390.66,424.1,1.77,0.95072,2.703,207.47,1.1264,0.016889,0.027879,vapor
20.0,54.0,165.36,0.0060474,388.28,420.94,1.7571,0.97086,2.9464,205.27,1.1204,0.017059,0.029026,vapor
20.0,55.0,172.93,0.0057827,385.67,417.48,1.7433,0.99446,3.2611,202.86,1.113,0.017253,0.030419,vapor
20.0,56.0,181.38,0.0055132,382.77,413.64,1.7283,1.0231,3.6889,200.18,1.1038,0.017479,0.032169,vapor
20.0,57.0,191.07,0.0052336,379.44,409.27,1.7115,1.0596,4.3158,197.1,1.0919,0.017751,0.03449,vapor
20.0,57.291,194.2,0.0051493,378.36,407.87,1.7062,1.0725,4.5599,196.09,1.0877,0.017842,0.035327,vapor
20.0,57.291,773.39,0.001293,248.46,255.87,1.1877,1.0114,4.2637,337.65,0.14973,0.066773,0.085265,liquid
20.0,58.0,775.95,0.0012887,247.95,255.43,1.1859,1.0073,4.1689,341.95,0.14615,0.067204,0.085497,liquid
20.0,59.0,779.39,0.0012831,247.27,254.84,1.1835,1.002,4.0499,347.69,0.14148,0.067785,0.085827,liquid
20.0,60.0,782.65,0.0012777,246.61,254.28,1.1811,0.99727,3.9449,353.11,0.13719,0.068342,0.086156,liquid
20.0,61.0,785.74,0.0012727,245.99,253.75,1.1789,0.99302,3.8512,358.27,0.13323,0.068876,0.086484,liquid
20.0,62.0,788.7,0.0012679,245.39,253.25,1.1767,0.98914,3.767,363.19,0.12955,0.06939,0.086808,liquid
20.0,63.0,791.52,0.0012634,244.82,252.77,1.1747,0.98559,3.6906,367.9,0.12611,0.069886,0.087129,liquid
20.0,64.0,794.23,0.0012591,244.26,252.32,1.1727,0.98232,3.6209,372.43,0.12288,0.070365,0.087446,liquid
20.0,65.0,796.84,0.001255,243.73,251.88,1.1708,0.9793,3.557,376.79,0.11985,0.070831,0.087759,liquid
20.0,66.0,799.35,0.001251,243.21,251.47,1.1689,0.97649,3.4982,381.01,0.11698,0.071282,0.088067,liquid
