Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
50.0,1.0,0.59785,1.6727,799.24,966.51,6.8634,1.7712,2.2934,465.08,0.36892,0.011872,0.03752,vapor
50.0,11.0,6.6601,0.15015,792.86,958.02,5.6009,1.7791,2.3419,463.09,0.36316,0.012005,0.038132,vapor
50.0,21.0,12.874,0.077675,786.38,949.5,5.2459,1.7869,2.393,461.45,0.3568,0.012158,0.038787,vapor
50.0,31.0,19.238,0.051981,779.81,940.95,5.024,1.7946,2.4467,460.2,0.3498,0.01233,0.039494,vapor
50.0,41.0,25.747,0.038839,773.15,932.39,4.8589,1.8023,2.5028,459.37,0.3421,0.012522,0.040258,vapor
50.0,51.0,32.396,0.030868,766.41,923.83,4.7254,1.8099,2.5611,459.02,0.33367,0.012735,0.041083,vapor
50.0,51.0,32.396,0.030868,766.41,923.83,4.7254,1.8099,2.5611,459.02,0.33367,0.012735,0.041083,supercritical
50.0,51.0,32.396,0.030868,766.41,923.83,4.7254,1.8099,2.5611,459.02,0.33367,0.012735,0.041083,supercritical
50.0,61.0,39.176,0.025526,759.6,915.31,4.6123,1.8173,2.6213,459.18,0.3245,0.01297,0.041973,supercritical
50.0,71.0,46.074,0.021704,752.73,906.83,4.5133,1.8245,2.6831,459.9,0.31458,0.013227,0.04293,supercritical
50.0,81.0,53.076,0.018841,745.82,898.43,4.4248,1.8315,2.7457,461.22,0.30395,0.013506,0.043956,supercritical
50.0,91.0,60.163,0.016622,738.89,890.15,4.3444,1.8382,2.8087,463.17,0.29266,0.013808,0.045051,supercritical
50.0,101.0,67.313,0.014856,731.96,882.01,4.2706,1.8446,2.8712,465.8,0.2808,0.014131,0.046212,supercritical
50.0,111.0,74.502,0.013422,725.05,874.04,4.2022,1.8507,2.9325,469.11,0.26845,0.014475,0.047435,supercritical
50.0,121.0,81.704,0.012239,718.18,866.27,4.1386,1.8564,2.9917,473.13,0.25575,0.01484,0.048717,supercritical
50.0,131.0,88.891,0.01125,711.37,858.74,4.079,1.8618,3.0482,477.86,0.24281,0.015223,0.050049,supercritical
