Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
70.0,1.0,0.56285,1.7767,835.26,1012.9,7.0028,1.8281,2.3497,477.64,0.32282,0.012491,0.040522,vapor
70.0,11.0,6.2524,0.15994,829.41,1005.3,5.743,1.8346,2.3911,476.33,0.31732,0.012619,0.041093,vapor
70.0,21.0,12.051,0.082981,823.5,997.76,5.3908,1.841,2.4342,475.34,0.31141,0.012763,0.041697,vapor
70.0,31.0,17.954,0.055696,817.53,990.19,5.1718,1.8474,2.4788,474.69,0.30505,0.012922,0.042344,vapor
70.0,41.0,23.958,0.04174,811.5,982.64,5.0097,1.8537,2.5247,474.43,0.29821,0.013098,0.043034,vapor
70.0,51.0,30.054,0.033273,805.44,975.13,4.8795,1.8599,2.5719,474.57,0.29089,0.01329,0.043772,vapor
70.0,51.0,30.054,0.033273,805.44,975.13,4.8795,1.8599,2.5719,474.57,0.29089,0.01329,0.043772,supercritical
70.0,51.0,30.054,0.033273,805.44,975.13,4.8795,1.8599,2.5719,474.57,0.29089,0.01329,0.043772,supercritical
70.0,61.0,36.235,0.027598,799.34,967.68,4.7695,1.8659,2.6201,475.14,0.28309,0.013499,0.044559,supercritical
70.0,71.0,42.49,0.023535,793.21,960.3,4.6738,1.8718,2.669,476.17,0.27481,0.013725,0.045397,supercritical
70.0,81.0,48.808,0.020488,787.06,953.02,4.5887,1.8775,2.7183,477.68,0.26607,0.013967,0.046285,supercritical
70.0,91.0,55.176,0.018124,780.92,945.85,4.5116,1.883,2.7675,479.7,0.25692,0.014227,0.047223,supercritical
70.0,101.0,61.577,0.01624,774.78,938.8,4.4412,1.8883,2.8163,482.23,0.2474,0.014502,0.048211,supercritical
70.0,111.0,67.997,0.014707,768.67,931.92,4.3761,1.8934,2.8641,485.31,0.23758,0.014794,0.049247,supercritical
70.0,121.0,74.417,0.013438,762.6,925.2,4.3155,1.8982,2.9106,488.92,0.22752,0.015101,0.050326,supercritical
70.0,131.0,80.82,0.012373,756.59,918.68,4.259,1.9028,2.9554,493.08,0.2173,0.015422,0.051446,supercritical
70.0,141.0,87.188,0.01147,750.64,912.36,4.2059,1.9071,2.998,497.77,0.20698,0.015757,0.0526,supercritical
70.0,151.0,93.503,0.010695,744.78,906.27,4.1558,1.9113,3.0381,503.0,0.19666,0.016105,0.053784,supercritical
70.0,161.0,99.748,0.010025,739.01,900.42,4.1086,1.9151,3.0755,508.74,0.18639,0.016463,0.054992,supercritical
70.0,171.0,105.91,0.0094422,733.35,894.81,4.0639,1.9188,3.1098,514.96,0.17625,0.016832,0.056217,supercritical
70.0,181.0,111.97,0.0089312,727.8,889.46,4.0216,1.9222,3.1411,521.66,0.16629,0.01721,0.057453,supercritical
70.0,191.0,117.91,0.0084808,722.38,884.37,3.9814,1.9254,3.1693,528.79,0.15656,0.017596,0.058695,supercritical
70.0,201.0,123.74,0.0080817,717.09,879.53,3.9432,1.9285,3.1942,536.32,0.14711,0.017988,0.059937,supercritical
70.0,211.0,129.43,0.0077264,711.94,874.97,3.9068,1.9314,3.216,544.23,0.13797,0.018385,0.061174,supercritical
