Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
180.0,1.0,0.42587,2.3481,1056.5,1291.3,7.7041,2.2055,2.7255,538.63,0.16164,0.015659,0.059301,vapor
180.0,11.0,4.6925,0.21311,1052.5,1287.0,6.4526,2.2084,2.7461,539.43,0.15822,0.015763,0.059719,vapor
180.0,21.0,8.9714,0.11147,1048.6,1282.6,6.1088,2.2112,2.7667,540.42,0.15473,0.015873,0.060151,vapor
180.0,31.0,13.26,0.075417,1044.6,1278.4,5.8983,2.214,2.7873,541.6,0.15117,0.015988,0.060597,vapor
180.0,41.0,17.554,0.056967,1040.6,1274.2,5.7449,2.2167,2.8078,542.97,0.14754,0.01611,0.06106,vapor
180.0,51.0,21.851,0.045764,1036.7,1270.1,5.6234,2.2194,2.8283,544.54,0.14386,0.016238,0.06154,vapor
180.0,51.0,21.851,0.045764,1036.7,1270.1,5.6234,2.2194,2.8283,544.54,0.14386,0.016238,0.06154,supercritical
180.0,51.0,21.851,0.045764,1036.7,1270.1,5.6234,2.2194,2.8283,544.54,0.14386,0.016238,0.06154,supercritical
180.0,61.0,26.148,0.038244,1032.8,1266.1,5.5223,2.222,2.8486,546.31,0.14011,0.016372,0.062036,supercritical
180.0,71.0,30.441,0.03285,1028.9,1262.1,5.4355,2.2246,2.8688,548.27,0.13631,0.016512,0.062549,supercritical
180.0,81.0,34.727,0.028796,1025.0,1258.3,5.3591,2.2271,2.8887,550.44,0.13247,0.016657,0.063078,supercritical
180.0,91.0,39.002,0.02564,1021.2,1254.5,5.2908,2.2296,2.9084,552.8,0.12858,0.016808,0.063623,supercritical
180.0,101.0,43.263,0.023115,1017.3,1250.8,5.229,2.232,2.9277,555.37,0.12466,0.016964,0.064184,supercritical
180.0,111.0,47.506,0.02105,1013.5,1247.2,5.1724,2.2344,2.9467,558.14,0.12072,0.017125,0.06476,supercritical
180.0,121.0,51.729,0.019332,1009.8,1243.7,5.1201,2.2367,2.9653,561.1,0.11676,0.017291,0.06535,supercritical
180.0,131.0,55.927,0.01788,1006.0,1240.3,5.0716,2.2389,2.9834,564.26,0.11279,0.017462,0.065955,supercritical
180.0,141.0,60.098,0.01664,1002.3,1236.9,5.0262,2.2412,3.001,567.61,0.10883,0.017638,0.066573,supercritical
180.0,151.0,64.238,0.015567,998.66,1233.7,4.9836,2.2433,3.0181,571.16,0.10487,0.017818,0.067203,supercritical
180.0,161.0,68.345,0.014632,995.04,1230.6,4.9434,2.2454,3.0347,574.88,0.10094,0.018002,0.067846,supercritical
180.0,171.0,72.416,0.013809,991.46,1227.6,4.9054,2.2475,3.0507,578.79,0.097026,0.01819,0.068498,supercritical
180.0,181.0,76.448,0.013081,987.92,1224.7,4.8693,2.2495,3.066,582.88,0.093148,0.018382,0.069161,supercritical
180.0,191.0,80.439,0.012432,984.43,1221.9,4.835,2.2515,3.0808,587.13,0.089312,0.018577,0.069832,supercritical
