Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
10.0,1.0,0.085576,11.686,2549.1,3717.6,52.693,10.119,14.246,1283.0,-0.026948,0.008588,0.17848,vapor
10.0,2.6833,0.2294,4.3593,2548.5,3718.3,48.62,10.121,14.251,1284.5,-0.027035,0.0085892,0.17871,vapor
10.0,4.3667,0.37292,2.6815,2548.0,3718.9,46.61,10.122,14.257,1285.9,-0.027124,0.0085903,0.17894,vapor
10.0,6.05,0.51616,1.9374,2547.5,3719.6,45.263,10.124,14.262,1287.4,-0.027214,0.0085915,0.17917,vapor
10.0,7.7333,0.6591,1.5172,2546.9,3720.2,44.249,10.125,14.267,1288.8,-0.027306,0.0085928,0.17939,vapor
10.0,9.4167,0.80176,1.2473,2546.4,3720.9,43.435,10.127,14.272,1290.3,-0.027399,0.0085941,0.17961,vapor
10.0,11.1,0.94412,1.0592,2545.9,3721.6,42.754,10.128,14.277,1291.7,-0.027494,0.0085955,0.17982,vapor
10.0,12.783,1.0862,0.92065,2545.3,3722.2,42.17,10.13,14.283,1293.2,-0.02759,0.0085968,0.18003,vapor
10.0,14.467,1.228,0.81435,2544.8,3722.9,41.658,10.131,14.288,1294.6,-0.027687,0.0085983,0.18024,vapor
10.0,14.467,1.228,0.81435,2544.8,3722.9,41.658,10.131,14.288,1294.6,-0.027687,0.0085983,0.18024,supercritical
10.0,14.467,1.228,0.81435,2544.8,3722.9,41.658,10.131,14.288,1294.6,-0.027687,0.0085983,0.18024,supercritical
10.0,16.15,1.3695,0.73021,2544.3,3723.6,41.202,10.132,14.293,1296.1,-0.027785,0.0085998,0.18044,supercritical
10.0,17.833,1.5107,0.66195,2543.7,3724.2,40.792,10.134,14.298,1297.6,-0.027885,0.0086013,0.18064,supercritical
10.0,19.517,1.6516,0.60547,2543.2,3724.9,40.418,10.135,14.303,1299.0,-0.027985,0.0086029,0.18083,supercritical
10.0,21.2,1.7922,0.55796,2542.7,3725.6,40.075,10.137,14.308,1300.5,-0.028087,0.0086045,0.18103,supercritical
10.0,22.883,1.9326,0.51745,2542.2,3726.2,39.758,10.138,14.313,1301.9,-0.028189,0.0086061,0.18122,supercritical
10.0,24.567,2.0726,0.48248,2541.6,3726.9,39.463,10.14,14.318,1303.4,-0.028292,0.0086078,0.1814,supercritical
10.0,26.25,2.2124,0.452,2541.1,3727.6,39.188,10.141,14.323,1304.9,-0.028396,0.0086096,0.18158,supercritical
10.0,27.933,2.3519,0.42519,2540.6,3728.3,38.93,10.143,14.328,1306.3,-0.028501,0.0086114,0.18177,supercritical
10.0,29.617,2.4911,0.40143,2540.1,3729.0,38.687,10.144,14.333,1307.8,-0.028607,0.0086132,0.18194,supercritical
10.0,31.3,2.63,0.38023,2539.6,3729.7,38.457,10.146,14.337,1309.3,-0.028713,0.0086151,0.18212,supercritical
10.0,32.983,2.7686,0.36119,2539.0,3730.4,38.239,10.147,14.342,1310.7,-0.02882,0.008617,0.18229,supercritical
10.0,34.667,2.907,0.344,2538.5,3731.1,38.032,10.149,14.347,1312.2,-0.028927,0.0086189,0.18246,supercritical
10.0,36.35,3.045,0.3284,2538.0,3731.8,37.835,10.15,14.352,1313.7,-0.029036,0.0086209,0.18263,supercritical
10.0,38.033,3.1828,0.31419,2537.5,3732.5,37.646,10.151,14.357,1315.2,-0.029144,0.008623,0.18279,supercritical
10.0,39.717,3.3203,0.30118,2537.0,3733.2,37.466,10.153,14.361,1316.6,-0.029253,0.0086251,0.18295,supercritical
10.0,41.4,3.4575,0.28922,2536.5,3733.9,37.293,10.154,14.366,1318.1,-0.029363,0.0086272,0.18311,supercritical
10.0,43.083,3.5944,0.27821,2536.0,3734.6,37.127,10.156,14.371,1319.6,-0.029473,0.0086293,0.18327,supercritical
10.0,44.767,3.7311,0.26802,2535.5,3735.3,36.967,10.157,14.375,1321.1,-0.029583,0.0086315,0.18342,supercritical
10.0,46.45,3.8675,0.25857,2535.0,3736.0,36.813,10.159,14.38,1322.6,-0.029694,0.0086338,0.18358,supercritical
10.0,48.133,4.0035,0.24978,2534.5,3736.7,36.664,10.16,14.385,1324.0,-0.029805,0.008636,0.18373,supercritical
10.0,49.817,4.1394,0.24158,2534.0,3737.5,36.521,10.162,14.389,1325.5,-0.029916,0.0086383,0.18388,supercritical
10.0,51.5,4.2749,0.23392,2533.5,3738.2,36.382,10.163,14.394,1327.0,-0.030028,0.0086407,0.18403,supercritical
10.0,53.183,4.4101,0.22675,2533.0,3738.9,36.248,10.165,14.398,1328.5,-0.030139,0.0086431,0.18417,supercritical
10.0,54.867,4.5451,0.22002,2532.5,3739.7,36.118,10.166,14.403,1330.0,-0.030251,0.0086455,0.18432,supercritical
10.0,56.55,4.6798,0.21369,2532.0,3740.4,35.991,10.168,14.407,1331.5,-0.030363,0.008648,0.18446,supercritical
10.0,58.233,4.8142,0.20772,2531.5,3741.1,35.869,10.169,14.411,1333.0,-0.030476,0.0086505,0.1846,supercritical
10.0,59.917,4.9483,0.20209,2531.0,3741.9,35.749,10.17,14.416,1334.4,-0.030588,0.008653,0.18474,supercritical
10.0,61.6,5.0822,0.19677,2530.5,3742.6,35.634,10.172,14.42,1335.9,-0.0307,0.0086556,0.18488,supercritical
10.0,63.283,5.2157,0.19173,2530.0,3743.4,35.521,10.173,14.425,1337.4,-0.030813,0.0086582,0.18501,supercritical
10.0,64.967,5.349,0.18695,2529.6,3744.1,35.411,10.175,14.429,1338.9,-0.030925,0.0086609,0.18515,supercritical
10.0,66.65,5.482,0.18241,2529.1,3744.9,35.304,10.176,14.433,1340.4,-0.031038,0.0086636,0.18528,supercritical
10.0,68.333,5.6148,0.1781,2528.6,3745.6,35.199,10.178,14.437,1341.9,-0.03115,0.0086663,0.18542,supercritical
10.0,70.017,5.7472,0.174,2528.1,3746.4,35.097,10.179,14.442,1343.4,-0.031262,0.0086691,0.18555,supercritical
10.0,71.7,5.8794,0.17008,2527.6,3747.1,34.998,10.181,14.446,1344.9,-0.031375,0.0086719,0.18568,supercritical
10.0,73.383,6.0114,0.16635,2527.2,3747.9,34.9,10.182,14.45,1346.4,-0.031487,0.0086747,0.18581,supercritical
10.0,75.067,6.143,0.16279,2526.7,3748.7,34.805,10.184,14.454,1347.9,-0.031599,0.0086776,0.18594,supercritical
10.0,76.75,6.2744,0.15938,2526.2,3749.4,34.712,10.185,14.458,1349.4,-0.031711,0.0086805,0.18606,supercritical
10.0,78.433,6.4054,0.15612,2525.7,3750.2,34.621,10.186,14.462,1350.9,-0.031823,0.0086834,0.18619,supercritical
10.0,80.117,6.5363,0.15299,2525.3,3751.0,34.532,10.188,14.466,1352.4,-0.031934,0.0086864,0.18631,supercritical
10.0,81.8,6.6668,0.15,2524.8,3751.8,34.445,10.189,14.471,1353.9,-0.032046,0.0086894,0.18644,supercritical
10.0,83.483,6.7971,0.14712,2524.3,3752.6,34.359,10.191,14.475,1355.5,-0.032157,0.0086924,0.18656,supercritical
10.0,85.167,6.9271,0.14436,2523.9,3753.3,34.275,10.192,14.479,1357.0,-0.032268,0.0086955,0.18669,supercritical
10.0,86.85,7.0568,0.14171,2523.4,3754.1,34.193,10.194,14.482,1358.5,-0.032379,0.0086986,0.18681,supercritical
10.0,88.533,7.1863,0.13915,2522.9,3754.9,34.112,10.195,14.486,1360.0,-0.03249,0.0087018,0.18693,supercritical
10.0,90.217,7.3155,0.1367,2522.5,3755.7,34.033,10.197,14.49,1361.5,-0.0326,0.0087049,0.18705,supercritical
10.0,91.9,7.4444,0.13433,2522.0,3756.5,33.955,10.198,14.494,1363.0,-0.03271,0.0087081,0.18717,supercritical
10.0,93.583,7.573,0.13205,2521.6,3757.3,33.879,10.199,14.498,1364.5,-0.03282,0.0087114,0.18729,supercritical
10.0,95.267,7.7014,0.12985,2521.1,3758.1,33.804,10.201,14.502,1366.0,-0.03293,0.0087147,0.18741,supercritical
10.0,96.95,7.8295,0.12772,2520.7,3758.9,33.73,10.202,14.506,1367.6,-0.033039,0.008718,0.18753,supercritical
10.0,98.633,7.9574,0.12567,2520.2,3759.7,33.658,10.204,14.509,1369.1,-0.033148,0.0087213,0.18764,supercritical
10.0,100.32,8.0849,0.12369,2519.7,3760.5,33.587,10.205,14.513,1370.6,-0.033256,0.0087247,0.18776,supercritical
10.0,102.0,8.2122,0.12177,2519.3,3761.3,33.517,10.207,14.517,1372.1,-0.033365,0.0087281,0.18788,supercritical
10.0,103.68,8.3393,0.11991,2518.8,3762.2,33.448,10.208,14.521,1373.6,-0.033473,0.0087315,0.188,supercritical
10.0,105.37,8.466,0.11812,2518.4,3763.0,33.38,10.209,14.524,1375.1,-0.03358,0.008735,0.18811,supercritical
10.0,107.05,8.5925,0.11638,2518.0,3763.8,33.313,10.211,14.528,1376.7,-0.033687,0.0087385,0.18823,supercritical
10.0,108.73,8.7188,0.11469,2517.5,3764.6,33.247,10.212,14.532,1378.2,-0.033794,0.008742,0.18834,supercritical
10.0,110.42,8.8448,0.11306,2517.1,3765.5,33.182,10.214,14.535,1379.7,-0.0339,0.0087455,0.18846,supercritical
10.0,112.1,8.9705,0.11148,2516.6,3766.3,33.119,10.215,14.539,1381.2,-0.034006,0.0087491,0.18858,supercritical
10.0,113.78,9.0959,0.10994,2516.2,3767.1,33.056,10.217,14.542,1382.8,-0.034112,0.0087527,0.18869,supercritical
10.0,115.47,9.2211,0.10845,2515.8,3768.0,32.994,10.218,14.546,1384.3,-0.034217,0.0087564,0.18881,supercritical
10.0,117.15,9.346,0.107,2515.3,3768.8,32.933,10.22,14.549,1385.8,-0.034322,0.00876,0.18892,supercritical
10.0,118.83,9.4707,0.10559,2514.9,3769.6,32.872,10.221,14.553,1387.3,-0.034426,0.0087637,0.18904,supercritical
10.0,120.52,9.5951,0.10422,2514.5,3770.5,32.813,10.222,14.556,1388.9,-0.03453,0.0087675,0.18915,supercritical
10.0,122.2,9.7192,0.10289,2514.0,3771.3,32.755,10.224,14.56,1390.4,-0.034634,0.0087712,0.18926,supercritical
10.0,123.88,9.8431,0.10159,2513.6,3772.2,32.697,10.225,14.563,1391.9,-0.034737,0.008775,0.18938,supercritical
10.0,125.57,9.9667,0.10033,2513.2,3773.0,32.64,10.227,14.566,1393.5,-0.034839,0.0087788,0.18949,supercritical
10.0,127.25,10.09,0.099108,2512.7,3773.9,32.583,10.228,14.57,1395.0,-0.034941,0.0087827,0.18961,supercritical
10.0,128.93,10.213,0.097913,2512.3,3774.8,32.528,10.23,14.573,1396.5,-0.035043,0.0087866,0.18972,supercritical
10.0,130.62,10.336,0.09675,2511.9,3775.6,32.473,10.231,14.576,1398.1,-0.035144,0.0087905,0.18984,supercritical
10.0,132.3,10.459,0.095616,2511.5,3776.5,32.419,10.232,14.58,1399.6,-0.035245,0.0087944,0.18995,supercritical
10.0,133.98,10.581,0.09451,2511.1,3777.3,32.366,10.234,14.583,1401.1,-0.035345,0.0087984,0.19007,supercritical
10.0,135.67,10.703,0.093433,2510.6,3778.2,32.313,10.235,14.586,1402.7,-0.035445,0.0088023,0.19018,supercritical
10.0,137.35,10.825,0.092381,2510.2,3779.1,32.261,10.237,14.59,1404.2,-0.035545,0.0088064,0.1903,supercritical
10.0,139.03,10.946,0.091355,2509.8,3780.0,32.209,10.238,14.593,1405.7,-0.035643,0.0088104,0.19041,supercritical
10.0,140.72,11.068,0.090354,2509.4,3780.8,32.158,10.24,14.596,1407.3,-0.035742,0.0088145,0.19052,supercritical
10.0,142.4,11.189,0.089377,2509.0,3781.7,32.108,10.241,14.599,1408.8,-0.03584,0.0088185,0.19064,supercritical
10.0,144.08,11.309,0.088422,2508.6,3782.6,32.058,10.242,14.602,1410.3,-0.035937,0.0088227,0.19076,supercritical
