Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
50.0,1.0,1.6442,0.60818,466.6,527.42,2.8088,0.68213,0.87446,278.69,0.89229,0.016103,0.018569,vapor
50.0,11.0,18.825,0.053121,460.93,519.36,2.3381,0.70024,0.93154,272.61,0.89357,0.016238,0.019146,vapor
50.0,21.0,37.55,0.026631,454.81,510.74,2.1967,0.72003,1.0017,266.33,0.89337,0.016418,0.019858,vapor
50.0,31.0,58.196,0.017183,448.15,501.42,2.1019,0.74191,1.0902,259.83,0.891,0.016661,0.020754,vapor
50.0,41.0,81.299,0.0123,440.81,491.24,2.0255,0.76646,1.206,253.08,0.88541,0.016988,0.021912,vapor
50.0,51.0,107.66,0.0092885,432.59,479.97,1.9575,0.79456,1.3644,246.07,0.87493,0.017436,0.023464,vapor
50.0,61.0,138.55,0.0072174,423.19,467.22,1.8927,0.82757,1.5942,238.81,0.85692,0.018066,0.025641,vapor
50.0,71.0,176.18,0.0056762,412.08,452.38,1.827,0.86765,1.9565,231.37,0.82682,0.018996,0.028876,vapor
50.0,81.0,224.73,0.0044498,398.34,434.38,1.7557,0.91797,2.5969,224.0,0.77635,0.020472,0.034022,vapor
50.0,81.0,224.73,0.0044498,398.34,434.38,1.7557,0.91797,2.5969,224.0,0.77635,0.020472,0.034022,supercritical
50.0,81.0,224.73,0.0044498,398.34,434.38,1.7557,0.91797,2.5969,224.0,0.77635,0.020472,0.034022,supercritical
50.0,91.0,293.16,0.0034111,380.13,411.18,1.6717,0.97988,3.8812,217.9,0.68938,0.023124,0.042669,supercritical
50.0,101.0,396.32,0.0025232,355.32,380.8,1.5686,1.0315,6.0011,219.13,0.54446,0.028508,0.055242,supercritical
50.0,111.0,512.81,0.00195,330.4,352.05,1.4728,1.0201,5.9367,242.05,0.3798,0.036874,0.063324,supercritical
50.0,121.0,590.89,0.0016924,314.65,335.13,1.4149,0.98857,4.5973,277.51,0.27211,0.044071,0.066926,supercritical
50.0,131.0,640.25,0.0015619,304.72,325.18,1.3791,0.96709,3.7912,310.54,0.20974,0.0494,0.070137,supercritical
50.0,141.0,675.23,0.001481,297.61,318.49,1.3537,0.953,3.3253,339.42,0.17007,0.053596,0.073127,supercritical
50.0,151.0,702.19,0.0014241,292.06,313.57,1.3339,0.94301,3.0243,364.88,0.14244,0.057095,0.075836,supercritical
50.0,161.0,724.11,0.001381,287.49,309.72,1.3177,0.93552,2.8137,387.69,0.12196,0.060129,0.078294,supercritical
50.0,171.0,742.6,0.0013466,283.59,306.61,1.3039,0.92972,2.658,408.41,0.10609,0.062831,0.080543,supercritical
50.0,181.0,758.63,0.0013182,280.17,304.03,1.2917,0.92516,2.538,427.44,0.093356,0.065285,0.082619,supercritical
50.0,191.0,772.8,0.001294,277.13,301.84,1.2809,0.92154,2.4424,445.06,0.082883,0.067547,0.084552,supercritical
50.0,201.0,785.51,0.0012731,274.37,299.96,1.2711,0.91866,2.3643,461.5,0.074088,0.069655,0.086364,supercritical
50.0,211.0,797.05,0.0012546,271.85,298.32,1.2622,0.91636,2.299,476.91,0.066578,0.071637,0.088075,supercritical
50.0,221.0,807.63,0.0012382,269.52,296.88,1.2539,0.91452,2.2435,491.45,0.060077,0.073514,0.089698,supercritical
50.0,231.0,817.41,0.0012234,267.36,295.62,1.2461,0.91306,2.1956,505.22,0.054384,0.075302,0.091245,supercritical
50.0,241.0,826.5,0.0012099,265.33,294.49,1.2389,0.91189,2.1539,518.3,0.04935,0.077014,0.092725,supercritical
50.0,251.0,835.02,0.0011976,263.42,293.48,1.232,0.91098,2.1171,530.78,0.044861,0.078659,0.094146,supercritical
50.0,261.0,843.03,0.0011862,261.62,292.58,1.2256,0.91026,2.0843,542.72,0.040829,0.080246,0.095516,supercritical
50.0,271.0,850.59,0.0011757,259.92,291.78,1.2194,0.90971,2.055,554.17,0.037183,0.081781,0.096838,supercritical
50.0,281.0,857.75,0.0011658,258.29,291.05,1.2135,0.90929,2.0285,565.19,0.033868,0.083271,0.098118,supercritical
50.0,291.0,864.57,0.0011566,256.74,290.4,1.2079,0.90898,2.0045,575.81,0.030839,0.084719,0.099359,supercritical
50.0,301.0,871.07,0.001148,255.26,289.81,1.2026,0.90878,1.9825,586.08,0.028057,0.08613,0.10057,supercritical
50.0,311.0,877.28,0.0011399,253.84,289.29,1.1974,0.90865,1.9624,596.01,0.025492,0.087507,0.10174,supercritical
50.0,321.0,883.23,0.0011322,252.47,288.81,1.1924,0.90858,1.9439,605.64,0.023119,0.088854,0.10289,supercritical
50.0,331.0,888.95,0.0011249,251.15,288.39,1.1876,0.90858,1.9268,614.99,0.020916,0.090172,0.104,supercritical
50.0,341.0,894.45,0.001118,249.88,288.0,1.1829,0.90862,1.9109,624.09,0.018863,0.091464,0.10509,supercritical
50.0,351.0,899.76,0.0011114,248.65,287.66,1.1784,0.9087,1.8961,632.95,0.016946,0.092733,0.10616,supercritical
50.0,361.0,904.87,0.0011051,247.47,287.36,1.1741,0.90882,1.8822,641.58,0.015151,0.093979,0.10721,supercritical
50.0,371.0,909.82,0.0010991,246.32,287.09,1.1698,0.90898,1.8693,650.01,0.013466,0.095204,0.10824,supercritical
50.0,381.0,914.61,0.0010934,245.2,286.86,1.1657,0.90916,1.8572,658.25,0.01188,0.09641,0.10924,supercritical
50.0,391.0,919.26,0.0010878,244.12,286.65,1.1617,0.90936,1.8458,666.3,0.010385,0.097599,0.11023,supercritical
50.0,401.0,923.76,0.0010825,243.06,286.47,1.1578,0.90959,1.835,674.18,0.0089723,0.09877,0.1112,supercritical
50.0,411.0,928.13,0.0010774,242.04,286.32,1.154,0.90983,1.8248,681.9,0.0076357,0.099925,0.11216,supercritical
50.0,421.0,932.39,0.0010725,241.04,286.19,1.1502,0.91009,1.8152,689.46,0.0063687,0.10107,0.1131,supercritical
50.0,431.0,936.53,0.0010678,240.07,286.09,1.1466,0.91037,1.8061,696.88,0.0051658,0.10219,0.11402,supercritical
50.0,441.0,940.56,0.0010632,239.12,286.01,1.1431,0.91066,1.7974,704.16,0.004022,0.10331,0.11493,supercritical
50.0,451.0,944.49,0.0010588,238.19,285.94,1.1396,0.91096,1.7891,711.31,0.002933,0.10441,0.11583,supercritical
50.0,461.0,948.33,0.0010545,237.29,285.9,1.1362,0.91127,1.7813,718.34,0.0018946,0.1055,0.11672,supercritical
50.0,471.0,952.07,0.0010503,236.41,285.88,1.1328,0.91159,1.7738,725.24,0.00090344,0.10657,0.11759,supercritical
50.0,481.0,955.73,0.0010463,235.54,285.87,1.1296,0.91193,1.7667,732.04,-4.3835e-05,0.10764,0.11846,supercritical
50.0,491.0,959.3,0.0010424,234.69,285.88,1.1264,0.91227,1.7598,738.72,-0.00095016,0.1087,0.11931,supercritical
50.0,501.0,962.8,0.0010386,233.87,285.9,1.1232,0.91262,1.7533,745.3,-0.0018182,0.10975,0.12015,supercritical
50.0,511.0,966.22,0.001035,233.05,285.94,1.1201,0.91297,1.747,751.77,-0.0026504,0.11078,0.12098,supercritical
50.0,521.0,969.57,0.0010314,232.26,285.99,1.1171,0.91333,1.741,758.15,-0.003449,0.11181,0.1218,supercritical
50.0,531.0,972.85,0.0010279,231.48,286.06,1.1141,0.9137,1.7352,764.44,-0.0042161,0.11283,0.12262,supercritical
50.0,541.0,976.07,0.0010245,230.71,286.14,1.1112,0.91408,1.7297,770.64,-0.0049535,0.11385,0.12342,supercritical
50.0,551.0,979.23,0.0010212,229.96,286.23,1.1083,0.91446,1.7243,776.75,-0.005663,0.11485,0.12421,supercritical
50.0,561.0,982.32,0.001018,229.23,286.34,1.1055,0.91484,1.7192,782.78,-0.0063461,0.11585,0.125,supercritical
50.0,571.0,985.36,0.0010149,228.5,286.45,1.1027,0.91523,1.7142,788.73,-0.0070044,0.11684,0.12578,supercritical
50.0,581.0,988.34,0.0010118,227.79,286.58,1.0999,0.91562,1.7095,794.6,-0.0076391,0.11782,0.12655,supercritical
50.0,591.0,991.28,0.0010088,227.09,286.71,1.0972,0.91602,1.7048,800.4,-0.0082516,0.1188,0.12732,supercritical
50.0,601.0,994.16,0.0010059,226.4,286.86,1.0946,0.91642,1.7004,806.12,-0.008843,0.11977,0.12807,supercritical
50.0,611.0,996.99,0.001003,225.73,287.01,1.0919,0.91683,1.6961,811.77,-0.0094144,0.12074,0.12882,supercritical
50.0,621.0,999.77,0.0010002,225.06,287.18,1.0894,0.91724,1.6919,817.35,-0.0099668,0.1217,0.12957,supercritical
50.0,631.0,1002.5,0.0009975,224.41,287.35,1.0868,0.91765,1.6879,822.87,-0.010501,0.12265,0.1303,supercritical
50.0,641.0,1005.2,0.00099482,223.76,287.53,1.0843,0.91807,1.684,828.32,-0.011018,0.1236,0.13103,supercritical
50.0,651.0,1007.9,0.0009922,223.13,287.72,1.0818,0.91849,1.6803,833.71,-0.011519,0.12454,0.13176,supercritical
50.0,661.0,1010.5,0.00098964,222.5,287.92,1.0793,0.91891,1.6766,839.04,-0.012005,0.12548,0.13248,supercritical
50.0,671.0,1013.0,0.00098713,221.89,288.12,1.0769,0.91933,1.6731,844.31,-0.012475,0.12641,0.13319,supercritical
50.0,681.0,1015.6,0.00098466,221.28,288.33,1.0745,0.91976,1.6697,849.52,-0.012931,0.12734,0.1339,supercritical
50.0,691.0,1018.1,0.00098225,220.68,288.55,1.0721,0.92019,1.6663,854.68,-0.013374,0.12826,0.1346,supercritical
50.0,701.0,1020.5,0.00097988,220.09,288.78,1.0698,0.92062,1.6631,859.78,-0.013804,0.12918,0.1353,supercritical
50.0,711.0,1023.0,0.00097756,219.51,289.01,1.0675,0.92105,1.6599,864.83,-0.014221,0.1301,0.13599,supercritical
50.0,721.0,1025.4,0.00097527,218.94,289.25,1.0652,0.92149,1.6569,869.83,-0.014627,0.13101,0.13668,supercritical
50.0,731.0,1027.7,0.00097303,218.37,289.5,1.063,0.92193,1.6539,874.77,-0.015021,0.13191,0.13736,supercritical
