Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
70.0,1.0,1.5473,0.64628,480.47,545.09,2.8618,0.7011,0.89287,286.44,0.76924,0.017041,0.020147,vapor
70.0,11.0,17.578,0.056889,475.48,538.06,2.3942,0.71497,0.93833,281.47,0.76867,0.017183,0.020687,vapor
70.0,21.0,34.734,0.02879,470.19,530.65,2.2565,0.72975,0.99166,276.47,0.76672,0.017362,0.021323,vapor
70.0,31.0,53.208,0.018794,464.57,522.83,2.1662,0.74551,1.055,271.43,0.76298,0.017588,0.02208,vapor
70.0,41.0,73.242,0.013653,458.55,514.53,2.0955,0.76239,1.1314,266.39,0.75694,0.017873,0.022992,vapor
70.0,51.0,95.151,0.01051,452.08,505.68,2.0348,0.78052,1.2249,261.37,0.7479,0.018234,0.024106,vapor
70.0,61.0,119.34,0.0083794,445.06,496.18,1.9798,0.80003,1.3416,256.46,0.73494,0.018694,0.025489,vapor
70.0,71.0,146.34,0.0068332,437.4,485.92,1.9278,0.82106,1.4898,251.76,0.71689,0.019289,0.027234,vapor
70.0,81.0,176.85,0.0056544,428.97,474.77,1.8772,0.8437,1.6814,247.46,0.69227,0.020069,0.029463,vapor
70.0,81.0,176.85,0.0056544,428.97,474.77,1.8772,0.8437,1.6814,247.46,0.69227,0.020069,0.029463,supercritical
70.0,81.0,176.85,0.0056544,428.97,474.77,1.8772,0.8437,1.6814,247.46,0.69227,0.020069,0.029463,supercritical
70.0,91.0,211.76,0.0047224,419.62,462.59,1.8266,0.86784,1.932,243.86,0.65931,0.021107,0.032327,supercritical
70.0,101.0,252.08,0.003967,409.2,449.27,1.7752,0.89292,2.2574,241.45,0.61612,0.022511,0.035974,supercritical
70.0,111.0,298.68,0.0033481,397.66,434.83,1.7225,0.91734,2.6569,241.09,0.56125,0.024424,0.040435,supercritical
70.0,121.0,351.33,0.0028463,385.23,419.67,1.6693,0.93781,3.0741,244.04,0.49554,0.026985,0.045446,supercritical
70.0,131.0,407.37,0.0024548,372.61,404.77,1.6182,0.95034,3.3805,251.68,0.4243,0.030212,0.050398,supercritical
70.0,141.0,461.85,0.0021652,360.83,391.36,1.5724,0.95376,3.4713,264.5,0.35578,0.033883,0.054743,supercritical
70.0,151.0,510.4,0.0019593,350.6,380.19,1.5338,0.95071,3.3746,281.31,0.29656,0.037638,0.058386,supercritical
70.0,161.0,551.55,0.0018131,342.05,371.24,1.5023,0.94485,3.1985,300.12,0.24891,0.041207,0.061532,supercritical
70.0,171.0,585.96,0.0017066,334.93,364.11,1.4764,0.93845,3.0142,319.47,0.21145,0.044488,0.064345,supercritical
70.0,181.0,614.92,0.0016262,328.92,358.36,1.4548,0.93248,2.8487,338.52,0.18192,0.047475,0.066907,supercritical
70.0,191.0,639.64,0.0015634,323.78,353.64,1.4364,0.92729,2.7084,356.86,0.15839,0.050199,0.069268,supercritical
70.0,201.0,661.07,0.0015127,319.3,349.71,1.4204,0.92291,2.5913,374.35,0.13933,0.052702,0.071459,supercritical
